article_name,journalist,publisher,date,article
"DGB금융, 2024년 순익 2208억 전년比 43.1% ↓…자사주 600억 소각 발표",권재희,아시아경제,2025-02-07,"DGB금융그룹은 7일 실적발표를 통해 2024년도(누적) 지배주주지분 당기순이익 2208억 원을 기록했다고 밝혔다. 이는 전기 대비 43.1% 감소한 수치로, 은행 실적이 소폭 증가했음에도 불구하고 비은행 계열사의 부동산 PF 등 취약 익스포져에 대한 대손비용 증가 및 비이자이익 감소가 주요 요인으로 분석된다. 주력 계열사인 iM뱅크의 2024년도(누적) 당기순이익은 3710억 원으로 전년 대비 2.0% 증가했다. 하반기 대출수요 둔화와 순이자마진(NIM) 하락에도 불구하고 대손비용률이 안정세로 전환되면서 전반적으로 양호한 실적 흐름을 이어갔다. DGB금융그룹은 ""올해 그룹의 재무적 성패가 2024년 1588억 원의 적자를 기록한 iM증권의 수익성 회복 여부에 달려있는 만큼 증권사 실적이 개선되면 그룹의 이익은 자연스럽게 증가할 것""이라고 설명했다. DGB금융지주 이사회는 보통주 1주당 500원의 현금배당을 결의함과 동시에 600억 원 수준의 대규모 자사주 소각 실행 계획을 발표했다. 현재 보유 중인 자기주식 약 275만 주(200억 원 매입분)와 올 상반기 중 매입 예정인 자사주(400억 원 상당)를 추가 소각한다는 것이다. 최근 실적 부진과 배당금 감소에 대한 투자자의 실망감을 완화시키고, 지난해에 발표한 기업가치제고 계획을 조기에 이행해 대외 신뢰도를 회복시키겠다는 경영진의 의지가 반영됐다. DGB금융지주 관계자는 ""'디지털로 고객에게 다가가는 Only 1 하이브리드 금융그룹'이라는 새로운 비전 제시와 함께 지난해 발표한 밸류업 프로그램을 성실히 이행해 기업 가치를 향상시키는데 집중하겠다""고 밝혔다."
울산 제련소 찾은 고려아연 CTO…현장 점검 나서,김현정,아시아경제,2025-02-07,"고려아연 은 7일 이제중 고려아연 최고기술책임자(CTO) 부회장이 정태웅 제련사업부문 사장과 함께 울산 온산제련소를 방문해 전략광물 생산량, 공정 등에 대한 긴급점검에 나섰다고 밝혔다. 최근 중국이 희소금속 수출을 통제하면서 전략광물 공급망에 대한 불안이 커지자 현장을 찾은 것이다. 고려아연은 국내에서 유일하게 안티모니, 인듐, 비스무트, 텔루륨 등 희소금속을 생산하는 기업이다. 이 부회장은 제련소 임직원들에게 ""국제 정세가 급변하는 가운데 자원안보 수호 중요성이 증대되고 있다""며 ""국가기간산업 본연의 역할에 부응해 공급망 차질이 없도록 안정성을 뒷받침하고 국익에 기여해야 한다""고 강조했다. 고려아연은 중국 정부가 수출통제 조치를 취한 5개 품목 가운데 인듐, 비스무트, 텔루륨 등 3개 품목을 생산한다. 디스플레이·터치스크린·태양광패널 제조에 활용되는 '금속 비타민' 인듐의 경우 연간 글로벌 수요 약 1400톤 가운데 150톤(11%) 가량을 고려아연이 공급 중이다. 원전·방위산업 등에 활용되는 비스무트 역시 국내에서 유일하게 고려아연이 생산해 왔는데 연간 900~1000톤 규모로 국내외에 판매한다. 태양전지, 열전소자, 축전기, 차량 부품 등에 널리 활용되는 텔루륨도 매년 100~200톤 생산하고 있다. 지난해 9월 중국이 수출 통제에 나서며 공급 부족 현상이 심화한 안티모니 또한 고려아연이 국내에서 유일하게 생산 중이다. 안티모니는 군수품, 반도체, 적외선 장치, 납축전지 등 다양한 분야에 쓰이고 있는데, 최근 대미 수출을 둘러싼 협의가 이뤄지는 등 수요가 한층 확대될 전망이다. 이 부회장은 제련소 임원 및 팀장 회의에서 핵심 기술 연구진과 근로자들을 격려하는 한편 전략자원이 안정적으로 산업계에 공급될 수 있도록 생산에 만전을 기해달라고 당부했다. 이를 위해 희소금속 회수율 제고와 공정 효율화 기조를 흔들림 없이 이어가는 것이 중요하다면서, 기술 연구소를 중심으로 희소금속 회수율 향상을 위한 연구·개발(R&D)에 매진해야 한다고 강조했다. 고려아연은 희소금속 회수율을 품목별로 20~30% 이상 끌어올린다는 방침이다. 세계 유일 아연·연·동 통합 공정을 운영하면서 아연 및 연정광에 포함된 극소량의 희소금속 12개 품목을 추출하는 역량을 보유한 만큼 여타 제련소들과 차별화된 기술 강점을 극대화하겠다는 설명이다. 이 부회장은 투자비 1241억원이 투입되는 순환자원 처리공정 개발 동향을 청취하는 한편, ""온산제련소 임직원의 헌신과 노력 덕분에 변화에 발 빠르게 대응할 수 있었다""면서 현장 직원들을 격려했다."
"""트럼프 관세 롤모델 매킨리는 '자유무역이 좋다'고 했다""",세종=김평화,아시아경제,2025-02-07,"""도널드 트럼프 미국 대통령은 선거 과정에서 윌리엄 매킨리 전 미국 대통령 얘기를 많이 했다. 취임사에선 매킨리가 과세를 통해 미국을 부유하게 했다며 그 시대로 돌아가는 게 중요하다고 했다. (하지만) 매킨리는 재선 뒤 암살당했는데, 생전 마지막에는 ""자유무역이 좋은 것 같다""고 했다. 트럼프가 이를 이해하는 데까지 얼마나 걸릴지 봐야 한다."" 이시욱 대외경제정책연구원장은 7일 대전 한남대학교 56주년기념관에서 '트럼프 2기 무역정책과 한국의 대응' 주제로 열린 제2전체회의에서 이같이 말했다. 전날부터 양일간 열린 '2025 경제학 공동학술대회' 세부 행사였던 이번 회의에서 이 원장은 도널드 트럼프 2기 행정부의 통상 정책 전망과 영향을 주제로 기조연설을 했다. 이 원장은 이 자리에서 트럼프 대통령의 최근 행보가 미국 제25대 대통령(1897~1901년)인 매킨리와 제40대 대통령(1981~1989년)인 로널드 레이건 정책의 합작품이라고 설명했다. 특히 매킨리 대통령이 과거 고관세를 통해 자국 산업을 키우고 팽창주의로 영토를 확대했다 보니 트럼프 대통령이 영향을 많이 받았다고 평가했다. 이 원장은 트럼프 대통령의 관세 정책이 유권자 표심 확보를 위한 정치적 요인뿐 아니라 무역 불균형 해소, 제조업 일자리 회복 등의 산업통상적 요인에 따른 결과라고 봤다. 미국 재정 적자가 향후 10년간 4.6조~11조달러에 이를 수 있다는 전망이 나오는 가운데 수입을 확보하기 위해 관세를 수단으로 삼고 있다는 설명도 했다. 이 원장은 ""트럼프 관세 정책이 실질적으로 지속 가능할지를 살펴보려면 미국의 거시 변수가 어떻게 변할지, 관세 인상이 인플레이션을 자극할지, 재정 적자에 얼마나 영향을 줄지 살펴봐야 할 것""이라고 말했다. 또 중국에 집중했던 1기 행정부 때와 달리 2기 때는 보편관세 논의 나오는 것과 관련해선 ""보편관세를 하면 굉장히 큰 영향이 있을 것""이라며 ""1기랑 다르게 물가 영향이 나타날 것""이라고 봤다. 보편관세에 따른 물가 인상과 달러화 강세 등이 나타날 경우 미국 무역적자는 확대될 가능성이 높다는 게 이 원장 평가다. 그는 인플레이션 압박이 점차 커지는 상황에서 ""트럼프가 결국 매킨리 대통령이 마지막에 느꼈던 것(자유무역>관세)을 언제 느낄까가 중요한 포인트가 될 것""이라고 말했다. 또 ""내년 미국 중간선거가 통상 정책 성패의 1차 분수령이 될 수 있다""고 전망했다. 우리나라의 경우 미국을 상대로 한 직접 수출뿐 아니라 중국 제품이 미국으로 흘러가는 데 있어 간접 수출과 연관이 있다 보니 관세 영향권에 포함될 수 있다. 베트남과 멕시코, 대만, 캐나다, 일본 등이 간접수출과 연관이 있는 만큼 압박을 받을 수 있는 국가끼리 모여 협력하면서 대안을 만드는 것이 필요하다는 게 이 원장 주장이다. 그는 ""일본, 대만, 독일 같은 국가와의 협력을 지금보다 강화하면서 글로벌 사우스(아시아, 아프리카, 남아메리카 등의 개발도상국)와의 협력 측면에서 고민해야 한다""고 설명했다. 또 ""온쇼어링 정책으로 대기업이 (해외로) 투자하면 지금 국내에서 갖고 있던 대기업과 중견·중소기업과의 연결고리가 약화할 수 있다""며 ""이 고리를 어떻게 건전하게 유지하고 강화할지 고려해야 한다""고 강조했다."
"SK케미칼, 스페셜티 덕 역대 최대실적…영업이익 30%↑",김현정,아시아경제,2025-02-07,"SK케미칼 이 스페셜티 호조 덕에 지난해 역대 최대 실적을 기록했다. SK케미칼은 지난해 자회사를 제외한 별도 기준 매출 1조3405억원, 영업이익 1111억원의 실적을 거뒀다고 7일 공시했다. 이는 2017년 SK디스커버리가 출범하며 사업 회사로 분할된 이래 역대 최대 실적이다. 지난해와 비교하면 매출은 8.7%, 영업 이익은 30.0% 증가한 수치다. SK케미칼 측은 경기 침체와 화학업계 불황 속 호실적을 낸 요인으로 스페셜티 소재인 코폴리에스터를 꼽았다. 지난해 코폴리에스터 분야 적용 용도를 새롭게 개발해 고객층을 넓히고, 고도의 내열성과 투명성이 필요한 분야에 주로 쓰이는 특화 소재 에코젠(ECOZEN) 판매량을 확대한 것이 실적 상승을 견인했다는 분석이다. 코폴리에스터는 투명성, 고기능성을 지닌 스페셜티 소재로 식품용기, 화장품, 전자 제품 등 다양한 분야에서 사용이 지속적으로 확대되고 있지만, 아직 소수의 기업만 상용화에 성공한 소재로 알려졌다. 강석호 SK케미칼 경영지원본부장은 ""SK케미칼이 오랜 시간에 걸쳐 범용 소재, 비주력 사업을 정리하고 코폴리에스터 등 스페셜티 중심으로 사업을 재편한 지속적 혁신이 불황 속 실적 상승으로 이어졌다""면서 ""지속적인 제품·기술 혁신을 통해 코폴리에스터 제품 라인 업을 다변화하고, 순환 재활용 소재 사업을 또 다른 스페셜티 파이프라인으로 구축해 나갈 계획""이라고 말했다. 한편, SK바이오사이언스 등 자회사 실적을 포함한 지난해 연결 기준 실적은 매출액 1조7355억원 영업손실 448억원이다. 지난해 4분기 연결기준으로는 매출액 5143억원, 영업손실 285억원을 기록했다."
신한은행 새 광고모델 차은우…모임통장 출시 맞춰 첫 공개,김혜민,아시아경제,2025-02-07,"신한은행이 새 브랜드 광고모델로 가수 겸 배우 차은우를 공개했다. 신한은행은 다음 달 11일 'SOL 모임통장' 출시에 맞춰 차은우 영상광고를 공개한다고 7일 밝혔다. 차은우는 '잘 모이기 위해 잘생긴 모임통장' 콘셉트에 맞춰 가족·테니스·와인모임 등에 참여하는 다채로운 연기를 보여줄 예정이다. 이번 영상광고는 TV를 비롯해 유튜브, OTT(온라인동영상서비스) 등 디지털 플랫폼과 옥외 매체를 통해 만나볼 수 있다. 신한은행은 지난달 말 소셜미디어를 통해 한 인물의 실루엣과 함께 '새로운 광고모델을 소개합니다'라는 내용의 티저 영상을 선보인 바 있다. 영상이 게시된 이후 '차은우'라는 댓글이 이어지며 일주일 만에 유튜브 조회수 15만회, 인스타그램 좋아요 1만8000건 등 관심이 이어졌다. 이에 신한은행은 당초 예정일보다 먼저 광고모델을 공개하게 됐다. 신한은행 관계자는 ""모든 세대로부터 좋은 평가를 받고 있는 차은우와 함께 성장과 혁신의 긍정 에너지를 전달할 계획""이라며 ""이번 영상광고를 시작으로 고객 관점에서 금융 편의성을 높인 다양한 상품·서비스를 알리며 긍정적인 브랜드 이미지를 구축해 나가겠다""고 말했다."
"롯데케미칼, 지난해 영업손실 8949억…3년 간 2조 적자",김현정,아시아경제,2025-02-07,"롯데케미칼 이 수요 부진 등 불황의 영향으로 지난해 9000억원에 육박하는 영업적자를 기록했다. 지난 3년간 누적된 적자만 2조원에 달한다. 회사 측은 추가적인 자금조달을 진행하는 한편, 투자 비용도 전년 대비 1조원 이상 축소해 집행한다는 방침이다. 롯데케미칼은 7일 실적 공시를 통해 지난해 매출 20조4304억원, 영업손실 8948억원을 기록했다고 밝혔다. 매출은 전년 대비 2.4% 증가했으나 영업이익은 157.3% 감소하며 전년(영업손실 3477억원) 대비 적자 폭이 늘어났다. 2022년(영업손실 7626억원)과 2023년(3477억원)에 이어 잇달아 고전하며, 지난 3년간 누적 적자 규모는 2조원을 웃돌게 됐다. 롯데케미칼은 ""글로벌 공급과잉 및 경기침체로 수요회복이 지연되는 등 석유화학 사업 전반의 다운사이클의 깊이와 회복 시점의 불확실성이 지속 중”이라며 “이러한 대외환경 속에서 매출은 전년 대비 증가했으나 영업이익과 순이익은 적자 폭이 확대됐다”고 설명했다. 이어 “다만 순이익은 손상차손 등 일회성 비용이 반영됐고 이는 회계상 인식되는 손실일 뿐 실제 현금 유출이 일어나는 것은 아니다”라고 부연했다. 올해는 원료 가격과 운반비 부담이 감소하고 환율 영향, 경기부양 정책 등 글로벌 수요 확대 요인 영향으로 점진적인 업황 개선을 기대할 수 있을 것으로 회사 측은 전망했다. 또한 본원적 사업 경쟁력 확보를 위한 혁신 활동에 집중해 수익성을 개선하고, 고부가 스페셜티 확대 등 사업 포트폴리오 전환과 재무건전성 확보를 적극적으로 추진해 나간다는 설명이다. 회사 측은 ""비핵심 자산 전반에 대한 에셋라이트(자산 경량화)를 추진하고 범용사업 비중 축소를 위한 매각 작업과 함께 추가적인 효율성·경쟁력 확보를 위한 다양한 방법을 열어놓고 검토할 것""이라고 밝혔다. 또한 롯데 화학군 계열사의 본원적 사업경쟁력 확보를 위해 각 사별 혁신 활동을 담당할 전담조직을 구축하고 성과중심의 과제 발굴·실천을 통해 수익성을 제고하고 운영 효율성을 향상시켜 나갈 예정이다. 재무건전성 확보를 위해 안정적인 자금조달을 진행하고, 투자 비용도 전년 대비 1조원 이상 축소해 집행한다는 방침이다. 신규 투자는 보수적 관점에서 재검토하며 상각전영업이익(EBITDA) 내에서 투자 관리를 진행할 계획이다. 아울러 롯데케미칼은 결산배당으로 보통주 1주당 1000원의 현금배당을 결정하고 해당 배당은 오는 3월 정기주주총회에서 확정한다고 이날 밝혔다. 지난해 7월에는 주주가치 제고를 위해 중간배당으로 주당 배당금 1000원을 지급한 바 있다."
"우리금융, 작년 당기순익 3조 돌파…보통주자본비율 12.08%",황윤주,아시아경제,2025-02-07,"우리금융그룹은 지난해 당기순이익 3조860억원을 기록하며 역대 두 번째로 높은 실적을 냈다. 특히 보통주자본비율이 12%를 넘어섰다. 우리금융은 2024년 당기순이익은 3조860억원으로 전년 대비 23.1% 증가했다고 7일 밝혔다. 그룹 ROE는 9.3%로 전년 대비 1.0%p 개선됐다. 그룹 전체 이자이익은 전년 대비 1.6% 증가하며 견조한 성장세를 유지했다. 이는 두 차례 기준금리 인하 등 영향이 있었음에도, 중소기업 특화점포 신설, 국가첨단전략산업단지 중점 지원 등을 통해 기업대출 부문을 9.0% 증가시키며 견실한 자산성장을 이끌어낸 결과로 해석된다. 비이자이익은 전년 대비 41.9% 증가하며 이익 성장을 크게 견인했다. 특히 은행(WM, IB 등)·비은행부문의 다각적인 영업 확대에 힘입어 수수료 이익이 전년 대비 21.3% 증가하며 순영업수익 내에서 차지하는 비중이 20% 수준까지 확대되었다. 그룹 판매관리비용률은 42.8%으로 증권사 출범 및 디지털·IT 투자 확대 등 비용이 증가했음에도, 꾸준한 비용효율화 결실로 전년 대비 0.7%p 감소하며 하향 안정세가 지속되었다. 그룹 대손비용은 연간 1조 7163억원으로 집계됐다. 4분기에도 비은행 자회사 PF 대출 추가 충당금 적립 등 선제적인 조치를 통해 불확실성에 대비한 위험관리역량을 강화했다. 자산건전성 지표인 NPL비율은 그룹 0.57%, 은행 0.23%로 전년 대비 소폭 증가했다. NPL커버리지비율은 그룹 153.0%, 은행 247.4%로 업계 최고 수준을 기록했다. 그룹 보통주자본비율은 12.08%로 4분기에 환율 150원 급등에 따라 약 40bp 감소 영향이 있었으나, 전사적인 위험가중자산 관리 노력에 힘입어 지난 분기 대비 13bp 상승했다. 이에 따라 우리금융 이사회는 주당 660원의 결산 배당을 결의했다. 2024년 연간 배당금은 주당 1200원으로 역대 최대 규모를 기록했다. 또 올해 자사주 매입·소각을 전년 대비 약 10% 증가한 1500억원으로 결정했다."
원·달러 환율 0.1원 오른 1447.8원 마감,김유리,아시아경제,2025-02-07,7일 서울 외환시장에서 원·달러 환율은 오후 3시30분 기준 전 거래일 대비 0.1원 오른 1447.8원에 마감했다.
삼성 갤럭시S25 사면 신한카드 캐시백 10만원 쌓는다,문채석,아시아경제,2025-02-07,"신한카드로 거래하는 삼성 갤럭시 S25 시리즈 구매 고객은 다음 달 말까지 최대 10만원 상당의 캐시백 포인트를 쌓을 수 있게 된다. 신한카드는 갤럭시 S25 시리즈 구매 고객 대상으로 캐시백 혜택을 제공하는 이벤트를 연다고 7일 밝혔다. 우선 KT 에서 다음 달 31일까지 'KT 가족만족 할부 신한카드(마스터)'로 갤럭시 S25 시리즈 구매 고객에게 최대 10만원 캐시백 이벤트를 진행한다. 직전 6개월간 신한카드의 신용카드를 쓴 적 없는 고객을 대상으로 한다. 단말기 할부를 50만원 이상 결제하고 KT 통신 요금을 이 카드로 내면 8만원 상당 캐시백을 쌓을 수 있다. 갤럭시 S25 시리즈 개통과 함께 KT 중고 보상 프로그램 '갤럭시 체인지 초이스'에 가입하면 2만원을 추가로 받는다. LG유플러스 에서도 다음 달 31일까지 갤럭시 S25 구매 고객 대상 최대 10만원 캐시백 이벤트를 연다. 'LG유플러스 스마트플랜 플러스 신한카드' 또는 'LG유플러스 스마트플랜 플러스(중고폰 보상 플랜) 신한카드'로 단말기 할부를 50만원 이상 결제하고 LG유플 통신요금을 카드로 내면 8만원을 쌓을 수 있다. 직전 6개월간 신한카드의 신용카드를 쓴 적 없는 고객을 대상으로 진행한다. 마스터 브랜드에 한해 제공한다. LG유플러스 중고 보상 프로그램 '폰교체패스 위드 뉴 갤럭시 Ai클럽'에 가입 고객에게는 추가 2만원 캐시백을 준다. 갤럭시 이벤트와 별개로 이용 조건에 따라 24개월간 최대 48만원을 깎아주는 제휴카드 이벤트도 KT, LG유플에서 운영하고 있다고 신한카드는 알렸다. 홈플러스, 11번가에서 갤럭시 S25 시리즈를 산 고객 대상 이벤트도 연다. 홈플러스에서 개인 신용카드 고객에 한해 100만원 이상 결제 시 6개월 또는 10개월 무이자할부 서비스를 제공한다. 11번가 11페이로 100만원 이상 결제하는 고객에게는 7~16개월 무이자할부 서비스를 제공한다. 갤럭시 S25 시리즈까지 사면 결제액의 6%, 최대 10만원을 깎아준다."
부산항만공사 제8대 사장에 송상근 前 해수부 차관,세종=강나훔,아시아경제,2025-02-07,"해양수산부는 부산항만공사 제8대 사장에 송상근 전 해양수산부 차관을 임명했다고 7일 밝혔다. 송 신임 사장은 1992년 행정고시 36회로 공직에 입문해 부산지방해양수산청 항만물류과장, 국토해양부 항만물류기획과장, 해양수산부 대변인, 주영대사관 공사참사관, 해양수산부 해양정책실장 등 주요 보직을 두루 역임했다. 해양수산부 차관을 지내고 공직생활을 마무리했다. 송 신임 사장은 해양수산 전반에 대한 업무 경험과 전문성뿐만 아니라 국제적 감각까지 겸비한 해운·항만·국제물류 전문가로 평가받는다. 공사의 경영 안정은 물론, 부산항 진해신항 개발, 북항 재개발 등 부산항의 주요 현안을 신속하게 추진할 것으로 기대된다. 임기는 오는 10일부터 2028년 2월 9일까지 3년이다."
