article_name,journalist,publisher,date,article
"""안심하고 스키타세요""…롯데손보, 1800원 미니 스키보험 출시",문채석,아시아경제,2025.01.31,"롯데손해보험 은 겨울 스포츠 사고 보장 내용을 담은 '스키 레저 상해보험' 상품을 출시했다고 31일 밝혔다. 연령·성별과 상관없이 보험료 1800원이면 스키, 스노보드 등 겨울 스포츠를 즐기는 만 19~59세 고객 부상 시 보장받도록 만든 상품이다. 골절진단·수술비, 깁스 치료비 등 상해 위험만 꼼꼼히 보장하는 '최적가 플랜', 집을 나선 뒤부터 귀가까지 교통사고 등 모든 위험을 보장하는 '끝판왕 플랜' 2가지 상품으로 구성했다. 끝판왕 플랜 가입자는 스키를 타다 부상을 당해 후유장해 진단을 받으면 최대 3000만원, 골절 진단 시 50만원, 깁스 치료 시 30만원, 교통사고처리지원금(동승자 포함) 최대 3000만원, 운전자벌금 최대 3000만원을 보장받는다. 롯데손보는 모나 용평리조트와 업무제휴를 맺고 스키장 슬로프 입구 및 매표소 앞에 QR 코드 입력기를 설치했다. 롯데손보 관계자는 ""스키장에 자주 방문할 예정이거나 보장이 필요하다고 느끼는 고객을 위한 미니 보험”이라며 ""앞으로도 고객 맞춤 보험서비스를 출시하겠다""고 말했다."
"네이버페이, 골프존파크 결제오픈 프로모션…""2만원 결제시 4000포인트""",문채석,아시아경제,2025.01.31,"다음 달까지 골프존파크 매장에서 네이버페이 머니·포인트 2만원 이상 결제 시 최대 4000포인트 혜택을 받을 수 있다. 네이버페이가 골프존파크 결제를 오픈 기념 프로모션을 진행하기 때문이다. 네이버페이는 다음 달까지 골프존파크 결제오픈 기념 프로모션을 진행한다고 31일 밝혔다. 네이버페이는 지난해 12월 골프존파크 매장 현장결제를 도입했다. 프로모션 기간 투비전, 투비전+, 투비전NX 버전을 적용한 전국 골프존파크 매장에서 2만원 이상 결제하면 네이버페이 1000포인트를 쌓을 수 있다. 프로모션은 4회차로 나눠 진행한다. 최대 4번 참여할 수 있다. 4000포인트까지 쌓을 수 있다는 이야기다. 네이버페이는 프로모션 이후에도 골프존파크와 함께 다양한 혜택을 제공한다고 했다. 골프존파크 프로모션 관련 내용은 네이버페이 애플리케이션 하단 '혜택' 탭 내 '현장결제하고 포인트 받기'를 통해 확인하면 된다. 네이버 검색창에 '네이버페이 포스트'를 입력한 뒤 '네이버페이 현장결제' 시리즈에서 확인해도 된다. 한편 골프존파크 매장 네이버페이 현장결제법은 최나연 전 LPGA 골프선수 유튜브 채널에도 소개됐다. 최 전 선수는 스크린 골프장에서 손님 응대, 일일 이벤트 진행 등을 하며 네이버페이 포인트를 현장결제로 쓰는 법을 안내했다."
나 빼고 다 가입한 '그 적금'…연 최대 '9.54%' 금리 상품 뭐길래,권재희,아시아경제,2025.01.31,"서민금융진흥원은 오는 2월3일부터 14일까지 청년도약계좌 2월 가입신청을 받는다고 31일 밝혔다. 청년도약계좌는 매월 취급 은행(KB국민·신한·우리·하나·NH농협·부산·광주·전북·경남은행·iM뱅크) 애플리케이션(앱)에서 가입요건 확인 후 계좌를 개설할 수 있다. 1인 가구는 2월20일부터 3월 14일, 2인 이상 가구는 3월4일부터 3월24일까지 영업일 내에 계좌를 개설할 수 있다. 청년의 중장기 자산형성 지원을 위해 출시한 청년도약계좌는 만기 5년 동안 매월 70만원 한도 내에서 자유롭게 납입(금리 연 4.5~6.0%)하고 정부가 월 납입분에 대해 납입자의 소득 구간에 따라 기여금을 매칭한도(월 40만~60만원)까지 지급하는 적금 상품이다. 올해 1월부터는 기여금을 모든 소득 구간에서 납부 한도(월 70만원)까지 확대 지급하고, 확대된 구간에는 매칭 비율 3.0%를 적용한 기여금을 지급한다. 이에 따라 가입자는 수령하는 기여금이 월 최대 2만4000원에서 3만3000원으로 증가해, 만기 시에는 연 최대 9.54%의 일반적금 상품에 가입한 것과 같은 효과를 누릴 수 있다. 한편 1월 가입신청 기간 중 총 17만명이 가입을 신청한 청년도약계좌는 2023년 6월 운영 개시 이후 누적 282만명이 가입신청을 하고, 162만명이 계좌를 개설한 바 있다. 청년도약계좌 상품에 대한 보다 자세한 안내는 청년도약계좌 홈페이지 또는 서민금융진흥원 홈페이지를 참고하거나, 서민금융콜센터나 취급 은행 콜센터로 문의하면 된다."
"PFCT, 국내 첫 'AI 신용평가 솔루션 아카데미 성료…""우수 수료생 인턴채용""",문채석,아시아경제,2025.01.31,"인공지능(AI) 기술금융사 피에프씨테크놀로지스(PFCT·옛 피플펀드)가 국내 최초 AI 신용평가 원리·개발·적용 경험 교육 아카데미를 성공적으로 마무리했다. 우수 수료생을 인턴으로 뽑아 6개월간 실무 프로젝트에 투입할 방침이다. PFCT는 서울 서초구 PFCT 본사에서 최근 진행한 '제1회 PFCT AI 신용평가 아카데미'를 마무리했다고 31일 밝혔다. 아카데미는 AI 기술로 금융 산업 발전에 기여한다는 취지로 마련한 교육 프로그램이다. 기존 시장에서 배울 수 없는 AI 금융기술 교육을 무료로 제공한다. 30개 이상 금융기관 컨설팅 경험을 갖춘 금융기술 전문가, AI 금융기술 개발자, 데이터분석가 등이 강사로 참여해 교육 과정을 설계했다. 수료생들은 교육 기간 국내 금융 시장 및 데이터 환경, 신용평가 모델링 101, 여신 취급 전략 개발 이론, 수기 심사 체험 등을 경험했다. PFCT는 ""신용평가사에 입사해야만 경험할 수 있는 실무 중심 교육 프로그램을 구성했다""고 설명했다. PFCT는 아카데미 우수 수료자들을 인턴으로 선발해 오는 3월부터 6개월간 금융기관 프로젝트에 투입할 예정이다. PFCT AI 리스크관리 솔루션 '에어팩' 등 금융기술 실무 경험을 제공한다. 이수환 PFCT 대표는 ""혁신적인 여신기술 전문가를 지속 양성하고 국내 AI 기술금융업이 성장하려면 우수 AI 인재들이 국내 여신 및 리스크 시장에 유입돼야 한다""고 말했다."
"현대커머셜 '고트럭' 명세서서비스 인기…""신규고객 10명 중 7명 이용""",문채석,아시아경제,2025.01.31,"현대커머셜 신규고객 10명 중 7명은 이 회사 상용차 운전자 서비스 애플리케이션(앱) '고트럭' 앱 명세서 서비스를 이용하는 것으로 나타났다. 앱 서비스 고도화를 꾸준히 한 결과 지난달 앱 월간이용자수(MAU)가 지난해 상반기 대비 50% 이상 느는 등 상용차주들의 큰 호응을 받고 있다는 설명이다. 현대커머셜은 해당 서비스를 쓰는 신규 고객 비중이 70%를 넘어섰다고 31일 밝혔다. 서비스를 활용하면 매달 청구되는 결제금액을 편하게 확인할 수 있다. 상용차 차주들은 지로나 이메일뿐 아니라 앱에서 상환 일정 등 정보를 볼 수 있다. 결제일 변경, 서류 발급, 중도 상환 등 업무도 편하게 처리할 수 있다. 현대커머셜은 지난달 앱 MAU가 지난해 상반기 대비 50% 이상 늘었다고 했다. 고트럭 앱 이용자의 30%는 현대커머셜 금융상품을 이용하지 않는 고객일 정도로 상용차주들에게 큰 호응을 얻고 있다고 했다. 현대커머셜은 지난해 7월 앱 명세서 서비스 등 금융 서비스를 중심으로 고트럭 앱 사용자 인터페이스·사용자 경험(UI·UX) 편의성을 높였다. 업계 최초로 상용차 금융 서비스 전 과정을 앱에서 진행하도록 관련 기능을 마련했다. 필요 금융 상품을 고객에게 맞춤 제공한다. 금리 할인, 중도상환수수료 면제 등 추가 혜택도 준다. 상용차주에게 필요한 다양한 서비스를 제공한다. '일 구하기 서비스'는 운전자 차종과 근무 환경에 맞는 최적의 일감을 추천한다. '내 차 팔기 서비스'를 이용하면 화물차는 물론 건설기계 시세 조회, 공인평가사 무료 방문 진단 서비스 등을 받을 수 있다. 현대커머셜 관계자는 ""현대커머셜 산업금융 전문성을 바탕으로 상용차 운전자 서비스를 강화한 결과 회원 약 20만명이 자사 금융서비스를 쓰고 있다""며 ""상용차 고객 특화 서비스를 계속 선보일 계획""이라고 말했다. 현대커머셜은 앱 명세서 서비스 고객 대상 이벤트를 진행한다고 알렸다. 고객이 고트럭 앱을 통해 명세서를 확인하면 매달 3000원을 준다."
원·달러 시장 선도은행 7곳 선정…농협·한국스탠다드차타드銀 추가,김유리,아시아경제,2025.01.30,"한국은행과 기획재정부는 2025년도 원·달러 시장 선도은행(FX Leading Bank)으로 국민은행, 농협은행, 산업은행, 신한은행, 우리은행, 하나은행, 한국스탠다드차타드은행(가나다 순) 등 7개 외국환은행을 선정했다고 30일 밝혔다. 올해는 농협은행과 한국스탠다드차타드은행이 신규로 선정됐다. 지난해 선도은행 중 제이피모간체이스은행과 크레디아그리콜은행은 제외됐다. 선도은행은 재무 건전성, 신용도 등이 양호한 외국환은행 중 원·달러 현물환·외환스왑 거래실적이 우수한 기관으로, 1년 단위로 선정한다. 선정 시 외환건전성부담금을 최대 60%까지 감면한다. '외환시장 구조개선 방안'은 지난해 7월 정식 시행된 이후 원활히 진행되고 있다. 지난해 하반기(7~12월) 일평균 거래량은 전년 대비 8.6% 증가했다. 지난 5년 평균 대비로는 36% 늘었다. 다만 외환당국은 연장 시간대에 일정 수준 이상의 유동성을 안정적·지속적으로 확보하기 위해서는 선도은행의 활발한 거래와 시장조성 역할이 더욱 중요하다고 보고, 선도은행 선정 기준을 변경 적용했다. 올해 선도은행 선정을 위한 거래실적 산정에선 시간대별로 가중치를 차등 적용해 평가했다. 오후 6시~10시에 체결된 거래에는 오전 9시~오후 6시 거래의 2배, 오후 10시부터 다음 날 오전 2시에 체결된 거래에는 3배의 가중치를 적용, 은행들이 야간시간대에 보다 적극적으로 참여하도록 했다. 외환당국은 선도은행에 적용되는 외환건전성부담금 공제 제도도 일부 조정을 추진 중이다. 외환건전성부담금은 자본유출입 변동성 완화를 위해 은행 등의 단기 외화부채 잔액(잔액의 0.1%)에 부과한다. 2026년 이후에는 선도은행 공제액을 양방향 거래실적이 아닌 매도·매수 가격을 제시(호가)해 체결된, 즉 '시장조성' 거래실적을 기준으로 산정한다. 이에 따라 2026년 선도은행으로 선정되면, 은행은 2025년 중 호가거래실적(시장조성 거래실적)에 따라 2025사업연도 외환건전성부담금이 감면된다. 해당 항목으로 공제받을 수 있는 한도 또한 부담금 부과 대상 금액의 10% 이상에서 15% 이상으로 확대한다. 이 같은 내용을 담은 '외국환거래규정' 개정안은 최근 행정예고를 마쳤으며, 내년부터 관련 조항을 적용할 예정이다. 한국은행과 기획재정부는 선도은행이 시장조성과 연장 시간대 거래 활성화에 적극적으로 참여해 우리 외환시장의 폭과 깊이 확대에 기여할 수 있도록 정책적인 지원을 지속해 나갈 것이라고 말했다."
국민연금 보험료 7월부터 月 1만8000원 인상,황서율,아시아경제,2025.01.30,"국민연금 보험료 책정 기준이 되는 기준소득금액이 바뀌면서 올해 7월부터 보험료가 최대 1만8000원 오른다. 30일 보건복지부와 국민연금공단에 따르면 올해 기준소득월액 상한액은 617만원에서 637만원으로, 하한액은 39만원에서 40만원으로 각각 올랐다. 이는 올해 7월부터 내년 6월까지 1년간 적용된다. 국민연금은 기준소득금액 상·하한선을 정해 보험료를 책정한다. 가령 올해 기준으로 살펴보면 월 640만원을 벌더라도 월 소득이 상한선인 637만원이라고 가정하고 보험료를 받는 것이다. 하한선도 마찬가지로 월 소득이 38만원이라고 해도 40만원을 기준으로 보험료를 책정한다. 정부는 매년 국민연금심의위원회를 열고 전체 국민연금 가입자 평균소득의 최근 3년간 평균액 변동률에 맞춰 상·하한액을 조정한다. 보험료는 기준소득월액에 보험료율(9%)을 곱한다. 월 소득 637만원 이상 가입자의 경우 월 보험료는 기존 55만5300원에서 57만3300원으로 1만8000원 오른다. 직장가입자는 회사와 보험료를 반반씩 부담하기 때문에 월 9000원 인상되지만, 지역가입자는 보험료 전액을 본인이 내야 한다. 하한액 조정으로 월 40만원 미만 소득 가입자의 보험료는 월 3만5100원에서 월 3만6000원으로 월 최대 900원 오른다. 단, 기존 상한액(617만원)과 새 하한액(40만원) 내 가입자의 보험료는 변화가 없다."
"금융공기업 7곳 수장, 올해 임기 끝…정국 혼란에 표류하는 인선",김혜민,아시아경제,2025.01.30,"비상계엄과 탄핵 정국 여파로 금융공기업 수장의 후임 인선 작업이 '시계제로' 상태에 빠졌다. 이미 임기가 끝난 곳도 사장 공모 등 인사 작업을 진행하지 못하고 있다. 절차상 대통령 임명이 필요한데다 정부 입김에서 자유로울 수 없는 탓인데, 새 정부가 꾸려질 때까지 공백 상태가 계속될 수 있다는 전망도 나온다. 30일 금융권에 따르면 올해 기관장 임기가 끝나는 금융공기업은 7곳으로 파악되고 있다. 이 중 3곳은 이미 임기가 끝났다. 수장이 같은 서민금융진흥원(서금원)과 신용회복위원회는 이재연 원장의 임기가 지난 1일 만료됐다. 한국자산관리공사(캠코)는 지난 17일 권남주 사장이 임기를 모두 마쳤다. 산업은행(6월), 신용보증기금(8월), 금융결제원(8월), 예금보험공사(11월) 등 4곳도 기관장 임기가 올해 끝난다. 서금원과 캠코는 이미 임기를 마쳤지만, 후임 인선 작업이 사실상 멈춘 상태다. 캠코는 후임 사장을 선출하기 위한 첫 단계인 임원추천위원회를 지난해 11월 구성했지만, 이후 비상계엄과 탄핵 정국이 불거지면서 더이상 진행을 하지 못하고 있다. 서금원은 아직 임추위도 구성하지 못했다. 이들 기관의 후임 선임 절차는 최소 2~3개월이 걸린다. 공공기관의 운영에 관한 법률(공운법)에 따라 임추위 구성 → 후보자 공모 → 임추위의 후보자 추천 → 금융위원장 임명 또는 제청 → 대통령 최종 임명 등 단계를 거쳐야 한다. 인선 작업이 늦어지지 않도록 법에는 임기 만료 2개월 전까지 임추위를 구성하도록 명시하고 있다. 하지만 지난 연말 후보자를 검증하고 최종 승인해야 할 대통령실 직무가 정지되면서 사실상 손을 놨다. 인선 작업은 상당 기간 지연될 가능성이 크다. 금융권에서는 차기 대선 이후 공기업 인선이 정상화될 것으로 보고 있다. 조기 대선은 5~6월 사이로 전망되는데, 이 경우 초대 내각 구성 작업 등과 맞물려 올해 임기 종료를 앞둔 다른 4곳도 인선 작업이 지연될 수 있다. 금융권 관계자는 ""금융공기업 기관장은 금융위나 기획재정부 등 정부 출신 인사와 정치권 사실상 후보군""이라며 ""차기 대선 이후 정부부처 1급 인사들의 거취가 결정돼야 인선 작업도 속도가 날 것""이라고 말했다. 금융공기업은 후임이 인선될 때까지 기존 기관장이 업무를 이어가도록 하고 있다. 캠코와 서금진, 신용회복위 역시 마찬가지인 상황이다. 업무 공백이 발생할 우려는 적지만, 임시 운영체제가 계속되고 있는 것이다. 임시 체제가 길어질수록 정책집행의 손발 역할을 하는 공공기관의 업무 추진 동력도 떨어질 수 있다. 신규 사업을 추진하거나 중장기 계획을 수립하기도 쉽지 않다. 금융권 관계자는 ""내부 긴장감도 떨어질 수밖에 없다""며 ""정치상황이나 주무부처 인사에 휘둘려 인사가 지연되는 것은 고질적인 문제""라고 말했다."
"임기 만료 앞둔 부산·경남은행장, 연임 가능성은",오규민,아시아경제,2025.01.29,"올해 3월 임기 만료를 앞둔 BNK금융지주 산하 은행장들의 연임 가능성을 두고 이목이 쏠리고 있다. 방성빈 부산은행장은 부산시금고 유지와 케이뱅크 협업 등 임기 만료 직전 일부 성과를 거두고 있으나 부진한 실적이 아쉽다는 평이다. 예경탁 경남은행장은 실적은 좋으나 대규모 횡령사고가 발목을 잡을 가능성이 크다. 은행이 아닌 지주에서 행장 후보를 추천하는 체계인 만큼 빈대인 BNK금융지주 회장의 의중이 크게 작용할 것으로 보인다. 29일 금융권에 따르면 BNK금융지주는 지난해 말 자회사 최고경영자(CEO) 후보추천위원회(자추위) 첫 회의를 열고 부산은행, 경남은행 등 자회사 CEO 후보 선임 절차를 시작했다. 방 행장은 부산시 시금고같은 ‘집토끼’를 잡아두고 인터넷은행과의 협업을 이끌어내는 등 신사업 분야에서 좋은 평가를 받는다. 지난해 9월 부산시 금고지정심의위원회는 주금고에 부산은행, 제2금고에 KB국민은행을 선정했다. 국민은행과 기업은행이 도전장을 내밀며 쉽지 않은 경쟁이 예상됐으나 이를 이겨낸 것이다. 그의 지역 밀착 행보가 재선정에 결정적이었다는 평가도 나온다. 부산은행은 올해 금융위원회가 선정한 ‘금융사 지역 재투자 평가’에서 부산 지역 최우수 등급을 받았다. 케이뱅크와의 공동대출 상품 출시도 이끌어냈다. 부산은행과 케이뱅크는 지난 23일 전략적 마케팅 제휴 업무 협약을 체결했다. JB금융지주 산하 은행(전북·광주)이 각각 카카오뱅크, 토스뱅크와 공동대출 상품을 출시한 것과 맥을 같이 한다. 방 행장은 이번 협업에 대해 “인터넷전문은행과 지방은행의 전략적 협력을 바탕으로 신규 비즈니스 모델 발굴과 공동 마케팅을 지속해 추진해 나갈 계획”이라고 말했다. 다만 부산은행의 부진한 실적이 아쉽다. 지방은행 중 유일하게 지난해 3분기까지 누적 당기순이익이 전년 대비 하락했다. 부산은행의 지난해 3분기 기준 누적 당기순이익은 3847억원으로 전년(3930억원) 대비 2.1% 감소했다. 부동산 프로젝트파이낸싱(PF) 여파가 직접적인 영향을 끼쳤다곤 하지만 다른 은행도 같은 여건에 있는 만큼 비판을 피하기 어려울 것으로 보인다. 예 행장의 경우 취임 이후 실적이 좋다. 그의 취임 첫해인 2023년 역대 최대 순이익(2571억원)을 경신했던 경남은행은 지난해 3분기에도 좋은 성적표를 받았다. 당시 누적 당기순이익은 2908억원으로, 전년(2392억원) 대비 21.6% 증가했다. 다만 그는 대규모 횡령사고로 내부통제 책임에서 자유롭기 어렵다. 2023년 횡령금액 2988억원에 달하는 부동산 PF 대출 횡령사고가 일어났다. 사고 발생 기간은 2008년부터 2022년까지로 예 행장 임기와 관련이 없지만 이후 경남은행의 늦은 사과 통지 등으로 비판을 받은 바 있다. 이 사건으로 경남은행은 금융당국으로부터 부동산PF 대출 신규 업무에 대한 6개월 영업정지 처분을 받았다. 이로 인한 내홍도 겪었다. 사고 수습을 위해 은행 임직원 성과급을 환수하기로 결정하면서 노조가 이에 반발했다. 지난해 책무구조도 시범운영에 참여하지 않는 등 내부통제 방지에도 미온적인 태도를 보이는 점도 아쉽다. 이들의 연임 여부는 빈 회장의 의중에 따라 달라질 것으로 보인다. 2023년 10월 BNK금융은 자추위를 신설하며 그룹 회장의 권한이 커졌다. 구체적으로 그간 계열사 임원후보추천위원회가 자사 CEO 후보자를 선출하고 심사하고 이사회에 추천하는 역할을 모두 행했다. 하지만 자추위 신설 후 그룹 자추위가 계열사 임원후보추천위원회에 자회사 CEO 후보를 단수 추천하는 방식으로 변경됐다. 현재 자추위원은 총 4명으로 사내이사인 빈 회장과 사외이사 3명이다."
귀성길 남의 차 얻어타고 간다면…알아두면 쏠쏠한 車보험 꿀팁,최동현,아시아경제,2025.01.28,이 경우 자신의 자동차보험에서 '다른 자동차 운전 특약'에 가입했다면 큰 문제가 없다. 이 특약은 내가 다른 차량을 운전하다 발생하는 사고를 보상한다. 본인의 차량과 동일한 차종으로 본인이나 가족(부모·배우자·자녀)이 소유(사용)하고 있지 않은 자동차면 가능하다. 이 특약에 가입해 만약 사고가 나면 대인II·대물·자기신체사고를 보상받을 수 있다. 대인I은 차주의 보험에서 보상한다. 차주 A씨의 입장에서는 어떤 보험이 좋을까. A씨는 '단기 운전자 확대 특약'이 현명한 선택이다. 이 특약은 다른 사람과 내 차를 교대 운전하는 경우 발생할 수 있는 사고를 보상한다. 내가 현재 가입한 자동차보험의 보장범위와 동일한 효력을 가진다. 다만 특약 가입일의 24시부터 종료일 24시까지만 보상효력이 발생하기 때문에 운전하기 전날 미리 가입해야 한다. 이 특약에서 정한 운전자 범위에 해당하지 않는 사람이 운전할 경우 보험처리가 되지 않을 수 있어 유의해야 한다. 날씨가 추운 설 연휴엔 배터리 방전을 비롯해 연료소진과 타이어 펑크 등 미처 예상하지 못한 차 고장도 빈번하다. 이 경우 당황하지 말고 자신이 가입한 자동차보험사에 연락해 24시간 긴급출동 서비스를 신청하면 좋다. 보험사에 따라 긴급견인·비상급유·배터리충전·타이어 수리 등의 서비스가 제공된다. 만약 교통사고가 발생했다면 어떻게 대처해야 할까. 우선 사고 발생 시 경찰에 신고하고 보험사 콜센터에 사고를 접수해 도움을 받아야 한다. 밤길에 사고가 났다면 2차 사고를 막기 위해 비상등을 켜고 안전삼각대나 불꽃신호기를 설치해 후속차량에 사고사실을 알려야 한다. 이후 도로를 잘 살피고 가드레일 밖 등 안전한 곳으로 대피해야 한다. 스마트폰 등을 활용해 사고차량과 현장을 꼼꼼히 촬영하면 추후 도움이 된다. 다른 차량과 충돌했을 경우 자동차 사고의 과실비율이 궁금하면 손해보험협회가 운영하는 '과실비율정보포털'을 참고하면 좋다. 이곳에 게재된 과실비율 인정기준은 교통사고 발생 시 가해자와 피해자의 책임정도를 나타내는 과실비율에 대해 법원 판례·법령·분쟁조정 사례 등을 참고로 만들어진 국내 유일 공식인정기준이다. 설 연휴엔 차 사고 외에 다른 안전사고도 빈번하다. 일상생활배상책임보험은 일상생활 중 예기치 않은 사고로 타인의 신체나 재물에 피해를 줘 발생한 손해배상책임을 보상해주는 보험이다. 주로 보험사의 상해보험·주택화재보험·어린이보험 등에 특약으로 포함돼 있다. 이번 기회에 본인이 가입한 보험 내역에서 해당 특약이 있는지 확인해보는 것도 좋다. 피보험자가 자신의 차량 앞에 이중 주차된 차를 밀다 접촉사고가 발생한 경우 피해차량 수리비 보상도 가능하다. 반려동물 산책 중 타인이나 다른 반려동물을 물어 다치게 한 경우 치료비 보상이 가능하다. 아이가 놀이터에서 놀다가 휴대폰 등 타인의 재물에 손해를 입힌 경우도 수리비 보상이 가능하다.
