article_name,journalist,publisher,date,article
"한국 찾는 샘 올트먼, 삼성·SK·카카오 만난다",,조선일보,2025.02.03,"미국 오픈AI의 샘 올트먼 창업자 겸 최고경영자(CEO)가 4일 서울에서 최태원 SK그룹 회장, 삼성전자 최고 경영진, 정신아 카카오 대표 등을 만나 협업 방안을 논의한다. 올트먼 CEO는 3일 일본에서 이시바 시게루 일본 총리와 손정의 소프트뱅크 회장과 면담했고, 방한(訪韓) 이후엔 인도·유럽·중동을 찾는다. 중국의 인공지능(AI) 스타트업 ‘딥시크’ 등 경쟁자의 추격이 거세지자, 글로벌 기업들과 협업을 통해 AI 경쟁력을 강화하고 투자를 유치하기 위해서다. 블룸버그는 “딥시크가 저예산으로 오픈AI와 맞먹는 성과를 보여줬다”며 “올트먼은 이번 순방에서 자사의 AI 모델에 계속 투자할 가치가 있다는 메시지를 보낼 것”이라고 했다. 한국 기업들로서는 세계 최고 수준의 AI 기술을 가진 오픈AI를 통해 AI 분야에서 새로운 사업 기회를 모색할 기회가 될 수 있다는 분석이다. ◇오픈AI, 삼성·SK·카카오와 협업 올트먼 CEO의 한국 방문은 이번이 세 번째다. 이번엔 4일 오전 AI 개발자를 대상으로 열리는 오픈AI 워크숍 ‘빌더 랩’ 참석이 표면적인 목적이다. 세계를 돌면서 열리는 빌더 랩이 한국에서 개최되는 것은 처음이다. 국내 스타트업과 테크 기업의 개발자 100여 명이 참석할 예정이다. 올트먼 CEO는 짧은 방문 기간 중 국내 주요 기업인과도 직접 만난다. 우선 최태원 SK 회장과 만나 오픈AI의 맞춤형 AI 반도체에 탑재하기 위한 고대역폭메모리(HBM) 설계 등에 대해 논의할 것으로 알려졌다. 오픈AI는 지난해부터 데이터센터용 맞춤형 AI 반도체 개발에 뛰어들었다. AI 반도체 설계는 브로드컴이 맡았고, 내년쯤 대만 파운드리 업체 TSMC에서 생산한다는 계획이다. 올트먼 CEO는 여기에 들어가는 HBM 때문에 SK하이닉스와 협업이 필요하다. 한 테크 업계 관계자는 “SK하이닉스 HBM의 물량이 넉넉하지 않기 때문에 이를 확보하려는 차원에서 만나는 것으로 보인다”고 했다. 지난해 1월 경기도 평택에 있는 삼성전자 반도체 공장을 찾았던 올트먼 CEO는 이번에도 삼성전자 고위 경영진을 만난다. 삼성전자의 제품에 오픈AI의 AI 모델을 탑재하는 방안과 AI 전용 단말기 개발 구상에 대해 논의할 것으로 보인다. 오픈AI는 애플의 아이폰을 디자인했던 조너선 아이브와 AI 전용 기기(디바이스) 제작을 추진 중이다. 테크 업계에선 이 기기를 삼성전자가 생산할 수 있다는 전망이 나온다. 올트먼 CEO는 방한 전 일본 니혼게이자이신문과 인터뷰에서 “AI는 컴퓨터와 접하는 방식을 근본적으로 바꾸기 때문에 새 단말기가 필요하다”며 “음성 조작이 관건이 될 것”이라고 했다. 올트먼 CEO는 4일 예정된 정신아 카카오 대표의 기자간담회에도 등장할 것으로 보인다. 카카오는 기자간담회를 통해 오픈AI와의 구체적인 협업 방향을 밝힐 계획이다. 카카오는 올해 대화형 인공지능 서비스인 ‘카나나’를 본격 출시할 예정이다. 카카오는 작년 10월 ‘카나나’ 서비스 구상을 밝히며 자사 AI 모델뿐 아니라 글로벌 기업의 모델도 채택할 수 있다고 밝혔다. 카카오와 오픈AI의 협력에 대한 기대감이 커지면서 카카오 주가는 3일 전날보다 9% 상승했다. ◇오픈AI, 후발 주자 추격에 맞대응 올트먼 CEO는 서울을 떠난 뒤 6일 인도 뉴델리에서 투자자들과 만나고 7일에는 독일 베를린 공대에서 열리는 AI 세미나의 패널로 참석한다. 10일부터 프랑스 파리에서 열리는 AI 서밋에 참석해 다리오 아모데이 앤트로픽 CEO와 데미스 허사비스 구글 딥마인드 CEO도 만난다. 그다음 두바이로 건너가 순다르 피차이 알파벳 CEO와 래리 엘리슨 오라클 공동 창업자, 조셉 차이 알리바바 그룹 홀딩스 회장과 함께 세계 정부 서밋에 참석한다. 올트먼 CEO가 열흘 동안 동아시아·유럽·중동 6국을 다니는 광폭 행보를 보이는 것은 후발 주자들의 위협적인 추격 때문이다. ‘챗GPT’로 생성형 AI 시대를 열었지만, 중국산 가성비 AI인 딥시크와 같은 경쟁자들의 등장으로 주도권을 지키기 어려워졌다. 이에 대응하기 위해 오픈AI는 최근 저렴한 추론 모델 ‘o3-mini’를 내놓은 데 이어 3일에는 고급 검색을 앞세운 AI 에이전트(비서) ‘딥 리서치’를 공개했다."
"샘 올트먼, 내일 카카오와 협업 발표...장중 카카오 주가도 폭등",,조선일보,2025.02.03,"챗GPT를 개발해 생성형 인공지능(AI) 시대를 연 오픈AI 창업자 샘 올트먼 최고경영자(CEO)가 한국을 방문한다. 방한 기간 동안 카카오와의 협업 등을 구체화시키며 오픈AI의 AI 생태계 확보에 나선다. 3일 스타트업 업계에 따르면 오픈AI는 4일 오전 서울 플라자호텔에서 국내 기업 및 스타트업 개발자를 대상으로 비공개 워크숍 ‘빌더 랩’을 개최한다. 빌더 랩은 한국에서 처음으로 열리는 개발자 행사로, 이 자리에 올트먼 CEO 등 오픈AI 관계자들이 대거 참석한다. 올트먼 CEO는 행사 이후 같은 장소에서 오전 11시부터 열리는 정신아 카카오 대표의 기자간담회 자리에도 등장할 것으로 보인다. 카카오는 기자간담회를 통해 오픈AI와의 구체적인 협업 방향을 밝힌다는 계획이다. 카카오는 지난해 자체 AI 서비스 ‘카나나’를 공개했다. 카카오톡이 아닌 별도의 앱으로 운영되는 카나나는 개인 AI 비서를 이용할 수 있는 메신저 서비스다. 카카오는 자체 개발한 AI 모델과 함께 이미 개발된 다양한 AI 모델을 필요에 맞게 선택해 적용하는 ‘모델 오케스트레이션’ 전략을 활용한다는 방침을 밝힌 바 있다. 샘 올트만 방한으로 카카오와 오픈AI와의 협업이 구체화되면서 오픈AI 모델을 중심으로 한 카카오만의 AI 개발 전략에도 속도가 붙을 것으로 보인다. 한편, 카카오와 오픈AI의 협업에 대한 기대감이 커지면서 카카오 주가는 3일 오후 3시 기준 전 거래일 대비 3550원 오른 41900원에 거래되고 있다."
보안 우려에...전세계 '딥시크 사용 금지' 물결 일어,,조선일보,2025.02.03,"테크계에 저비용·고성능 인공지능(AI)으로 쇼크를 몰아온 딥시크가 개인정보 문제로 몸살을 겪고 있다. 딥시크의 AI를 사용할 경우 개인정보 데이터가 유출될 수 있는 취약점이 지적되면서 미국은 물론 전세계에서 ‘딥시크 밴(Ban·금지)’ 현상이 이어지고 있는 것이다. 2일 텍사스 그레그 애벗 주지사(공화당)는 주정부가 지급한 기기에서 딥시크와 중국판 인스타그램 ‘샤오홍슈’, 틱톡 자매앱 ‘레몬8′ 등 중국 앱 사용을 금지하는 명령을 내렸다. 애벗 주지사는 “텍사스주는 중국 공산당이 데이터 수집 AI와 소셜미디어 앱을 통해 중요한 인프라에 침투하는 것을 허용하지 않을 것”이라며 “주정부 기관과 중요 인프라, 지적 재산, 개인정보를 다루는 직원들은 공산당의 악의적인 스파이 활동으로부터 보호되어야 한다”라고 했다. 이 같은 ‘딥시크 밴’ 움직임은 텍사스 주가 처음은 아니다. 지난달 28일 미 해군 역시 딥시크의 AI에 보안 우려가 있다며 해군 장병들에 이용 금지령을 내렸다. 31일에는 미국우주항공국(NASA)의 최고 인공지능 책임자가 전체 직원에 메모를 보내 “딥시크에 대한 국가 안보와 개인정보 보호에 대한 우려가 제기되고 있다”며 사용 금지할 것을 제안했다. 최근 미 하원에서도 최고 행정 책임자가 공지를 내려 미 의회 사무실에서는 딥시크를 사용하지 못하게 막았다. 2일 CNBC는 “중국 AI앱 딥시크는 수백만명이 다운로드 했지만, 대대적인 삭제가 이뤄질 수도 있다”고 보도했다. 바이든 행정부에서 국가 안보 위원회에서 부국가 안보 보좌관 특별 고문을 지냈던 맷 펄은 CNBC에 “딥시크의 개인정보 보호정챇은 종이에 쓰여진 것만큼의 가치도 없다”며 “딥시크의 사용자의 키 입력 패턴은 모든 기기에서 추적될 수 있고, 광고주로부터 정보가 수집될 수 있다”고 했다. 그러면서 “중국 공산당이 (불법 수집된 데이터를) 활용하기로 결정한다면 상당히 위험해질 수 있다”고 했다. 이 밖에도 딥시크를 통한 대대적인 맬웨어(바이러스) 주입이 가능하고,이는 단순한 앱 업데이트로도 가능하다고 지적했다. 이 같은 우려 때문에 미국이 아닌 해외에서도 딥시크 차단 물결이 이어지고 있다. 2일 일본 NHK에 따르면 다이라 마사아키 디지털상은 전날 오키나와에서 한 강연에서 딥시크와 관련해 “개인정보가 제대로 보호 되는지가 문제”라며 “우려가 불식되기 전 까지는 공무원이 사용하는 것을 삼가거나 사용하려면 유의해야한다”고 했다. 앞서 지난달 31일 일본 중의원에서도 “딥시크가 센카쿠 열도를 중국 땅이라 답변한다”며 “다운로드 중지를 바란다”는 의견이 나왔다. 센카쿠 열도는 일본과 중국 사이에 영토 분쟁이 있는 지역이다. 이 외에 대만 디지털부도 공공부문 직원들에게 안보 위험을 이유로 딥시크 사용을 금지하기도 했다."
"""1조 이상 AI 추경 편성, 핵심 부품 GPU부터 확보해야""",,조선일보,2025.02.03,"중국 인공지능(AI) 스타트업 딥시크가 던진 충격 이후, 국민의힘과 민주당이 AI 관련 추가경정예산(추경) 편성에 대해선 공감대를 보이고 있다. 정부도 예산이 추가 확보되면 AI 반도체 확보 등에 속도를 낸다는 입장이다. 전문가들은 “이번 기회에 예산뿐 아니라 인재 양성과 AI 모델 개발 등 국가 차원의 AI 프로젝트를 마련하고 지원하기 위해 여야가 머리를 맞대야 한다”고 지적한다. ◇1조 이상 AI 추경에 여야 공감대 국민의힘 AI강국도약특위 위원장인 안철수 의원은 2일 페이스북에 “총 20조원 규모의 AI 및 민생 추경을 긴급히 추진해야 한다”고 했다. 이재명 민주당 대표도 지난 1일 페이스북에서 “정부가 추경에 대대적인 AI 개발 지원 예산을 담아 준다면 (이를) 적극적으로 의논하며 협조할 것을 약속한다”며 “양보해야 하는 게 있다면 양보하겠다”고 했다. 편성 시기나 규모에 차이는 있지만 여야 모두 최소 1조원 이상 AI 관련 추경이 필요하다는 데는 공감대가 형성돼 있다. 국민의힘은 공식적으론 올해 1분기 예산 조기 집행 뒤 추경 필요성을 검토하겠다는 입장이다. 안철수 의원은 본지 통화에서 “한국은행의 진단대로 인플레이션 방어가 가능한 선에서 AI 추경은 5조~10조원으로 범위를 잡고 여야가 세부 협의에 나서야 할 것”이라고 했다. 그는 “AI 데이터센터 등 인프라 구축, 기초·기반 기술 R&D(연구·개발) 지원, AI 관련 콘텐츠 개발, 인력 양성 등에 추경 예산을 투입해야 한다”고 했다. 진성준 민주당 정책위의장은 통화에서 “AI·반도체 지원에 1조원가량을 투입할 필요가 있다”고 했다. 민주당 AI 특위는 AI 반도체인 그래픽처리장치(GPU) 구입 등의 명목으로 추경에 관련 예산 1조원을 담아야 한다는 안을 제시한 상태다. ◇AI 인프라에 우선 투입해야 과학기술계와 산업계에서는 AI 인프라에 추경 예산이 우선적으로 투입돼야 한다고 입을 모은다. AI 개발과 운영에는 GPU 같은 AI 반도체가 필수적이다. 스타트업과 학계가 국가 차원에서 마련한 AI 반도체를 공동으로 활용하면서 기술 개발과 인재 양성을 할 수 있는 환경이 필요하다는 지적이다. 해외 주요 빅테크는 이미 GPU를 수만 개씩 보유하고 있다. 옴디아에 따르면 마이크로소프트(MS)는 지난해에만 엔비디아의 GPU를 48만5000개 구매했다고 추정했다. 중국 기업인 바이트댄스와 텐센트도 각각 엔비디아 GPU 23만개를 확보했다. 반면 한국 기업은 수천 개 수준에 그친다. 2년 전 조사(2023 AI산업 실태조사)에서 국내 1440여 기업이 보유한 엔비디아의 최신 GPU(H100)는 1960여 개에 그쳤다. AI 업계 관계자는 “GPU 가격이 워낙 비싸고 물량도 적어, 지금도 상황이 크게 나아지지 않았다”고 말했다. 과학기술정보통신부는 민·관 합작 투자로 최대 2조원 규모의 ‘국가 AI컴퓨팅 센터’를 구축하기로 하고, 2030년까지 GPU를 3만 개 확보하겠다는 구상이다. 하정우 네이버클라우드 센터장은 지난달 국회 간담회에서 “올해 2만 개, 내년 5만 개, 2030년 10만 개로 목표를 상향해야 한다”고 말했다. GPU 도입 시기를 당기고, 더 많은 양을 확보해야 한다는 것이다. 인프라 확보 외에 AI 인재 양성도 시급한 과제다. 고용노동부에 따르면 AI 분야는 2027년까지 1만2800명의 인력이 부족할 것으로 전망된다. 정부 관계자는 “AI의 핵심 3요소인 컴퓨팅 자원(GPU)과 양질의 데이터, 인재를 확보하기 위한 논의가 이뤄질 것으로 보인다”며 “이를 통해 핵심 기술을 확보하는 것이 중요하다”고 했다. 1조원 규모 추경으로는 부족하다는 의견도 나온다. 김정호 KAIST 교수는 “1조원으로는 GPU를 1만 개 구입할 수 있다”며 “중국 딥시크 기업 한 곳이 쓰는 GPU 정도일 것”이라고 말했다. 한 과학기술계 관계자는 “AI 예산은 기업들의 투자를 이끌 수 있는 마중물로 쓰여야 한다”며 “과거 소재·부품·장비 국산화를 위해 R&D 예산을 대폭 늘려다가 나눠먹기식으로 끝난 과오를 되풀이하지 않는 방안도 필요하다”고 말했다."
"""천장 공사 없이 시스템 에어컨 설치""",,조선일보,2025.02.03,"삼성전자가 시스템(천장 매립형) 에어컨을 설치할 때 천장을 낮추는 별도 공사 없이 설치할 수 있는 ‘삼성 인테리어핏 키트’를 출시했다고 2일 밝혔다. 천장 내부 공간이 좁은 구축 아파트나 주택은 시스템 에어컨을 설치하려면 천장을 낮추는 별도 공사가 필요했다. 작업에 2~3일이 필요하고, 층고가 낮아지거나 공사 부위가 튀어나와 미관에 좋지 않았다. 삼성 인테리어핏 키트는 천장 외벽에 구멍을 뚫어 삼성 인테리어핏 키트를 설치하고, 설치된 키트에 시스템 에어컨을 거치하는 방식이다. 이 제품은 삼성전자 가정용 무풍 시스템 에어컨의 모든 모델에 사용할 수 있다."
TV가 액자로 변신… '스탠바이미' 후속작 나왔다,,조선일보,2025.02.03,"LG전자가 화면을 스탠드와 분리할 수 있는 이동식 무선 스크린 ‘스탠바이미2’를 출시한다고 2일 밝혔다. 4년 전 나온 스탠바이미는 화면을 바퀴가 달린 스탠드(무빙 스탠드)와 결합한 제품이다. 배터리가 탑재되고 무선으로 작동해 침실·부엌·서재로 옮겨가며 TV 시청 등을 할 수 있어 좋은 반응을 얻었다. 이번 제품은 27인치형 QHD(2560X1440) 디스플레이를 탑재하고 있으며, 기존 제품(FHD)보다 화질이 개선됐다. 나사를 풀지 않고 버튼만 눌러 화면을 스탠드에서 떼어낼 수 있다. 전용 받침대를 사용하면 TV 화면을 태블릿 PC처럼 책상에 올려두고 사용할 수 있고, 벽걸이에 걸어 액자나 벽시계로 활용이 가능하다. 세로로 돌려 숏폼(짧은 영상) 콘텐츠나 웹툰을 즐길 수도 있다. 화면 뒤쪽에 스피커가 달린 전작과 달리, 신제품은 측면에 배치돼 소리가 더 또렷하게 들린다. 또 스탠드에 내장됐던 배터리를 화면으로 옮겼기 때문에 스탠드와 분리된 화면을 전원 연결 없이 최대 4시간까지 사용할 수 있다."
"""AI 작동방식 다 공개해야 되나""… 딥시크가 증명한 '오픈소스' 위력",,조선일보,2025.02.03,"저비용 고성능 인공지능(AI) 모델로 테크 업계에 충격파를 던진 중국 스타트업 딥시크는 AI 모델 개발 방식과 관련한 논쟁에도 불을 붙였다. 지금까지 AI 기술은 오픈AI·구글 등 폐쇄형 모델이 이끌어 왔다. 자신들이 개발한 AI 모델의 작동 방식을 외부에 공개하지 않고, 천문학적 자본을 투입해 성능을 끌어올리고 데이터센터를 구축해 시장을 지배하겠다는 전략이다. 하지만 딥시크와 메타(페이스북 모회사) 등 AI 후발 주자들이 오픈소스 모델을 채택하며 단기간에 AI 성능을 끌어 올리고, AI 산업에서 자신들의 입지를 넓히고 있다. ‘오픈 소스’는 소프트웨어 코드 등 AI 모델의 개발 정보를 일반에 모두 공개해 많은 사람이 이용할 수 있게 한 것이다. 외부 전문가들이 AI 모델의 장단점을 확인하며 성능을 개선할 수 있는 장점이 있다. 개발 방식을 둘러싼 ‘오픈 소스’와 ‘폐쇄형’ 간의 경쟁은 향후 AI 산업에 큰 파장을 불러올 수 있다. ‘오픈 소스’ 방식이 효율적이라는 것이 증명될 경우, 후발 주자들은 굳이 AI 모델 개발에 큰돈을 투자할 필요가 없다. 반면 ‘폐쇄형’이 승리하면, AI 산업에서 개별 기업 차원에서 막대한 투자금을 확보해야 하는 ‘쩐의 전쟁’이 더 격렬해질 수 있다. ◇폐쇄형 이끈 오픈AI도 ‘오픈소스’ 검토 오픈AI의 챗GPT나 구글의 제미나이 등 생성형 AI 프로그램의 두뇌 역할을 하는 언어모델은 수천억 개의 변수(파라미터)를 기반으로 학습해 최적의 답을 내놓는다. 어느 변수와 데이터에 가중치를 부여하고 어떤 규칙을 부여하는지에 따라 AI 모델 성능이 좌우된다. 설계가 잘된 AI 모델일수록 전력을 덜 쓰면서도 빠르게 최적의 답을 내놓을 수 있다. 오픈AI와 구글, 마이크로소프트(MS) 등은 이와 관련된 정보를 외부에 공개하지 않는다. 하지만 후발 주자인 메타는 작년 6월 자신들의 최신 AI 모델인 ‘라마’의 가중치를 공개했다. 누구나 이를 활용해 가중치를 수정하며 더 좋은 성능의 AI 모델을 개발할 수 있다. 엔비디아도 작년 9월 AI 모델의 가중치와 학습 방식을 모두 공개했다. 이 같은 ‘오픈 소스’ 방식은 외부의 많은 전문가들을 AI 모델 검증과 개선에 유도하는 효과를 가져온다. 전병서 중국경제금융연구소장은 “딥시크의 경우 이미 3000개에 육박하는 파생 모델이 등장했다”며 “오히려 이제 미국 기업들이 딥시크가 이룬 획기적인 발전의 혜택을 보게 됐다”고 밝혔다. 폐쇄형을 고수하던 오픈AI도 입장이 미묘하게 변하기 시작했다. 샘 올트먼 CEO는 지난 31일 “우리는 (오픈소스 관련해) 역사의 잘못된 편에 서 있었다”며 “오픈AI의 모든 사람이 같은 견해를 보이는 건 아니지만 개인적으로는 오픈소스 전략이 필요하다고 생각한다”고 말했다. 빈 웨일 오픈AI 최고제품책임자(CPO)는 “구형 모델을 오픈소스로 공개하는 방안을 검토 중”이라고 했다. ◇어느 개발 방식이 효율적일까 아직 오픈 소스와 ‘폐쇄형’ 중 어느 쪽이 더 우세한지 판단하기는 어렵다. 2일 AI 모델 분석 사이트 인공분석AI에 따르면, AI 품질 상위 10개 모델 중 중국 딥시크의 R1(3위), V3(9위), 알리바바의 Qwen2.5 맥스(10위) 등 3개 모델이 오픈소스형, 나머지는 폐쇄형 모델이다. 품질 순위는 가격과 성능, 속도 등 주요 지표 30개 이상 성능을 비교해 순위를 매기는 방식이다. 폐쇄형 모델은 성능에서 확실한 우위를 확보하면 시장을 사실상 독점하며 막대한 수익을 낼 수 있다. 반면 기술 개발을 단독으로 수행해야 한다는 부담이 따르고, 외부의 혁신적 기술을 흡수하는 데 한계가 있다. ‘오픈 소스’ 방식은 더 많은 참여자를 확보해 AI 산업에서 입지를 넓힐 수 있는 게 장점이다. 이 때문에 후발 주자들이 주로 이 방식을 택했다. 하지만 수익성을 확보하기 쉽지 않고, 범죄 집단 등에 의해 악용될 위험이 있다. 아직까지는 투자금 모집 등 기업 운영 차원에서는 폐쇄형 모델이 우위를 보이고 있다. 미국 리서치 기관 CB인사이츠에 따르면, 2020~2024년 오픈AI, 앤스로픽, 구글, MS 등 폐쇄형 모델을 만드는 기업에 375억달러의 투자금이 유치됐다. 메타, xAI 등 오픈소스 AI 모델 업체에는 149억달러가 몰리는 데 그쳤다. ☞오픈소스 AI 모델 인공지능(AI) 기업 등 개발자가 자신이 만든 AI 프로그램의 알고리즘과 설계 방식 등 모든 정보를 공개하는 것이다. 다른 기업과 개발자들은 이 정보를 이용해 새로운 응용 프로그램을 만들 수 있고, 성능 개선 방안을 제시하는 경우도 있다."
"대만, 정부부처에 딥시크 금지령…유럽도 보안 우려",,조선일보,2025.02.03,"대만 정부가 각 부처·기관에 중국 인공지능(AI) 스타트업 딥시크(DeepSeek)의 서비스 이용을 금지했다. 유럽 각국에서도 개인 정보와 보안 문제를 이유로 우려를 나타내고 있다. 로이터에 따르면, 대만 디지털부는 31일 성명을 통해 “정부 부처의 정보 보안 위험을 방지하기 위해 딥시크의 AI 서비스를 사용할 수 없다”며 “딥시크의 AI 서비스는 중국 제품이며, 그 운영에는 국경 간 데이터 전송과 정보 유출 및 기타 정보 보안 문제가 포함되는 국가 정보 보안을 위협하는 제품”이라고 밝혔다. 대만 정부의 딥시크 AI 사용 금지 조치는 중앙 및 지방정부 부처·기관과 공립학교, 국유기업, 기타 준관영 조직의 직원들에게 적용된다. 이 밖에 중요 인프라 프로젝트와 정부 소유 재단에서 일하는 사람들에게도 금지 조치가 적용된다. 이탈리아도 딥시크 사용을 차단했다. 이탈리아 정보 보호 당국(Garante)은 지난달 30일 딥시크가 개인 데이터 수집과 정보 검색 등 개인 정보 보호 정책에 대한 당국의 우려를 해소하지 못했다고 설명했다. 이후 이탈리아 앱 스토어에서 딥시크의 AI 앱이 삭제됐다. 네덜란드 당국은 딥시크의 개인정보 수집과 관련해 조사에 착수하기로 하고 자국 사용자들에게 딥시크 서비스 사용에 주의하라고 경고했다. 영국 정부는 딥시크를 국가 안보 측면에서 살펴보고 있으며 독일 당국 역시 딥시크 앱 규제 가능성을 들여다보고 있다. 아일랜드와 프랑스의 규제 당국도 딥시크의 개인정보 보호 정책에 대해 의문을 제기하는 상황이다. 한국 개인정보보호위원회도 딥시크에 개인 정보 수집 항목과 절차, 처리·보관 방법을 확인하는 공식 질의서를 발송할 예정이다. 중국 AI 스타트업 딥시크는 지난달 20일 최신 AI 모델 ‘R1′을 공개한 데 이어, 이틀 후 AI 모델 개발 방식을 담은 ‘기술 보고서’를 발표했다. 한 달 전엔 AI 모델 훈련에 557만6000달러(약 80억원)를 사용했다는 내용의 보고서도 냈었다. 미국 빅테크들이 비슷한 성능의 AI 모델을 개발하는 데 쓴 비용의 10분의 1에 불과한 금액으로 글로벌 테크 업계를 발칵 뒤집어 놓았다. 미국 빅테크가 주도하던 AI 산업 질서에 큰 파문을 던졌다는 평가를 받는다."
"트럼프·젠슨 황, 딥시크 여파 속 회동...대중국 반도체 수출 규제 논의",,조선일보,2025.02.03,"도널드 트럼프 미국 대통령과 엔비디아 최고경영자(CEO) 젠슨 황이 31일(현지 시각) 미국 백악관에서 만남을 갖고, 중국 인공지능(AI) 스타트업 딥시크(DeepSeek) 등 중국에 대한 반도체 수출 추가 규제 등을 논의했다고 로이터가 소식통을 인용해 보도했다. 로이터에 따르면, 이날 트럼프 대통령은 회담 이후 황 CEO에 대해 “신사”라며 “회의를 가졌고 좋은 만남이었다”고 말했다. 다만 회담의 구체적 내용은 밝히지 않았다. 엔비디아 대변인은 성명에서 “트럼프 대통령을 만나 반도체와 AI 정책에 대해 논의할 기회를 줘서 감사했다”며 “젠슨과 트럼프 대통령은 미국 기술 및 AI 리더십 강화의 중요성에 대해 논의했다”고 밝혔다. 이날 두 사람의 만남은 중국 스타트업 딥시크가 최근 내놓은 모델이 미국 기업들보다 적은 비용을 들여 비슷한 성능의 강력한 모델을 구축할 수 있다는 것을 보여주며 글로벌 테크 업계를 발칵 뒤집어 놓은 상황에서 이뤄졌다. 딥시크 여파로 미국의 AI 주도권에 대한 우려를 불러일으키며 미국 기술주에서 약 1조 달러가 사라지는 폭락을 일으키고, 엔비디아의 주가도 지난달 27일 17%가 떨어지기도 했다. 다만 트럼프와 젠슨 황의 회담은 딥시크 충격이 발생하기 전 이미 예정됐다고 한다. 앞서 딥시크는 AI 모델 구동에 엔비디아가 중국 수출용으로 제작한 저사양 칩 H800을 사용했다고 밝혔다. 2022년 바이든 행정부는 엔비디아의 가장 강력한 AI 칩인 H100의 중국 판매를 제한했다. 이후 엔비디아는 중국 시장을 겨냥해 그보다 성능이 떨어지는 변형 제품인 H800을 출시했다. H800은 2023년에 수출이 제한됐고, 엔비디아는 작년에 H20을 출시했다. 이에 트럼프 행정부는 엔비디아의 대중국 반도체 수출을 저사양 칩까지 확대하는 방안을 검토하고 있는 것으로 전해졌다. 젠슨 황과의 회담에서도 이 문제를 거론한 것으로 알려졌다."
"딥시크 쇼크에도… 빅테크들 ""전속력으로 AI 투자""",,조선일보,2025.02.03,"중국 인공지능(AI) 스타트업 ‘딥시크’의 저비용 고성능 AI 모델이 큰 파장을 던진 가운데, 글로벌 빅테크들은 AI에 대한 대규모 투자에 박차를 가하고 있다. 뉴욕타임스(NYT)는 30일 “딥시크의 출현은 AI에 천문학적 자본을 쏟아붓는 ‘미국식 접근 방식’을 위협하고 있지만, 빅테크들은 그럼에도 ‘전속력 전진(full steam ahead)’을 답이라 생각하고 있다”고 보도했다. 가장 적극적으로 AI 투자 움직임을 보이는 곳은 손정의 회장이 이끄는 일본의 소프트뱅크다. 30일 월스트리트저널(WSJ)에 따르면, 소프트뱅크는 오픈AI에 150억~250억달러(약 22조~36조원) 규모의 투자를 추진 중이다. 오픈AI는 최대 400억달러 규모의 신규 투자금 유치에 나섰는데, 소프트뱅크가 초기 투자자로 나서며 다른 투자자들을 끌어들이려 한다는 것이다. 오픈AI는 지난해 10월 민간 투자금 유치 사상 최대 규모인 66억달러 조달에 성공한 데 이어, 불과 3개월 만에 6배에 달하는 투자금을 끌어모으고 있다. 오픈AI의 기업 가치는 작년 말 1570억달러였지만, 최근엔 3000억달러(약 437조원)로 평가받고 있다. WSJ는 “실리콘밸리의 AI 붐을 감안하더라도 엄청난 일”이라고 했다. 소프트뱅크와 오픈AI는 이렇게 유치한 돈을 총 5000억달러(약 727조원) 규모의 초거대 AI 인프라 건설 프로젝트 ‘스타게이트’에 투입할 예정이다. 테크 업계에선 “딥시크가 저렴한 엔비디아 AI 반도체로 기술 돌파를 했다고 해도, 미국은 최고 성능의 엔비디아 칩을 쌓아둔 AI 클러스터를 만든다는 계획에 변함이 없는 것”이라 했다. 메타(페이스북 모회사)도 올해 AI 인프라 구축 투자비 650억달러(약 95조원)를 예정대로 집행하기로 했다. 지난 29일 실적 발표 후 콘퍼런스콜(실적 설명회)에서 마크 저커버그 최고경영자(CEO)는 “시간이 지나면 AI에 대한 대규모 투자가 전략적으로 장점이 될 것”이라고 했다. 같은 날 사티아 나델라 마이크로소프트(MS) CEO 역시 “AI 투자는 AI의 효율성과 접근성을 향상시키고, AI 수요를 기하급수적으로 늘릴 것”이라고 했다. 지금의 투자가 결국 수익으로 돌아올 것이라고 옹호한 것이다. MS는 올해 최대 800억달러(약 116조원)를 AI에 투자한다는 계획이다. 세계 최대 사모 펀드인 블랙스톤의 조너선 그레이 사장도 30일 “몇몇 대형 고객은 AI 관련 투자 계획에 변함이 없다는 사실을 알려 왔고, 블랙스톤 역시 야심 찬 투자 목표를 변경할 계획이 없다”고 했다."
