article_name,journalist,publisher,date,article
"철도 지하화로 생긴 상부 공간, 지역 특성 맞게 개발한다…사업 종류 대폭 확대",,동아일보,2025-01-31,"크게보기 철도 지하화로 마련된 상부 공간을 개발하는 사업 종류가 3개에서 16개로 대폭 확대된다. 사업을 추진하려면 지역주민, 이해관계자 등을 만나는 공청회도 의무적으로 거쳐야 한다.  국토교통부는 31일 이런 내용을 담은 ‘철도 지하화 및 철도부지 통합개발에 관한 특별법’ 시행령, 시행규칙 제정안이 이날 시행된다고 밝혔다.  지역별 특성에 맞게 철도 상부 공간을 개발할 수 있게 된다. 특별법에는 공공주택사업, 도시개발사업, 역세권개발 사업 등 3개 사업만 명시했다. 시행령은 이를 재개발, 재건축 등에 적용되는 도시주거환경정비법 등 16개 사업으로 확대했다.  철도 지하화 기본계획을 수립하거나 변경할 때는 지역주민, 이해관계자 의견을 듣는 공청회를 개최해야 한다. 개최일 2주 전 일간지, 인터넷 등에 사전 공고해야 한다. 기본 계획에는 사업 추진체계와 재무적 타당성, 지자체 지원방안 등을 담아야 한다.  도로, 공원, 수도, 전기 등 기반시설 설치비용은 시·도지사가 우선 지원할 수 있다. 철도 지하화로 발생할 파급효과, 지방세 수입 증가 예상분 등을 반영해 재정 지원 규모를 수립할 수 있다.  개발 특례도 구체화했다. 용적률은 기존 법령 150%까지 완화한다. 지상 구조물 위에 조성하는 인공지반은 용적률, 건폐율 산정에서 제외한다. 주차장 설치기준도 기존 규정 대비 50% 수준으로 완화한다. 국토부 측은 “1분기(1~3월) 내 철도 지하화 통합개발 선도사업지를 발표할 계획으로 지자체와 협의하고 있다”이라며 “철도 지하화 통합개발 사업의 제도적 기반이 강화된 만큼 사업이 성공적으로 추진될 수 있도록 지원하겠다”고 했다."
1월 서울 아파트 경매시장 반짝 반등…“설 연휴 착시효과”,,동아일보,2025-01-31,"1월 낙찰률 7.4%p, 낙찰가율 1.5%p↑ 설 연휴로 경매 진행 줄며 지표 반등 “시장 상황 그대로…2월 재하락할 듯” 23일 서울 중구 남산에서 서울시내 아파트가 보이고 있다. 2월 수도권 아파트 입주 물량이 역대 최저 수준으로 줄어들 것으로 예측된다. ‘직방’ 조사 기준 2월 전국 아파트 입주 물량은 총 2만 1404세대, ‘부동산R114’ 기준 1만 9486세대로 집계됐다. 수도권 입주 물량은 직방 기준 7250세대로 전월(1만 3980세대)의 절반 수준으로 전망됐다. 물량 자체로는 지난해 7월(2318세대) 이후 가장 적다. 2025.01.23. [서울=뉴시스] 부동산 경기 침체로 주춤했던 서울 아파트 경매시장이 1월 들어 반짝 반등한 것으로 나타났다.  31일 경·공매 데이터 전문기업 지지옥에 따르면 지난 24일 기준 이달 서울 아파트 경매 물건 총 231건 중 109건이 낙찰돼 낙찰률 47.2%를 기록했다. 이는 지난해 12월(39.8%)과 비교해 7.4%포인트(p) 증가한 수치다.  집값 선행지표 격인 낙찰가율도 93.3%로 직전월(91.8%) 대비 1.5%p 올랐다. 응찰자수는 6.98명으로 0.39명 증가했다.  서울 아파트 경매지표는 지난해 거래 활성화로 상승세를 타다가 하반기 들어 대출 규제가 본격화되며 하락세로 돌아섰다.  특히 작년 말 비상계엄 사태와 탄핵 정국으로 부동산 거래가 위축되면서 경매시장도 냉각기에 들어갔다. 작년 8월과 비교하면 12월 낙찰률은 47.3%에서 39.8%로 7.5%p, 낙찰가율은 95.5%에서 91.8%로 3.7%p 내렸으나 5개월여 만인 이달 상승세를 보인 셈이다.  경매시장을 견인해온 강남권 아파트도 모처럼 고가 낙찰이 이어졌다.  지난달 낙찰가율 상위 10곳 중 4곳이 강남권 소재 아파트로, 모두 감정가를 웃돌았다. 강남구 논현동 논현신동아 전용면적 114㎡는 지난 21일 감정가 20억5000만원의 112.7%인 23억1000만원에 낙찰됐다.  지난달 가장 낙찰가가 높았던 것은 강남구 청담동 연세리버빌3차 전용 243㎡로 낙찰가율 107.8%로 58억7770만원에 매각됐다.  강남에 인접한 지역 아파트도 고가 낙찰이 이어졌다. 성동구 강변건영아파트 전용 85㎡는 응찰자수 32명이 몰리며 감정가의 105.2%인 18억1999만여원에 낙찰됐다. 관악구 신림동 신림동부 전용 60㎡는 이달 최고 낙찰가율은 115.9%를 기록하며 7억3000만원에 팔렸다.  다만 이번 달 들어 경매 지표가 나아진 것은 길었던 설 연휴로 거래량이 줄어든 데 따른 착시효과로, 부동산 시장 상황이 나아진 것은 아니라는 지적이 나온다.  지난해 9월에도 역시 추석과 국군의 날 등 공휴일이 겹치며 서울 아파트 경매 물건이 8월 296건에서 9월 169건으로 절반 가까이 감소했다.  이후 밀렸던 경매 매물이 몰린 10월에는 경매 물건이 380건 시장에 나오며 낙찰률이 45.6%에서 41.3%로 4.3%p 하락했다.  이주현 지지옥션 선임연구원은 “1월은 경매 건수 감소로 인한 일시적인 현상”이라며 “2월에는 경매 지표가 모두 떨어질 가능성이 크다”고 설명했다.  [서울=뉴시스]"
"공공주택 ‘공사비 폭탄’… 계획 바꾼 5곳중 3곳, 사업비 27% 올라",,동아일보,2025-01-31,"지난달 사업계획 변경 53곳 분석 글로벌 공급망 위기에 비용 급증 일부 단지는 사업비 2배로 뛰기도 “입주자 부담 늘어나” 불만 커져 2021년 11월 사전청약을 받았던 1330채 규모 신혼희망타운인 경기 과천 주암지구 C1블록. 지난해 12월 사업계획이 변경되면서 8채를 추가로 짓기로 했는데 총사업비는 5291억6998만 원에서 6589억1762만 원으로 약 1297억 원(24.5%)이 늘어났다. 하수처리장 등 기반시설 조성 공사 등이 밀리며 사업 기간도 1년 2개월 밀렸다.  과천주암지구 C1·C2연합회 대표인 김철수 씨는 “한국토지주택공사(LH)에서 사업 지연으로 늘어난 사업비를 부담하겠다고 했지만 정작 공사비 인상으로 발생한 비용 증가는 사전청약 당첨자가 직접 부담해야 하는 상황”이라며 “본청약 분양가 상승이 불 보듯 뻔한 상황이어서 속이 답답하다”고 하소연했다.  지난해 12월 한 달 동안 사업계획이 변경된 공공주택 단지 5곳 중 3곳은 사업비가 증가한 것으로 나타났다. 공사비 인상 여파가 민간뿐만 아니라 공공으로 확산하면서 일부 지역에서는 분양가 인상이 현실화하고 있다. 사전청약을 진행한 단지에선 본청약 때 분양가가 오를 것이라는 우려가 커지면서 불만도 커지고 있다.  크게보기 30일 국토부 고시를 분석한 결과에 따르면 지난해 12월 한 달 동안 공공주택 사업계획이 변경된 53곳에서 사업비가 변경된 단지는 36곳(67.9%)으로 집계됐다. 평균 인상폭은 26.7%에 달했다. 사업비가 줄어든 곳은 2곳에 불과했다.  사업비가 2배 넘게 오른 곳도 있었다. 대구국가산단 A7-1블록은 대구 달성군 구지면 일대에 500채 규모 행복주택 2개 동을 짓는 사업이었다. 당초 사업비는 350억7634만 원으로 책정됐으나 지난해 12월 771억5658만 원으로 420억8024만 원(120.0%)이 올랐다. 2개 동에서 3개 동으로 사업이 바뀌고 공사해야 하는 연면적이 28.4% 늘어난 것을 고려해도 ‘배보다 배꼽이 더 크다’는 비판을 피하기 어려워졌다.  가장 큰 이유로는 러시아-우크라이나 전쟁 등 글로벌 공급망 이슈로 오른 공사비가 거론된다. 한국건설기술연구원에 따르면 지난해 11월 건설공사비지수는 130.26으로 우크라이나 전쟁 발발 전인 2020년 같은 기간 대비 29.0% 늘었다.  문제는 증가한 사업비 부담이 입주자에게 그대로 전가될 수 있다는 점이다. 지난해 4월 사업비를 1754억 원에서 2334억 원으로 33.1% 올렸던 인천계양 테크노밸리 공공주택지구 A3블록. 5개월 뒤 본청약을 받았는데 전용 55㎡ 분양가는 평균 3억9722만 원으로 3년 전 사전청약 당시 추정 분양가 대비 17% 올랐다.  LH는 공사비가 크게 올라 일부 분양가 상승이 불가피하다는 입장이다. LH 측은 “최초 사업 승인 이후 기본적인 인프라를 구축하고 시공사를 선정하는 과정에서 시간차가 발생한다”며 “사업비 상승에 따른 분양가나 임대료가 오르는 것을 최대한 억제하고 주택 공급 확대를 위해 노력하겠다”고 했다.  전문가들은 사업비 증가분을 누가 부담할지를 두고 입주예정자와 LH 간 사회적 갈등이 더 이어질 것으로 내다봤다. 김덕례 주택산업연구원 정책실장은 “공사비 증가뿐만 아니라 주 52시간제 도입, 안전 기준 강화 등으로 건설 환경이 바뀌면서 사업비도 함께 늘고 있다”며 “사업자인 LH가 모든 부담을 질 수 없는 만큼 입주예정자와 합의가 필요한 상황”이라고 분석했다."
작년 서울 아파트 청약 커트라인 평균 63점… 10년래 최고,,동아일보,2025-01-31,"로또 분양에 경쟁 치열해진 영향 1순위 통장 40% 서울 청약에 사용 지난해 서울에서 분양한 민간 아파트 청약에 당첨되기 위한 최저가점(커트라인)이 평균 63점으로 조사됐다. 민간 업체가 최저가점 통계를 집계한 2015년 이후 가장 높은 수준이다.  크게보기 30일 부동산R114에 따르면 지난해 서울 민간 분양 아파트 당첨 최저가점은 63점이었다. 부양가족 수, 무주택 기간, 청약통장 가입 기간을 합산하는 청약가점은 84점 만점이다. 이는 4인 가족이 청약통장 가입 기간 만점(17점)을 받고 12년 이상 무주택 기간을 인정받아야 얻을 수 있는 점수다.  2015년 이후 서울 당첨 최저가점은 40∼50점대를 오르락내리락했다. 전국적으로 집값이 급등한 2021년 60점까지 뛰었다. 고금리 여파로 집값이 하락한 2022년 48점으로 떨어졌다가2023년 55점으로 반등했고 지난해 역대 가장 높은 수준까지 치솟았다.  당첨 문턱이 높아진 건 그만큼 청약 경쟁이 치열했기 때문이다. 지난해 서울 아파트 청약 1순위 평균 경쟁률은 103 대 1로 2021년(164.1 대 1) 이후 가장 높았다. 큰 시세 차익을 거둘 수 있는 강남권 ‘로또 분양’이 몰린 영향이 크다.  지난해 7월 분양한 서초구 ‘래미안 원펜타스’가 대표적이다. 이 단지 전용면적 84㎡의 일반분양가는 21억∼23억 원대였다. 주변 시세보다 약 20억 원 저렴해 당첨만 되면 거액의 시세 차익이 가능할 것으로 예상됐다. 청약 경쟁률은 무려 527 대 1에 달했다. 지난해 8월 분양한 강남구 ‘래미안 레벤투스’ 청약 경쟁률도 403 대 1로 서울 전체 평균을 크게 웃돌았다.  또 지난해 접수된 1순위 청약 통장의 40%가 서울 아파트 청약에 사용된 것으로 나타났다. 전체 청약 통장 중 서울 사용 비중은 2022년 이전까지 20%를 밑돌다가 2023년 25.3%에 이어 지난해 2년 연속 상승했다."
[아파트 미리보기]천안 신흥 주거타운 호수공원 품은 대단지,,동아일보,2025-01-31,"DL이앤씨 ‘e편한세상 성성호수공원’ 전용 84㎡ 이상 중대형만 공급… 호수공원 인근 2만5000채 주거지로 단지 인근 생활 인프라 풍부… 스카이커뮤니티 등 특화설계 적용 용적률 낮아 쾌적한 주거환경 기대 e편한세상 성성호수공원 조감도. DL이앤씨 제공 DL이앤씨는 다음 달 충남 천안시 서북구 업성도시개발구역에서 ‘e편한세상 성성호수공원’을 분양할 예정이라고 16일 밝혔다. 천안 8경 중 하나로 꼽히는 성성호수공원 인근에는 이 단지를 포함해 2만5000여 채에 달하는 신흥 주거타운이 조성된다.  이 단지는 13개 동(지하 3층, 지상 최고 39층) 1763채 규모다. 전용면적은 84∼191㎡다. 임대 물량을 제외한 1498채가 일반분양 물량이다. ‘국민평형’으로 불리는 전용면적 84㎡가 913채로 가장 많으며 타입은 총 4가지다. △105㎡ 155채 △113㎡ 160채 △125㎡ 263채 △175㎡PH 2채(펜트하우스) △191㎡PH 5채(펜트하우스) 등 중대형만 공급된다.  크게보기 단지의 최대 강점은 우수한 입지다. 단지 바로 앞에 있는 성성호수공원은 천안 8경 중 하나로 2022년 개장했다. 52만8000여 ㎡ 규모로, 기존 업성저수지 수질 개선과 수변생태공원 조성 사업을 거쳐 휴식과 문화 체험이 가능한 친환경 복합문화공간으로 탈바꿈했다. 호수공원에는 4.1km에 달하는 생태탐방로와 생태체험숲 등이 있다. 추가로 단지와 호수 사이에 2만여 ㎡ 규모의 근린공원이 조성될 계획이다. 수변 주변 가구에서는 호수와 방문자센터 등을 직접 조망할 수 있다.  단지는 생활 인프라도 우수하다. 도보권에 초등학교와 중학교, 고등학교가 신설될 예정이다. 이마트, 하나로마트, 코스트코 등 대형마트도 가깝다. 단지 인근 준주거지역에 근린생활시설이 조성될 계획이라 입주민들의 편의성은 더욱 높아질 것으로 전망된다.  교통 여건도 우수하다. 단지 인근에 번영로와 삼성대로, 업성수변로 등이 있어 천안 주요 도심까지 접근성이 뛰어난 편이다. 국도 1호선과 경부고속도로 천안 분기점 등을 통해 수도권과 다른 지역으로도 쉽게 이동할 수 있다. 2029년에는 단지 반경 약 1km 거리에 수도권 전철 1호선이 정차하는 부성역이 개통할 예정이다.  단지 인근에는 삼성SDI 천안사업장을 비롯해 천안 제2, 3, 4일반산업단지, 아산 스마트밸리, 백석농공단지 등 여러 산업단지가 있어 직주근접 여건도 뛰어나다.  단지에는 DL이앤씨 브랜드에 걸맞은 설계가 적용된다. 채광과 통풍을 고려해 단지를 남향 중심으로 배치했다. 특화 조경 브랜드인 ‘드포엠’을 적용해 단지를 공원형 아파트로 조성한다.  실내는 통풍이 우수한 4베이(Bay) 판상형으로 설계한다. e편한세상의 라이프스타일 맞춤 주거 플랫폼 ‘C2 하우스’ 혁신설계를 적용할 계획이다. 모든 동에 5m 높이의 필로티 설계를 적용해 저층 가구의 사생활 보호에도 신경을 썼다.  커뮤니티 시설도 지역 최고 수준으로 조성된다. 105동 최상층에는 스카이라운지와 스카이게스트하우스 등 스카이 커뮤니티가 들어선다. 단지 주 출입구 인근에는 근린공원 및 호수 조망이 가능한 리조트형 게스트하우스를 만든다. 커뮤니티 시설로는 미니짐, 스크린 골프룸, 피트니스, 라운지 카페, 키즈 라운지 등뿐만 아니라 스포츠 코트, 패밀리 시네마, 탕이 있는 사우나 등이 예정돼 있다.  모든 차량은 지하에 주차한다. 가구당 주차대수는 1.55대로, 성성지구 입주 단지 평균(1.21대)보다 많다. 단지 용적률은 245%로 주변 단지보다 낮아 쾌적한 주거환경을 누릴 수 있을 것으로 기대된다. 입주는 2028년 1월 예정."
"지난해 서초구 아파트 평균 가격 25억, 서울서 가장 높아",,동아일보,2025-01-31,"‘똘똘한 한 채’ 수요 영향 서울 외곽은 5, 6억 원대 그쳐 지난해 서울에서 거래된 아파트 평균 가격이 가장 높은 동네는 서초구로 나타났다. 서초구 아파트의 평균 실거래가는 25억1800만 원으로, 서울에서 실거래가가 가장 낮았던 도봉구의 4.5배 수준이었다.  30일 국회 국토교통위원회 소속 이연희 더불어민주당 의원이 한국부동산원으로부터 받은 지난해 서울 아파트 실거래가 현황에 따르면 서초구 평균 실거래가는 25억1800만 원이었다.  강남구의 평균 실거래가는 24억8300만 원으로 서울에서 두 번째로 높았다. 이어 △용산구 22억5700만 원 △송파구 16억7500만 원 △성동구 14억1700만 원 △마포구 12억9100만 원 순이었다. 지난해 ‘강남 3구’(강남·서초·송파구)와 ‘마용성’(마포·용산·성동구) 위주로 ‘똘똘한 한 채’ 수요가 몰리면서 집값이 더욱 오른 것이다.  초고가 아파트가 많은 강남권은 지난해 9월 대출 규제가 본격화한 이후에도 가격 상승세가 이어졌다. 실제 서초구 아파트의 평균 실거래가는 지난해 1월 21억3600만 원에서 8월 27억2500만 원까지 상승했다. 9월 25억 원대로 내려갔다가 12월 27억5900만 원으로 상승했다. 대출을 받지 않고도 집을 살 여력이 충분한 자산가의 수요가 끊이지 않는 곳이라 대출 규제의 영향이 크지 않았던 것으로 풀이된다.  반면 지난해 서울 외곽 지역 아파트의 평균 실거래가는 5억, 6억 원대에 그치며 서울에서도 집값 양극화가 극명하게 나타났다. 도봉구의 평균 실거래가는 5억5400만 원으로 서울에서 가장 낮았다. 강북구(6억700만 원), 노원구(6억1000만 원), 금천구(6억2100만 원), 중랑구(6억2800만 원), 구로구(6억7300만 원) 순으로 가격이 낮았다."
자금 부담 낮춘 대전 원도심 신축,,동아일보,2025-01-31,"우미건설 ‘성남 우미린 뉴시티’ 계약금 5%에 중도금 무이자 우미건설은 대전 동구 성남1구역 일대를 재개발한 ‘성남 우미린 뉴시티’(조감도)를 분양 중이라고 30일 밝혔다. 입주자의 자금 부담을 줄이기 위해 중도금 무이자 혜택을 제공하고 계약금도 전체 분양가의 10%에서 5%로 낮췄다.  단지는 9개 동(지하 2층, 지상 최고 34층) 1213채 규모다. 전용면적은 39∼84㎡다. 향후 단지 인근에는 3만2674채 규모의 ‘뉴시티’가 조성될 예정이다.  도보권에 가양초와 성남초가 있으며 반경 1.5km에 가양중, 우성중, 우성고, 보문고 등이 있다. 단지 바로 앞에는 어린이 공원이 들어설 예정이다. 대전 동구에서 유일한 종합병원인 대전한국병원과 이마트, CGV, 영풍문고 등도 가깝다.  단지는 KTX와 SRT, 대전 지하철 1호선이 정차하는 대전역과 인접해 있다. 도보 거리에는 올해 착공 예정인 대전 도시철도 2호선 트램 동부네거리역(가칭)과 가양네거리역(가칭)이 들어설 예정이다.  모든 가구를 남향 판상형 위주로 설계했다. 청정공기 급·배기 시스템과 스마트홈 사물인터넷(IoT) 등 첨단시스템도 설치된다. 타입별로 주방 팬트리와 알파룸, 대형 드레스룸 등 풍부한 수납공간이 제공된다. 피트니스와 골프연습장, 남녀독서실 및 유아문고, Lynn 카페와 도서관 등 커뮤니티 시설도 들어선다. 지상에 차가 없는 공원형 단지로 조성된다. 입주는 2027년 6월 예정."
곤지암역 초역세권에 브랜드 단지,,동아일보,2025-01-31,"HDC현산 ‘곤지암역 센트럴 아이파크’ 선착순 동-호수 지정 계약 가능 HDC현대산업개발은 경기 광주시 곤지암역 인근에서 ‘곤지암역 센트럴 아이파크’(조감도)를 분양 중이라고 30일 밝혔다.  곤지암 역세권 도시개발구역 A1-2블록에 들어서는 단지로 4개 동(지하 2층, 지상 22층), 347채 규모다. 전용면적은 84∼110㎡다.  단지는 곤지암역 인근 3600채 규모의 신규 주거타운 가운데 입지가 가장 우수하다는 평가를 받는다. 특히 곤지암 역세권 도시개발지구 내에서 경강선 곤지암역과 가장 가깝다. 경강선을 이용하면 판교역까지 20분대, 서울 강남까지는 30분대에 이동할 수 있다.  서울 강남 접근성은 더욱 개선될 것으로 전망된다. 올해 6월 서울 강남구 수서역에서 경기 광주역까지 복선전철 사업이 착공할 예정이다. 또 경기 김포 장기역과 인천국제공항역에서 곤지암역을 거쳐 강원 원주역을 잇는 수도권 광역급행철도(GTX)-D 노선 개통도 추진되고 있다. 단지 인근에 곤지암 분기점이 있어 고속도로 이용도 편리하다.  단지 앞 곤지암천 수변공원을 비롯해 곤지암 근린공원 등 쾌적한 주거환경을 갖추고 있다. 교육환경도 우수하다. 곤지암초, 곤지암중, 곤지암고를 도보로 통학이 가능하다. 곤지암 역세권 지구 내 초등학교도 신설될 예정이다.  현재 선착순 동·호수 지정 계약이 가능하다. 입주는 2027년 5월 예정."
서울 상위 1% 부동산 임대소득 4.3억…전북·경북·경남은 1.3억,,동아일보,2025-01-29,"재작년 서울 임대소득자 1인당 평균소득 2460만원 상위 1%, 서울·제주·대구 등 순…“임차료 부담 완화해야” 서울 중구 남산에서 바라본 도심 아파트 단지와 빌라촌. (뉴스1 DB). /뉴스1 서울 거주자 중 부동산 임대소득 상위 1%에 해당하는 사람의 평균 임대소득은 4억 3000만 원 수준인 것으로 나타났다.  전국 시도 가운데 상위 1%의 임대소득이 가장 낮았던 전북·경북·경남 등과 비교하면 약 3.3배 격차가 났다.  29일 국회 기획재정위원회 소속 임광현 더불어민주당 의원이 국세청에서 받은 ‘지역별 부동산 임대소득 신고현황’에 따르면 2023년 종합소득세 신고자 중 부동산 임대소득을 신고한 서울 거주자는 36만 370명이었다.  이들이 신고한 부동산 임대소득은 총 8조 8522억 2900만 원으로, 1인당 평균 소득은 2460만 원이었다.  이중 상위 1%에 해당하는 3603명의 총 소득은 1조 5501억 9700만 원이었다.  전체 임대소득의 17.5%에 해당하는 수준으로, 1인당 4억 3000만 원의 소득을 거둔 셈이다. 전국 17개 시도 가운데 가장 많은 금액이기도 하다.  서울 다음으로 상위 1%의 부동산 임대소득이 높은 제주였다.  제주의 상위 1%인 164명의 총 임대소득은 371억 원으로, 1인당 평균 소득은 약 2억 3000만 원이었다.  이어 대구(2억 2000만 원·487명), 경기(2억 1000만원·3663명)와 부산(2억 1000만 원·710명), 인천(1억 9000만 원·632명) 등 순이었다.  반면 전북(258명)과 경북(384명), 경남(529명) 등 3곳은 상위 1%의 임대소득이 1억 3000만 원으로 전국 시도 가운데 가장 낮았다.  임 의원은 “지역별 경제활동 및 주택 인프라 수준에 따라 부동산 임대소득의 격차가 크게 나타나는 것으로 보인다”며 “각 지역의 전월세 주택 수요 및 공급 현황을 분석해 임대주택의 안정된 공급 확대와 임차료 부담 완화를 위한 방안이 필요하다”고 말했다.  (세종=뉴스1)"
‘200억대 은평주택조합 사기’ 대행사 대표 징역 20년,,동아일보,2025-01-29,"곽 대표와 공모한 김모 이사는 징역 18년 선고 4년간 428명 계약금 209억 편취…56억 횡령도 法 “피해 회복 가능성 희박…피해자 엄벌 탄원” ⓒ뉴시스 허위·과장 광고를 통해 조합원을 모집해 428명으로부터 총 209억원을 편취한 혐의를 받는 주택조합 대행사 대표에게 징역형이 내려졌다.  29일 법조계에 따르면 서울서부지법 형사합의11부(부장판사 배성중)는 사기, 특정경제범죄법 위반(횡령) 혐의로 기소된 서울 은평구 불광2동주택조합 대행사 대표이사 곽모(60)씨에게 징역 20년을 선고했다.  함께 기소된 사내이사 김모(52)씨에게는 징역 18년을 선고했다. 곽씨와 공동으로 대행사를 설립한 김씨는 ‘사업에 대한 전문성이 부족했고, 곽씨의 지시를 받아 활동했다’고 주장했으나 실제로는 범행 전반에 적극 가담한 것으로 조사됐다.  검찰에 따르면 이들은 지난 2019년부터 약 4년간 지역주택조합 추진 과정에서 확보된 토지사용권원(토지 동의율) 규모를 부풀리고 사업진행 상황 등을 거짓으로 설명하는 방식으로 조합원 428명에게 총 208억6450만원을 편취한 혐의를 받는다. 업무대행비 등 명목으로 56억3629만원을 횡령한 혐의도 있다.  재판부는 “증거 등을 종합하면 이들이 공모해 조합가입 계약금 등을 편취한 사실을 인정할 수 있다”며 “피해자들은 조합원 가입계약 체결 당시 해당 조합의 토지 동의율이 40~68%라는 설명을 들었음이 인정된다”고 판단했다. 실제 토지동의율은 20%대 수준이었다.  피고인들은 ‘토지동의율을 과장해 고지하라고 지시한 사실이 없고 오히려 모집대행사 측에 허위 고지하지 말라는 취지로 공문을 보냈다’ ‘재산상 이득을 취득한 주체는 조합이라 사기죄는 성립하지 않는다’라고 변론했으나, 법원은 이 주장을 받아들이지 않았다.  재판부는 “피해자들은 상당한 경제적 곤란과 정신적 고통을 겪었고, 지역주택조합 사업이 무산됨에 따라 피해가 회복될 가능성도 매우 희박하다”며 “피해자 상당수가 피고인들의 엄벌을 탄원하고 있는 등 엄중한 처벌이 불가피하다”고 양형 이유를 설명했다.  곽씨의 경우 2010년 사기죄, 2012년 횡령죄로 처벌받은 동종전과가 있는 점이 양형에 반영됐다. 김씨는 428명 중 31명과 합의하는 등 피해 회복을 위한 최소한의 시도는 했다는 점이 참작됐다.  앞서 불광2동주택조합 조합원 310명은 2023년 말 대행사 대표 곽씨 등 9명을 사기 혐의로 경찰에 고소했다. 당초 이들의 피해액은 152억원에 달하는 것으로 알려졌으나, 검찰 조사 과정에서 더 늘어났다.  대행사는 지난 2019년 9월 연신내역 인근에 세워질 25층 아파트 단지 입주를 위해 지역주택조합에 가입하라고 홍보했다. 그러면서 조합 설립에 필요한 토지 사용권원을 대부분 확보했고 2~3년 안에 입주가 가능하다고 광고한 것으로 전해졌다.  이에 총 673명이 조합에 가입했다. 1인당 적게는 5500만원에서 많게는 1억원가량을 계약금 명목으로 납부한 것으로 파악됐다.  그러나 이후 대행사가 얻어낸 토지사용권원 확보율은 지난 2023년 1월 기준 27.7%였고, 아파트 단지 건설을 위해 매입한 땅도 없었다. 사업에 문제가 생길 시 납부한 돈을 돌려주겠다던 약속도 지켜지지 않은 것으로 전해졌다.  고소장을 접수한 서울 은평경찰서는 지난 2023년 압수수색 등 강제수사를 거쳐 사건을 검찰에 송치했다. 검찰은 지난해 2월 관계자들을 구속 기소했다.  [서울=뉴시스]"
