article_name,journalist,publisher,date,article
"코스피, '딥시크 후폭풍'에 1%대 하락…환율 1450원 돌파",진영기,한국경제,2025.01.31,"사진=연합뉴스코스피 지수가 중국 인공지능(AI) 스타트업 딥시크 충격에 1%대 약세를 보이고 있다. 원·달러 환율도 1450원을 재차 돌파했다.31일 오전 11시 현재 코스피는 전 거래일 대비 27.23포인트(1.07%) 하락한 2509.57을 기록 중이다. 지수는 장 초반 한때 2498.9까지 밀리기도 했지만, 곧바로 2500선을 회복했다.유가증권시장에서 외국인은 홀로 8347억원을 순매도하며 지수를 끌어내리고 있다. 개인과 기관은 각각 5769억원, 2465억원을 순매수하는 중이다.코스피 시총 상위주는 혼조세를 보이고 있다. SK하이닉스(-9.59%), 삼성전자(-2.42%)는 딥시크 충격에 일제히 약세를 보이고 있다. 딥시크는 미국 빅테크 메타의 10분의 1에 불과한 비용으로 오픈AI의 챗GPT를 능가하는 AI 모델을 선보여 관련 업계에 충격을 줬다. 가성비(가격 대비 성능)가 뛰어난 딥시크의 AI 모델 개발 방식이 확산하면 엔비디아 AI 칩이 많이 필요 없어질 것이란 관측이 제기됐다.반대로 네이버(5.88%)는 딥시크 수혜주로 분류되며 급등하고 있다. 딥시크와 같은 오픈 소스 모델이 성공하면 네이버가 AI 모델을 개발하는 비용이 줄어들 것이란 전망에서다. 그 외 KB금융(2.7%), 메리츠금융지주(2.65%), 신한지주(2.2%), HD현대중공업(1.16%)이 상승 중이다.코스닥 지수는 전장 대비 4.17포인트(0.57%) 하락한 724.57을 가리키고 있다. 코스닥 지수는 장중 720선에 머무르고 있다.코스닥 시장에서 외국인은 홀로 622억원을 순매도하고 있다. 개인은 684억원을 순매도하는 중이다.코스닥 시총 상위주 흐름도 엇갈렸다. HPSP(-6.66%), 리노공업(-1.39%), 리가켐바이오(-1.31%), 엔켐(-0.9%)은 하락 중이다. 반면 삼천당제약(4.19%), 신성델타테크(3.82%), 레인보우로보틱스(3.64%), 클래시스(2.05%), HLB(1.14%), 휴젤(1.08%)은 오르고 있다.원·달러 환율은 1450원을 재차 넘어섰다. 현재 전 거래일 대비 23.8원 뛴 1455.2원에 거래되고 있다.미국 중앙은행(Fed)은 지난 29일(현지시간) 연방공개시장위원회(FOMC) 정례회의에서 정책금리를 연 4.25~4.5%로 동결했다. 반면 유럽중앙은행(ECB)은 정책금리를 연 3.15％에서 2.90%로 인하했다. 지난해 9월 이후 4차례 연속 금리 인하다. 이에 따라 주요국 통화 대비 달러화 강세 현상이 확대되고 있다는 분석이 나온다."
"삼성전자·SK하이닉스 '철렁'…""다음 주까지 긴가민가""",,한국경제,2025.01.31,"● 삼성전자·SK하이닉스 급락, 조정일까 위기일까'딥시크(Deepseek) 쇼크'로 삼성전자와 SK하이닉스가 조정을 받고 있는 가운데, 관련 변동성이 다음 주까지 이어질 것이란 전망이 나왔다. 다만 변동성은 제한적이란 의견이 제시됐다.31일 한국경제TV에 출연한 정경민 IBK투자증권 분당센터 부장은 ""(투자 심리는) 긴가민가한 상황이 다음 주까지 이어지지 않을까 한다""며 ""반도체 비중이 높은 국내 증시에는 좋지 않다""고 진단했다.정 부장은 ""다른 논리가 필요한 시점이 되지는 않았나 한다""며 ""반도체 중심의 변동성은 피하기는 어렵지만 낙폭은 굉장히 한정적으로 나오고 있다""고 설명했다.다음주에는 하락세가 다소 진정될 것으로 내다봤다.정 부장은 ""미국도 하락 갭을 메워가는 그런 과정""이라며 ""딥시크를 폄하하는 소식이 나올 것으로 예상한다""고 언급했다. 정 부장은 ""(이런 소식을) 소화하는 과정 중에 투자 심리는 AI 소프트웨어 쪽으로 한동안 이어지지 않을까 한다""고 설명했다.● 핵심 포인트- 삼성전자와 SK하이닉스가 큰 폭의 조정을 받고 있으며, 약세를 보임.- 미국 시장에서의 큰 변동성으로 인해 국내 반도체와 AI 종목들도 그에 준하는 변동성을 반영함.- 이러한 변동성은 제한적일 것으로 예상되며, 다음 주에는 하락 갭을 메워갈 것으로 전망됨.- 한편, 삼성전자가 엔비디아에 HBM 8단을 공급한다는 소식은 긍정적이나, 아직 규모나 계약 등이 확정되지 않아 실질적인 실적 반영에는 시간이 필요하다는 평가가 있음.이민재기자 tobemj@wowtv.co.kr"
'中 가성비 AI'에 발칵…딥시크 충격에 '비명' 쏟아진 종목,선한결,한국경제,2025.01.31,"사진=REUTERS인공지능(AI) 서비스 확산 기대감에 한동안 올랐던 전력인프라주들이 일제 하락세를 타고 있다. 중국 딥시크가 '가성비 AI'를 내놓으면서 AI·데이터센터발 전력 수요가 기존 예상보다 떨어질 수 있다는 우려가 일각에서 인 까닭이다.31일 장중 LS일렉트릭은 7.99% 내린 22만4000원에 거래되고 있다. 효성중공업은 11.81%, HD현대일렉트릭은 7.87% 하락해 거래 중이다. 일진전기는 9.93% 하락한 3만2600원에, 변압기 제조기업인 산일전기는 5.46% 하락한 6만9200원에 거래되고 있다. 제룡전기는 7.54% 하락했다.이들 기업은 '빅테크' 등이 AI 서비스에 집중 투자하면서 한동안 주가가 상승세를 탔다. 신규 전력 수요처인 AI 서비스가 확산하고 데이터센터가 많아질수록 매출에 유리해서다. 고도화한 AI 모델 개발·운영을 위해 고성능 반도체 칩 수요가 늘어난 것도 이유다. 통상 반도체 칩은 데이터 처리량이 늘어나고 구조가 복잡해질수록 더 많은 전력을 소비한다.반면 최근 중국 딥시크는 자체 개발한 AI모델 V3와 R1을 공개하고 상대적으로 저성능인 반도체칩을 가지고도 챗GPT GPT4 시리즈와 맞먹는 성능을 낼 수 있다고 주장했다. 대형 AI 모델에서 핵심적인 ‘액기스’ 지식을 추출해 소형 AI 모델로 전달하도록 하는 증류 방식 등을 통해 보다 적은 연산 자원으로도 높은 AI 성능을 낼 수 있다는 얘기다.AI 연산량이 감소하면 반도체칩과 AI 서버가 소비하는 전력량도 그만큼 덜 필요할 수 있다. 시장 일각에서 AI 데이터센터 등에서 전력 수요가 예상에 비해 덜 늘어날 것이라고 예상한 이유다.반면 금융투자업계와 AI 업계 전문가들은 이같은 예상이 과도한 우려라고 보는 분위기다. 딥시크의 '가성비 AI' 발표로 전력 수요가 타격을 받을 가능성은 적다는 얘기다.전력을 덜 쓰는 AI 모델로는 작은 디바이스에서 AI 서비스를 구현하기가 더 용이할 수 있다. 이로 인해 AI 서비스는 오히려 더 빨리, 더 많이 확산해 전체 전력 수요가 늘어날 공산이 크다는 게 IT업계의 중론이다.한 AI 스타트업 관계자는 “지금은 AI 도입의 극초기 단계라 개발 비용 하락이 투자 감소로 이어질리가 없다”며 “투자 비용이 줄어들면 그만큼 AI 모델과 서비스 공급이 늘어나고, 이는 자연스럽게 AI 생태계 자체가 확장해 서비스 사용량이 늘어나는 식으로 이어질 것”이라고 했다. 그는 “딥시크의 방식이 일부 빅테크의 AI 주도 체제에 균열을 낼 수는 있어도 AI 확산에 따른 인프라 수요를 줄이진 않을 것”이라고 덧붙였다.사티아 나델라 마이크로소프트 최고경영자(CEO)도 이같이 예상하고 있다. 그는 SNS 엑스(옛 트위터) 계정을 통해 ""'제본스의 역설'이 다시 찾아왔다""며 ""AI의 접근가능성이 더 높아지면 사용량이 폭발적으로 늘어날 것""이라고 했다.제본스의 역설은 기술 진보에 따라 효율성이 개선됐을 때 자원 사용량이 줄어드는 게 아니라 더 늘어나는 현상을 뜻한다. 19세기에 증기기관의 효율성이 높아지자 일각에선 석탄을 덜 쓸 것이라 예상했지만, 실제로는 증기기관이 널리 퍼져 석탄 소비량이 더 늘어난 게 대표적인 사례다.최근 북미 등에서 증가한 전력인프라 수요가 AI 서비스 때문만은 아니란 점도 전문가들이 전력 수요에 큰 타격이 없을 것으로 보는 이유다. 김도현 삼성증권 연구원은 “딥시크의 발표는 전력수요에 대한 기대심리 자체가 붕괴할 일이 아니다”라고 분석했다. 최근 북미 등에서 급성장세인 전력 수요는 AI 데이터센터 뿐 아니라 로봇 등을 활용한 자동화·전동화 확장세 영향도 있다는 설명이다.정연우 NH투자증권 연구원은 “AI 설비투자(CAPEX) 확대 기조가 지속되고 있는 만큼 전력 인프라 산업의 장기적인 수혜 시나리오는 유혜하다”며 “딥시크의 등장은 오히려 AI 투자 경쟁을 치열화해 미국 안팎에서 AI 인프라 투자 속도가 향상되는 결과로 이어질 가능성이 높다”고 내다봤다."
"삼성전자 ""자사주 3조원 취득·소각 진행…89.3% 매입 마쳐""",김대영,한국경제,2025.01.31,"사진=최혁 기자삼성전자가 31일 지난해 4분기 실적발표 콘퍼런스콜에서 ""지난해 11월 주주 가치 제고를 목적으로 약 10조 원 규모의 자사주 매입을 발표했다""며 ""이 중 먼저 3개월 동안 3조원의 자사주 취득·소각을 진행중""이라고 밝혔다. 이어 ""3조원의 자사주 매입 중 보통주, 우선주 모두 약 89.3%씩 매입을 완료했다”고 설명했다."
"'딥시크 쇼크' 코스피 2,500선 위태…SK하이닉스 -10%",,한국경제,2025.01.31,"간밤 미국 뉴욕증시가 일제히 상승 마감한 가운데 국내 증시는 하락 출발했다. 중국 인공지능(AI) 기업 딥시크의 가성비 모델 발표 등 설 연휴 기간 발생한 글로벌 이슈에 영향을 받는 것으로 풀이된다.31일 코스피는 전 거래일보다 1.02포인트(-0.04%) 하락한 2,535.78에 장을 열었다.이후 9시 13분 기준 2,507선까지 내려가며 낙폭을 확대하고 있다.투자자별 매매동향을 살펴보면, 개인과 기관이 각각 915억 원, 2,499억 원 순매수하고 있지만 외국인이 나홀로 3,272억 원 팔고 있다.같은 시각, 유가증권시장 시가총액 상위 종목은 혼조세를 보이고 있다. 삼성전자(-2.79%)와 SK하이닉스(-9.95%), LG에너지솔루션(-0.79%), 현대차(-0.48%), 기아(-0.79%) 등이 내리고 있는 한편 삼성바이오로직스(+1.01%), 셀트리온(+1.66%), KB금융(+1.69%), NAVER(+4.66%) 등이 오르고 있다.코스닥도 전 거래일보다 3.13포인트, 0.43% 하락한 725.61에 개장했다. 코스닥 시장에서는 외국인과 기관은 각각 154억 원, 60억 원 순매수하고 개인만이 199억 원 순매도 중이다.코스닥 시총 상위 종목도 엇갈린 흐름을 나타내고 있다. 알테오젠(+1.10%), 레인보우로보틱스(+0.81%), 리가켐바이오(+0.57%), 삼천당제약(+2.97%), 클래시스(+0.19%), 휴젤(+0.22%) 등이 오르고 있지만 에코프로비엠(-1.23%), HLB(-1.14%), 에코프로(-0.82%), 리노공업(-4.64%)등이 내리고 있다.김대준 한국투자증권 연구원은 ""설 연휴 중 딥시크 충격에 미국 증시에서 AI 관련주가 급락했다""며 ""국내 증시는 연휴로 대외 충격을 회피했으며, 올해 이익 모멘텀이 높은 바이오, 조선, 전력 등의 상장세는 이어질 것""이라고 내다봤다. 다만 ""국내 증시에서도 AI 하드웨어와 관련한 HBM 종목의 변동성이 크게 확대될 수 있다""고 언급했다.한편, 서울 외환시장에서 원·달러 환율은 전 거래일 주간거래 종가보다 14.7원 오른 1,446.0원에 출발했다.최민정기자 choimj@wowtv.co.kr"
"[마켓PRO] ""드디어 삼성전자의 시간""…HBM 공급승인 소식에 고수들 집중 매수",맹진규,한국경제,2025.01.31,"※한경 마켓PRO 텔레그램을 구독하시면 프리미엄 투자 콘텐츠를 보다 편리하게 볼 수 있습니다. 텔레그램에서 ‘마켓PRO’를 검색하면 가입할 수 있습니다.사진=한경DB투자수익률 상위 1％의 고수들이 삼성전자를 쓸어 담고 있다. 주가가 급등한 네이버와 카카오는 매도 대상에 올랐다.31일 미래에셋엠클럽에 따르면 미래에셋증권 계좌로 주식을 거래하는 수익률 상위 1％ 고수들은 이날 개장부터 오전 10시까지 국내 증시에서 삼성전자를 가장 많이 순매수했다. 이날 블룸버그는 익명의 소식통들을 인용해 삼성전자가 엔비디아에 5세대 고대역폭 메모리(HBM) 공급 승인을 얻었다고 보도했다.하지만 주가가 -2%대 약세를 보이고 있다. HBM3E의 엔비디아 공급은 오랫동안 기다려왔던 소식이지만, 중국 인공지능(AI) 딥시크의 등장으로 엔비디아 등 AI 반도체업체의 성장성에 대한 의구심이 제기된 상황에 주가에 호재로 작용하지 못하는 것으로 풀이된다.이날 삼성전자는 지난해 실적을 발표했다. 삼성전자는 연결 기준 작년 한 해 영업이익이 32조7천260억원으로 전년보다 398.34% 증가한 것으로 잠정 집계됐다고 공시했다. 매출은 300조8709억원으로 전년 대비 16.2% 증가했다. 순이익은 34조4514억원으로 122.45% 늘었다.지난해 4분기 반도체 사업에서 2조9000억원의 영업이익을 내는 데 그쳤다. 4분기 영업이익은 6조4천927억원으로 전년 동기보다 129.85% 늘었다. 이는 시장 전망치 7조6천376억원을 15% 하회한 수준이다.4분기 매출과 순이익은 각각 75조7883억원과 7조7544억원이었다. 4분기 실적을 부문별로 보면 반도체 사업을 담당하는 디바이스솔루션(DS) 부문은 매출 30조1000억원, 영업이익 2조9억원을 기록했다.이 시각 고수들이 가장 많이 순매도하고 있는 종목은 네이버와 카카오다. 중국 생성형 인공지능(AI) '딥시크'가 저비용으로 챗GPT와 유사한 성능의 AI 추론 모델을 만들어내면서 국내 증시에서 AI 소프트웨어 대표 기업인 네이버와 카카오도 강세를 보이자 차익실현에 나선 것으로 풀이된다.이외에도 딥시크 공포에 급락하는 SK하이닉스, 이수페타시스 등 반도체주도 매도 상위권에 이름을 올렸다."
"여객기 화재 발생한 에어부산, 장중 6%대 '하락'",진영기,한국경제,2025.01.31,"사진=뉴스1에어부산이 약세를 보이고 있다. 최근 발생한 '에어부산 여객기 사고' 여파로 투자심리가 위축된 것으로 보인다.31일 오전 9시45분 현재 에어부산은 전장 대비 60원(2.42%) 내린 2415원에 거래되고 있다. 주가는 장중 6% 하락한 2325원까지 밀렸다가 다시 2400원선을 되찾았다.여객기에서 발생한 사고가 투자심리에 영향을 준 것으로 보인다. 에어부산 BX391편은 지난 28일 오후 부산에서 홍콩으로 출발하려던 중 김해공항 계류장에서 항공기 내부 뒤편에서 불이 나기 시작해 동체 상부를 태웠다. 당시 탑승했던 170명 승객(탑승 정비사 1명 포함)과 6명의 승무원은 비상 슬라이드를 통해 탈출했으며, 이 과정에서 7명이 경상을 입었다.국토교통부는 화재 원인을 규명하기 위해 조사를 진행하고 있다. 또 국토부 항공철도사고조사위원회(ARAIB)는 이날 오전 프랑스 항공사고조사위원회(BEA)가 사고 항공기에 대한 위험관리평가를 실시한다고 밝혔다."
"이엔셀·싱귤래러티바이오텍, 유전성 망막질환 치료제 개발 맞손",한경우,한국경제,2025.01.31,"사진=이엔셀이엔셀은 지난 24일 유전성 망막질환치료제 개발사인 싱귤래리티바이오텍과 유전성 망막질환 치료제 개발에 협력하기로 하는 업무협약(MOU)를 맺었다고 31일 밝혔다.협약에 따라 이엔셀은 글로벌 수준의 우수 의약품 제조·품질 관리(GMP) 시설에 대한 노하우를 싱귤래리티바이오텍에 제공한다. 이를 통해 망막 오가노이드 유래 세포 치료제 후보의 임상 진입이 가속화될 것으로 양사는 기대하고 있다.유전성 망막질환은 유전자에 문제가 생겨 유소년 시기부터 야맹증, 터널 시야 등 증상을 겪는 희귀질환이다. 일부 환자는 실명하기도 한다. 현재까지 실명 원인으로 알려진 유전자만 330여가지가 넘고, 국내 환자는 약 1만5000~2만명으로 추산된다.이엔셀은 국내에서 유일하게 세포와 바이러스를 동시에 생산이 가능한 글로벌 수준의 GMP 시설을 갖추고 의약품 위탁 개발·생산(CDMO) 사업을 하고 있다. 또 독자적인 기술로 배양한 중간엽 줄기세포치료제 후보인 EN001를 개발 중이다.싱귤래리티바이오텍은 망막오가노이드 제작, 기반 세포의 배양과 관련해 차별화된 노하우를 바탕으로 제반 특허를 확보했다. 망막 오가노이드 유래 세포치료제 후보는 동물실험을 통한 선행 연구데이터와 기술 유효성을 입증해 작년 민관공동창업자발굴육성사업(TIPS)에 선정돼 공정을 고도화하고 있다. 같은해 11월 한국보건산업진흥원장 표창을 수여받았다.이엔셀 장종욱 대표이사는 “이엔셀은 세포유전자치료제 CDMO 분야에서 독보적인 입지를 차지하고 있다”며 ““이번 MOU가 유전성 망막질환 치료제 개발에 나선 싱귤래리티바이오텍의 도전에 큰 도움이 되길 바란다”고 말했다.싱귤래리티바이오텍 대표이사이자 실명퇴치운동본부 최정남 회장은 “국내 최초로 환우들이 참여해 설립된 싱귤래리티바이오텍은 건양대와 순천향대 연구진이 협업해 이뤄 낸 연구 성과를 바탕으로 치료제 개발에 나섰다”고 설명했다.MOU를 맺는 자리에는 실명퇴치운동본부 홍보대사로 활동해온 그룹 소녀시대의 멤버이자 배우인 최수영씨가 참석했다. 그는 ""그동안 우수한 연구진의 꾸준한 연구 결과 끝에 국내에서도 이제 치료제가 개발될 수 있는 기반이 마련돼 기쁘다”며 ""앞으로 다양한 치료 기술들이 개발되어 환우들과 함께 어둠에서 빛을 찾아가는 기적을 만드는데 힘을 보태겠다”고 말했다."
"""네이버도 할 수 있는 거 아냐?""…'딥시크 등장'에 주가 급등",노정동,한국경제,2025.01.31,"네이버 사옥 /사진=연합뉴스중국 생성형 인공지능(AI) '딥시크'가 저비용으로 챗GPT와 유사한 성능의 AI 추론 모델을 만들어내면서 국내 증시에서 AI 소프트웨어 대표 기업인 네이버 주가가 급등하고 있다.31일 오전 9시30분 현재 네이버(NAVER) 주가는 전 거래일 대비 1만2500원(6.13%) 오른 21만6500원에 거래되고 있다. 카카오와 크래프톤도 장중 각각 7%대와 4%대 강세다.그동안 고비용 논란이 일었던 AI 학습에 딥시크가 저비용으로 고성능 추론 모델을 만들어내면서 국내 AI 소프트웨어 업종에 기대감이 나타나고 있는 것으로 풀이된다.최승호 상상인증권 연구원은 ""국내 인터넷 업종은 오픈소스 진영에 속하기 때문에 오픈소스 모델의 성공이 낙수 효과로 떨어지는구조""라며 ""딥시크의 등장이 국내 기업에는 호재가 될 수 있다""고 밝혔다.이어 ""딥시크로 인해 국내 기업에서는 소프트웨어·게임 기업에 더 주목해야 한다""며 ""이미 거대언어모델(LLM) 개발까지 완료한 국내기업이 다수지만 높은 컴퓨팅 자원을 필요로 하는 AI 특성상 글로벌 대비 퍼포먼스는 저조했는데 비용 절감은 빠른 상용화를 이끌 가능성이 크다""고 덧붙였다."
"인적분할 철회한 빙그레, 9%대 '하락'",진영기,한국경제,2025.01.31,"사진=빙그레인적분할을 철회한 빙그레 주가가 급락하고 있다.31일 오전 9시28분 현재 빙그레는 전 거래일 대비 7600원(9.67%) 내린 7만1000원에 거래되고 있다. 주가는 장중 7만100원까지 밀리기도 했다.빙그레는 지난 24일 ""인적분할 및 지주사 전환 이전에 보다 명확한 주주가치 제고 방안 마련이 필요하다고 봤다""며 ""추후 사업 전개 방향이 가시화한 후 진행하는 게 적절하다고 판단해 이번 계획을 철회하기로 했다""고 공시했다.지난해 11월 빙그레 이사회는 경영 효율성을 추구하고 지속성장 기반을 마련하고자 지주회사 체제로 전환과 인적분할을 결의했다. 지주회사와 사업회사를 분할해 사업회사는 유가공 제품 등 음·식료품 생산 및 판매를 독립적으로 운영하는 경영 체제를 구축하고, 지주회사는 사업 포트폴리오를 관리한다는 계획이었다. 이를 위해 빙그레가 보유 중인 자사주 100만9440주(총 발행주식의 10.25%)는 향후 별도 이사회 결의를 통해 전량 소각할 예정이었다.장지혜 DS투자증권 연구원은 ""'자사주 소각 및 인적 분활 효과'라는 투자포인트가 사라진 점은 아쉽다""면서도 ""분할과 관계없이 해외 중심 실적 개선 전망은 변화가 없다""고 설명했다."
