article_name,journalist,publisher,date,article
"""中에 개인정보 샐라""…금융권, '딥시크 차단' 전방위 확산",고정삼,한국경제,2025.02.06,"딥시크 이미지컷./사진=최혁 기자금융당국과 증권사들이 중국 인공지능(AI) 딥시크(Deepseek) 접속 차단에 잇따라 나서고 있다. 생성형 AI 사용 과정에서 발생할 수 있는 민감 업무 및 개인정보 유출 가능성을 차단하기 위한 움직임으로 풀이된다.6일 금융투자업계에 따르면 금융위원회와 금융감독원은 이날 외부 접속이 가능한 컴퓨터에서 딥시크 접속을 제한한다고 내부 공지했다. 딥시크가 이용자 정보를 과도하게 수집한다는 우려가 나오면서다. 뿐만 아니라 금융위는 예금보험공사·한국자산관리공사·주택금융공사 등 산하 기관에도 딥시크의 보안상 우려 등이 담긴 공문을 발송했다. 한국거래소도 지난달 말 딥시크 접속을 차단하는 등의 내부 보안 조치를 실시했다.국내 증권사들도 딥시크 접속을 제한하고 있다. 하나·IBK투자증권 등은 지난달 31일부터 딥시크 접속을 차단했다. 이밖에 미래에셋·키움·메리츠·신한·대신·유안타·iM·한화투자·교보·LS·다올 등도 딥시크 접속을 차단해 놓은 상태다. 한국투자·KB·SK·한양·토스증권 등은 개인정보 유출 가능성 등을 검토한 후 딥시크 차단 여부를 결정한다는 방침이다.최근 딥시크의 개인정보 유출 우려가 확대되면서 국내 정부 기관과 기업들이 잇따라 사용을 제한하고 있다.앞서 행정안전부는 지난 4일 중앙부처와 17개 광역지방자치단체에 딥시크와 챗GPT 등 생성형 AI 사용에 유의해 달라는 내용의 공문을 보냈다. 공문엔 생성형 AI에 개인정보 입력을 자제하고, 생성형 AI가 도출한 결과물을 무조건 신뢰하면 안 된다는 취지의 내용이 담긴 것으로 전해졌다."
"""수익 짭짤하네""…강남 부자들 돈 싸들고 '우르르' 몰린 곳 [양현주의 슈퍼리치 레시피]",양현주,한국경제,2025.02.06,※ ‘
[마켓칼럼] '1월 효과'로 본 올해 증시는…美주식 강세 속 中 기술주 뜬다,,한국경제,2025.02.06,"사진=게티이미지뱅크※한경 마켓PRO 텔레그램을 구독하시면 프리미엄 투자 콘텐츠를 보다 편리하게 볼 수 있습니다. 텔레그램에서 ‘마켓PRO’를 검색하면 가입할 수 있습니다.신긍호 베이직자산운용 대표2024년에 미국증시 하락 예측했던 미국 투자은행, 올해에는 10% 이상 상승 예측2024년 초에 대부분의 미국 투자은행들은 2024년말에 미국증시가 상승하지 못할 것이라고 전망했습니다. 2023년에 상승세를 주도했던 M7이라고 불리는 주요 기술주들의 주가가 충분히 비싼 수준이고, 금리가 높고, 지정학적 이슈와 경기둔화 가능성 등이 주식시장의 상승세를 가로막는 요인이 될 것이라는 전망이었습니다.하지만, 2024년에 미국 주식시장은 M7을 비롯한 주요 기술주들의 상승세가 이어졌습니다. 금융주, 인프라와 산업재 주식들의 상승세가 가세하여 미국 주식시장은 전체적으로 20% 이상의 상승세를 나타냈습니다.이렇게 2024년 미국 주식시장에 대해 빗나간 예측을 했던 미국의 주요 투자은행들이 2025년에는 10% 이상의 상승세를 나타낼 것이라고 전망하고 있습니다. 2024년말에 S&P500지수가 5881이었는데, 2025년말에 대부분의 투자은행들은 6600까지 상승할 것으로 전망하고 있으며, 오펜하이머 증권사에서는 7100까지 상승할 것이라고 전망하고 있습니다.미국 주식들의 주가가 2024년보다 더 비싸졌고, 여전히 높은 시장금리 상황인데다 경기둔화 가능성에 대한 우려가 지속되고 있는 상황인데도 2025년에 미국 주식시장이 10% 이상 상승할 수 있다고 전망하고 있는 배경은, S&P500지수에 편입된 기업들의 이익성장률이 2024년에는 9% 증가에 그쳤는데도 주식시장은 20% 이상 상승했으니 기업이익 성장률이 15% 수준일 것으로 보이는 2025년에 10% 이상의 주가 상승이 가능할 것이라고 판단하는 것 같습니다.또 전통적으로 새로운 대통령이 취임한 첫해에 미국 주식시장이 높은 상승세를 나타냈던 점도 감안이 되었을 것으로 보입니다.2024년에 대부분의 미국 투자은행들과 국내 투자전략가들의 시장전망이 빗나가다보니 많은 투자자들은 투자은행들의 전망과 반대 방향으로 투자하는 것이 돈을 벌 수 있는 방법이라고 생각하는 경향이 많았는데, 그렇다면 올해에는 미국주식이 하락할 가능성에 투자를 해야하는가에 대한 고민을 하는 투자자들도 생길 것 같습니다.1월 효과로 볼 때, 올해 주식시장은 투자은행들의 예측과 부합하는 상승세 예상주식시장에서 연초에 많이 회자되는 ‘1월효과(January Effect)’에 의해 나타나는 주식시장 향방에 대한 몇가지 힌트들을 살펴보면 올해 글로벌 주식시장은 긍정적일 가능성이 높아보여서 미국 주요 투자은행들의 전망이 빗나가지 않을 것으로 보입니다.보통의 경우 ‘1월 효과’는 주식시장이 연초에 새로운 시작의 기대감 등으로 상승세를 나타낸다는 효과를 말하기도 하지만, 1월의 주가흐름이 1년의 주가흐름과 관계가 있다는 의미를 말하기도 합니다.통계적 분석에 따르면, 1월에 주식시장이 상승하면 그해에 1년 동안 주식시장은 80% 이상의 확률로 상승세를 나타냈습니다. 또한 검증되지는 않았지만 우리나라 투자자들에게 홀수년도에는 한국 주식시장이 상승할 것이라는 심리적인 기대감이 높은 경향을 나타냅니다.올해 1월에 미국 주식시장이 2.7% 상승한 반면, 한국 주식시장은 4.9%의 높은 상승세를 나타냄에 따라 올해 연말까지 한국 주식시장에 대한 상승 기대감이 높은 상황입니다. 미국 주식시장이 대통령 취임 첫해에 대체로 20% 이상의 상승세를 보였던 사례를 감안한다면 한국과 미국 주식시장에 대해 올해에 긍정적인 시각을 가질 필요가 있을 것 같습니다.‘1월 효과’에서 발견된 힌트에서 올해에 주목해야 할 세부적인 내용들을 요약해 보면, 딥씨크(DeepSeek)를 통해 AI관련 주식의 중요성 인식과 함께 중국 기술주에 관심을 가져야 할 것으로 보이며, 미국 트럼프정부의 정책 불확실성과 양적긴축을 회피하기 위한 안전자산 선호의 결과로 나타난 금 가격의 상승 지속 여부, 한국 주식과 같은 저평가 주식 및 미국의 소비재관련 주식과 같은 저변동성 주식의 상승 가능성을 지속적으로 관찰할 필요가 있습니다."
트럼프發 '관세 폭탄'에 가상자산 급락…비트코인은 버틸 수 있을까? [강민승의 트레이드나우],강민승,한국경제,2025.02.06,"도널드 트럼프 미국 대통령 / 사진=셔터스톡미국의 매파적 금리 동결로 하방 압력이 커진 비트코인(BTC, Bitcoin)은 도널드 트럼프 미국 대통령의 '관세 폭탄' 정책에 대한 우려에 하락세를 보이고 있다. 최근 알트코인(비트코인 외 가상자산) 대다수는 두 자릿수 하락률을 기록했는데, 비트코인은 상대적으로 낙폭을 제한하며 손실을 방어하고 있다.시장 전문가들은 비트코인이 심리적 저항선인 10만달러를 안정적으로 돌파하면 회복을 이어갈 수 있지만 9만3500달러 지지선을 하회하면 낙폭이 확대될 수 있다는 분석을 내놨다.6일 오전 11시 39분 기준 현재 업비트 원화 마켓에서 비트코인은 전일 대비 0.36% 오른 1억5199만원(바이낸스 USDT 마켓 기준 9만7183달러)에 거래되고 있다. 같은 시각 김치 프리미엄(해외 거래소와 국내 거래소의 가격 차이)은 최근 큰 폭으로 상승한 8.39%를 나타내고 있다.""트럼프 관세 충격…증시·가상자산 시장 출렁""글로벌 증시·가상자산(암호화폐) 시장은 트럼프 대통령의 광범위한 관세 정책 영향으로 격동의 시기를 보내고 있다. 앞서 트럼프 대통령은 국가 비상사태를 선언하고 국제경제비상권한법(IEEPA)을 앞세워 캐나다·멕시코·중국에 관세를 부과하는 행정명령에 서명했다.제롬 파월 Fed 의장이 지난 1월 FOMC 이후 가진 기자회견에서 발언하고 있다. / 사진=미국 중앙은행(Fed) 홈페이지시장은 트럼프의 관세 조치에 롤러코스터를 탄 듯한 흐름을 보였다. 특히 가상자산 시장은 지난달 미국 중앙은행(Fed)의 매파적(통화긴축 선호) 금리 동결 이후로 하방 압력이 가중된 가운데 트럼프의 관세 강행 우려가 심화해 약세가 두드러졌다. 글로벌 관세 전쟁이 촉발되면 인플레이션이 높아질 수 있고 금리인하 가능성이 줄어들 수 있다는 이유에서다.한편 트럼프 대통령은 지난 3일(현지시간) 캐나다와 멕시코에 대한 '25% 전면 과세'를 한 달간 유예하기로 했다. 다만 중국에 대한 관세는 아직 유지된 상태다. 이에 중국도 미국산 석탄 등 일부 품목에 15% 관세를 부과하는 등 맞불 대응에 나섰다. 최근 백악관은 트럼프 대통령과 시진핑 중국 국가주석간 통화 일정을 잡기 위한 작업이 진행되고 있다고 밝혔다.사진=CME 페드워치 캡쳐시장 참여자들은 미국과 중국 간 관세 협상을 기대하며 크게 우려하지 않는 분위기다. 이날 오전 11시 기준, 시카고상품거래소(CME) 페드워치에 따르면, Fed가 3월 기준금리를 동결할 가능성은 83%로 나타났다. 또 페드워치는 첫 금리 인하 시점에 대해 5월 인하 가능성을 36.5%, 6월 인하 가능성을 46.5%로 전망했다. 5월과 6월 금리 인하 가능성은 이전보다 소폭 증가했다.""비트코인, 공포 매도에도 낙폭 제한적…증시와 커플링도 심화""미국에 상장된 비트코인 현물 ETF 자금 유입 / 사진=파사이드 인베스트먼트비트코인 현물 상장지수펀드(ETF)는 지난주(지난달 27일~31일) 5억5950만달러(약 8094억원)가 순유입됐다. 제롬 파월 미국 중앙은행(Fed) 의장이 가상자산 친화적 발언을 한 것, 트럼프 관계사 트럼프 미디어가 가상자산 사업과 투자에 나선다는 소식은 낙관론에 힘을 보탰다. 반면 트럼프 행정부 인공지능(AI)·가상자산 차르로 임명된 데이비드 색스의 첫 기자회견에서 우호적인 정책이 등장하지 않은 것은 시장에 실망감을 안겼다.최근 비트코인은 '관세 폭탄' 우려에 급락한 뒤 빠르게 회복하고 있다. 온체인 분석 플랫폼 글래스노드는 지난 4일 연구 보고서에서 ""트럼프 행정부의 관세 발표 이후 비트코인은 지난 주말 동안 급격히 하락한 뒤 빠르게 반등하는 모습을 보였다""면서 ""기관과 고액 투자자의 신규 자본이 유입되면서 조정 국면에서도 손실폭은 비교적 제한적이었다""라고 분석했다. 지난 2017년, 2021년 강세장에 비하면 최근 비트코인의 변동성은 비교적 큰 폭으로 감소했다는 관측도 나온다.비트코인은 2017년·2021년 강세장에서 변동성이 80~100%를 초과했지만, 최근 3개월 동안은 50% 이하로 유지되고 있다. / 사진=글래스노드당분간 시장의 유동성은 비트코인에 더욱 집중될 것이란 전망도 제기된다. 보고서는 ""비트코인으로 유입되는 자금과 알트코인 시장으로 유입되는 자본 간에 상당한 차이가 발생하고 있다""면서 ""비트코인은 가장 많은 자본을 끌어들이고 있고, 이같은 흐름에 비트코인 도미넌스(가상자산 전체의 시가총액 중 비트코인이 차지하는 비중)는 계속 상승할 것""이라고 예상했다. 비트코인 도미넌스는 지난 3일 64%를 일시 돌파하며 2021년 1월 이후 4년 만에 최고치를 찍었다.비트코인 도미넌스는 당분간 상승세를 지속할 것으로 전망된다. / 사진=글래스노드가상자산 시장은 커지는 불확실성 속에서 좀처럼 방향을 찾지 못하고 있다. 가상자산 분석업체 카이코는 지난 3일 ""트럼프의 관세 조치에 파생상품 시장에선 청산이 잇따라 발생하며 변동성이 확대됐다""라고 분석했다. 투자 업계는 최근 시장의 낙폭이 심화하면서 최소 80억달러(약 11조5800억원)에서 100억달러(약 14조4790억원)에 달하는 가상자산 선물 계약이 청산된 것으로 추정하고 있다.보고서는 이어 ""특히 옵션 시장에선 단기적으로 가격이 하락할 것이란 풋옵션 베팅이 증가했다""면서도 ""월말로 갈수록 균형이 맞춰지고 있다. 옵션 트레이더들은 관세 이슈에도 비트코인 가격이 크게 무너지지 않을 것으로 보고 있다""라고 덧붙였다. 카이코는 ""선물 투자자의 심리를 대변하는 펀딩비도 올 들어 계속 낮은 수준을 유지하고 있다. 시장은 커져가는 불확실성 속에서 뚜렷한 방향을 찾지 못하고 있다""라고 진단했다.특히 비트코인은 미국 증시와 동조화되는 흐름이 강해지고 있다. 글로벌 가상자산 거래소 비트파이넥스는 주간 연구 보고서에서 ""비트코인은 단기 변동성에도 불구하고 장기적으로 강세 구조를 유지하고 있다""면서 ""최근 비트코인은 거시경제 흐름에 더욱 민감하게 반응하고 있다""라고 진단했다. 보고서에 따르면 최근 비트코인과 S&P500 지수의 30일 상관계수는 0.8까지 오르며 5개월래 최고치를 기록했다.최근 트럼프의 관세 조치에 대한 시장의 반응은 다소 과도했다는 관측도 나온다. 가상자산 데이터 분석업체 샌티멘트는 지난 4일 ""가상자산 시장은 트럼프의 대규모 관세 부과에 과도한 반응을 보였고 공포 매도에 나섰던 투자자들은 뒤늦게 후회하는 상황이 됐다""라며 ""전체 암호화폐 거래량은 지난주 대비 무려 94% 급증했다. 최근 시장의 높은 변동성이 트레이딩 열기를 높였고, 투자자의 관심도는 2주전 트럼프 취임식 때만큼 치솟았다""라고 분석했다.""비트코인, 당분간 박스권…10만달러 돌파해야 상승 전환""시장 전문가들은 비트코인이 심리적 저항선인 10만달러를 돌파하면 상승세를 이어갈 가능성이 높지만, 9만3500달러를 깨고 내려가면 약세가 심화할 수 있다고 봤다. 온체인 데이터에 따르면 최근 비트코인의 신규 수요는 기관과 대형 투자자가 주도하고 있다는 분석도 나온다.비트코인은 주요 지지선 위에서 거래되고 있지만 상승 모멘텀이 부족해 저항선 돌파에 어려움을 겪고 있다. 아유시 진달 뉴스비티씨 연구원은 ""비트코인은 10만2500달러 부근에서 추가 상승에 실패하고 다시 하락세로 전환됐다. 10만달러선마저 반납하면서 약세 흐름이 강화됐다""라고 진단했다.분석가는 ""비트코인은 9만5500달러~9만6500달러 지지 구간을 사수할 경우 반등할 가능성이 열려있다""면서도 ""9만9000달러 부근에 하락 추세선을 형성하고 있어 추가 상승엔 어려움을 겪을 수 있다""라고 분석했다. 비트코인이 10만달러를 돌파한다면 상승세를 이어갈 가능성이 커지지만, 9만3500달러를 하회할 경우 9만1000달러까지 낙폭을 키울 수 있을 전망이다.반등을 시도하고 있는 비트코인은 당분간 박스권에서 움직일 것이란 전망도 나온다. 라케시 우파드예히 코인텔레그래프 연구원은 ""비트코인은 9만달러 부근에서 저가 매수세가 유입되며 반등을 시도하고 있다""면서도 ""당분간 박스권 내에서 등락을 이어갈 가능성이 크다""라고 전망했다.분석가는 ""비트코인이 다음 저항선인 10만1161달러를 돌파하지 못하면 주요 지지선을 다시 테스트할 가능성이 높다""면서 ""만약 비트코인이 (일봉을 기준으로) 8만5000달러를 이탈해 마감한다면 본격적인 하락 추세의 신호가 될 수 있다""라고 분석했다.알렉스 쿠프치케비치 에프엑스프로 수석 시장분석가도 ""가상자산 시장은 단기 저점 부근에서 매수세가 증가해 반등했지만 지속적인 상승을 위해선 새로운 촉매가 필요하다""라고 분석했다. 분석가는 ""비트코인은 9만7500달러 부근에서 계속 횡보하며 단기적인 균형을 찾은 것으로 보인다""면서도 ""심리적 저항선인 10만달러를 하회하고 있다는 것은 긍정적인 신호가 아니다""라고 해석했다.이와 함께 알트코인 시장의 투심도 식어가고 있다는 관측도 제기된다. 분석가는 ""알트코인 대장주 이더리움(ETH)은 알트코인 시장에서 선행 지표 역할을 하는데, 현 흐름을 고려하면 시장의 전망은 밝지 않아 보인다""라고 덧붙였다. 실제로 이더리움은 최근 중요 지지선인 2980달러를 하회했고 알트코인 대다수는 두자릿수 하락세를 보였다.<블록체인·가상자산(코인) 투자 정보 플랫폼(앱) '블루밍비트'에서 더 많은 소식을 받아보실 수 있습니다>"
비트코인 하락에도 낙관론 지속…ETF·규제 완화 기대감↑,이준형,한국경제,2025.02.06,"비트코인(BTC) 등 암호화폐 시장의 변동성이 치솟고 있다. 미 증시와 비트코인의 동조화 현상이 심화하고, 트럼프발(發) 관세 전쟁 우려 등이 잇따라 불거진 영향이다.특히 지난 4일(현지시간) 데이비드 색스 미 백악관 AI 및 암호화폐 차르가 첫 기자회견을 진행한 후 비트코인은 10만 달러 선이 붕괴되기도 했다. 당초 시장이 기대한 만큼 비트코인 관련 언급을 구체적으로 내놓지 않은 탓이다.색스는 비트코인을 전략자산으로 비축하는 방안에 대해 ""가장 먼저 검토하려는 사항""이라면서도 ""현재 논의는 초기 단계""라는 대답만 내놨다. 국부펀드 편입 가능성에 대해서는 ""하워드 러트닉 상무부 장관 지명자에게 묻는 것이 좋겠다""라며 즉답을 회피했다.이에 지난 3일 미국이 캐나다와 멕시코에 대한 관세 부과를 일시 유예하며 10만 달러를 돌파했던 비트코인은 이날 한때 9만 6000달러 선까지 하락하기도 했다.""불확실성 지속될 것""지난주에는 '딥시크 쇼크'가 비트코인을 덮쳤다. 중국 스타트업 딥시크가 '저비용 고성능' AI 모델을 내놓자 엔비디아 등 미 기술주가 폭락하며 미 증시와 커플링(동조화)된 암호화폐 시장도 직격탄을 맞은 것.이에 더해 트럼프 대통령이 '관세 폭탄'으로 변동성에 기름을 부었다. 미국발 관세 전쟁으로 경기 불확실성이 커지며 암호화폐 등 위험자산에 대한 회피 심리가 확산됐기 때문이다. 라이언 리 비트겟리서치 수석 애널리스트는 ""경기 불확실성으로 인한 광범위한 시장 매도세는 단기 조정으로 이어질 것""이라며 ""비트코인이 9만달러 아래까지 밀릴 가능성도 있다""고 전망했다.멕시코·캐나다에 대한 관세 조치 유예 기간은 불과 한 달이며, 미중 무역 갈등은 이미 본격화됐고, 유럽연합(EU)에 대한 추가 관세도 예고된 만큼 글로벌 관세 전쟁 우려는 계속되고 있다. 암호화폐 서비스 업체 매트릭스포트는 ""당분간 관세 정책으로 인한 가상자산 시장의 불확실성이 지속될 것""이라고 내다봤다.""새 강세 모멘텀 형성될 수도""다만 강세 전망도 여전히 우세하다. 미국에서 비트코인, 이더리움에 이어 추가로 암호화폐 상장지수펀드(ETF)가 승인될 것이라는 예측이 나오는 영향이다. 현재 리플, 솔라나, 라이트코인 등 암호화폐 ETF가 미 증권거래위원회(SEC)의 심사를 받고 있는 가운데 폴 앳킨스 신임 SEC 위원장이 친암호화폐 인사로 알려진 만큼, 연내 해당 ETF의 승인이 이뤄질 것이라는 관측이 지배적이다.규제 완화 움직임도 기대감을 더하고 있다. 뉴욕타임스(NYT)는 지난 4일(현지시간) SEC가 암호화폐 규제 관련 부서의 인력을 감축하고 있다고 보도했다. 또한 SEC는 최근 암호화폐 규제 명확화를 위한 태스크포스(TF)를 꾸린 것으로 전해졌다.암호화폐 기반 세계 최대 베팅 사이트인 폴리마켓에서는 '다음 달 비트코인이 신고가를 경신할 확률'이 6일 현재 60%에 달한다. 비트코인은 지난 1월 20일 사상 최고가인 10만9007달러를 기록한 바 있다.샤얀BTC 크립토퀀트 기고자는 ""이번 암호화폐 시장의 조정은 투자자들을 위축시켰지만 동시에 새로운 수요가 유입될 가능성을 높이고 있다""라며 ""주요 지지선(9만 달러)에서 매수세가 유입되면 현재 조정 국면이 새로운 강세 모멘텀을 형성하는 계기가 될 수 있다""고 분석했다.<블록체인·가상자산(코인) 투자 정보 플랫폼(앱) '블루밍비트'에서 더 많은 소식을 받아보실 수 있습니다>"
"HD현대건설기계, 작년 4분기 영업익 353억원…전년比 31.4%↑ [주목 e공시]",한경우,한국경제,2025.02.06,"HD현대건설기계는 작년 4분기 연결 기준 매출 7891억원, 영업이익 353억원의 실적을 기록했다고 6일 공시했다.전년 동기 대비 매출은 6.7% 줄었지만, 영업이익은 31.4% 늘었다.같은 기간 당기순이익은 19억원 손실을 기록했다. 1년 전에 비해 적자 규모는 95.5% 축소됐다."
"코스피, 기관·외국인 매수에 강세…금리 하락에 바이오주 강세",한경우,한국경제,2025.02.06,"사진=연합뉴스코스피가 기관의 매수에 강세를 보이고 있다. 장초반 매도하던 외국인도 현·선물 동반매수세로 돌아섰다. 간밤 미국의 장기국채 금리가 하락한 덕에 바이오주가 불을 뿜고 있다.6일 오전 11시8분 현재 코스피는 전일 대비 17.79포인트(0.71%) 오른 2527.06에 거래되고 있다.기관이 유가증권시장에서 1158억원어치 주식을 사며 지수 상승을 이끌고 있다. 장 초반 소폭 매도세를 보이던 외국인도 207억원 순매수로 돌아섰다. 코스피200 선물도 559억원어치 사고 있다. 반면 개장 직후 주식을 사들이던 개인은 매도세로 전환해 1656억원어치를 파는 중이다.시가총액 상위 종목은 혼조세다.삼성전자와 SK하이닉스는 각각 0.95%와 1.36% 상승하고 있다. SK하이닉스는 20만원선을 회복했다.삼성바이오로직스와 셀트리온은 각각 0.18%와 1.01% 오르고 있다.현대차는 0.98% 오르지만, 기아는 약보합세다.KB금융은 기대에 못 미치는 작년 4분기 말 기준 보통주자본비율(CET1)이 기대에 못 미치면서 주주환원이 약화되는 것 아니냐는 우려가 제기됐고, 이 영향으로 6.48% 하락 중이다.HD현대중공업은 2.1% 오르고 있다.코스닥은 전일 대비 5.40포인트(0.74%) 오른 736.38에 거래되고 있다. 이 시장에서는 개인과 기관이 각각 341억원어치와 229억원어치 주식을 사는 반면, 외국인은 451억원어치를 팔고 있다.코스닥 시가총액 상위 종목에서는 바이오주의 강세가 두드러진다. 알테오젠은 3.06%, 리가켐바이오는 5.08%, 휴젤은 4.54%, 파마리서치는 4.94% 상승 중이다. 리노공업도 3.94% 오르고 있다. 바이오주 상승 배경은 미국 국채금리 하락으로 보인다. 미 재무부가 오는 4월까지 장기국채 발행 계획을 기존대로 유지하겠다고 밝히면서 간밤 미 국채 10년물 금리는 크게 하락해 4.423%에 마감됐다.반면 에코프로비엠, 에코프로는 1%대 하락 중이다. 레인보우로보틱스도 차익실현 매물이 나오며 0.94% 빠지고 있다.서울외환시장에서 원·달러 환율은 전일 대비 1.2원(0.08%) 오른 달러당 1445.1원에 거래되고 있다."
[마켓PRO] HLB 팔고 '삼성중공업·삼양식품' 산 초고수들,류은혁,한국경제,2025.02.06,"※한경 마켓PRO 텔레그램을 구독하시면 프리미엄 투자 콘텐츠를 보다 편리하게 볼 수 있습니다. 텔레그램에서 ‘마켓PRO’를 검색하면 가입할 수 있습니다.사진=게티이미지뱅크투자수익률 상위 1％의 고수들이 '트럼프 수혜주'로 꼽히는 삼성중공업을 쓸어 담고 있다. 미국과 중국의 무역 갈등으로 글로벌 부유식 액화천연가스 생산·저장·하역 설비(FLNG) 프로젝트를 독식할 가능성이 나오면서다.6일 미래에셋엠클럽에 따르면 미래에셋증권 계좌로 주식을 거래하는 수익률 상위 1％ 고수들은 이날 개장부터 오전 10시까지 국내 증시에서 삼성중공업을 가장 많이 순매수했다. 이 밖에 한올바이오파마 삼양식품 SK하이닉스 삼성전자 등이 순매수 상위권에 이름을 올렸다.SK증권은 이날 삼성중공업의 목표주가를 1만7000원으로 상향했다. 한승한 SK증권 연구원은 ""미국 재무부 해외자산통제국(OFAC)이 중국 위슨(Wison) 조선소를 블랙리스트에 등재하는 등 미국과 중국 간의 무역 분쟁으로 삼성중공업이 글로벌 FLNG 프로젝트를 독식할 수 있는 환경이 조성되고 있다""고 분석했다.삼양식품도 매수세가 몰리고 있다. 지난해 영업이익률 20%를 기록하며 1961년 창사 이래 최대 실적을 올렸다는 소식이 전해지면서다. 전날 삼양식품은 지난해 연결 기준 매출 1조7300억원, 영업이익 3442억원으로 잠정 집계됐다고 공시했다. 전년 대비 매출은 45%, 영업이익은 133% 늘었다. 2023년 12%였던 영업이익률은 지난해 20%로 올라 수익성이 확대됐다.이 시각 고수들이 가장 많이 순매도하고 있는 종목은 HLB이다. 이 외에도 카카오 레인보우로보틱스 리가켐바이오 등이 순매도 상위권에 이름을 올렸다."
"SK바이오팜, 기대 이상 실적에 17%대 급등",한경우,한국경제,2025.02.06,"지난해 경기 판교 SK바이오팜 본사에서 한국경제신문과 인터뷰하고 있는 이동훈 SK바이오팜 사장. 최혁 기자SK바이오팜이 호실적을 내놓은 영향으로 17% 넘게 급등하고 있다.6일 오전 10시51분 현재 SK바이오팜응ㄴ 전일 대비 1만9300원(17.8%) 오른 12만7700원에 거래되고 있다.작년 4분기 잠정실적을 공시한 오전 10시18분께부터 급등세를 탔다.SK바이오팜은 작년 4분기 연결 기준 매출 1630억원, 영업이익 407억원의 잠정실적을 기록했다고 공시했다. 전년 동기 대비 매출과 영업이익이 각각 28.6%와 175% 늘었다.특히 영업이익은 에프앤가이드에 집계된 컨센서스(증권사 추정치 평균) 296억원을 37.5% 웃돌았다.연긴 기준으로는 963억원의 영업이익을 기록해 흑자전환에 성공했다."
"美 증시, 상승...알파벳·AMD 급락 [글로벌 시황]",,한국경제,2025.02.06,"뉴욕증시 3대지수는 상승 마감했습니다. 다우지수는 0.7% 상승했고, 나스닥은 강보합, S&P500은 0.3% 상승했습니다.섹터별로 살펴보면, 국채 금리가 하락하며 부동산 섹터는 강세를 보였습니다. 금융 섹터도 1% 상승폭을 보였습니다. 기술 섹터도 1% 오르며 좋은 흐름 보였습니다.시총 상위 종목들의 움직임도 확인해보겠습니다. 시총 1위 애플은 중국 규제 당국이 애플의 앱스토어에 대한 반독점 조사를 준비중이라는 소식에 주가가 소폭 뒷걸음쳤습니다. 엔비디아는 5% 넘게 오르며 딥시크 충격에서 벗어나고 있습니다. 알파벳은 4분기 실적이 실망감을 안기면서 7% 큰 폭으로 밀렸고요. 테슬라는 전일 판매량 부진과 함께 관세 우려가 겹치며 오늘도 3% 빠졌습니다. TSMC는 2%, 브로드컴은 4% 오르면서 반도체 종목들도 좋은 흐름 이어갔습니다.국채 시장으로 넘어가보겠습니다. 오늘 나온 경제지표들은 엇갈렸습니다. 미국의 1월 ADP 민간고용은 18만 3천건으로 예상을 상회했고 ISM 서비스업 PMI는 예상을 하회했습니다. 하지만, 국채 금리는 큰 폭으로 하락했습니다. 마켓워치는 트럼프 대통령이 가자를 소유하고 개발하겠다는 발언을 하면서 중동 지역의 긴장감이 고조됐다고 풀이했습니다. 안전자산인 미국채에 자금이 몰리면서 국채 수익률이 하락했다는 것입니다. 10년물 국채 금리는 9bp 내린 4.42%에 거래됐고 2년물은 3bp내린 4.18%에 마감했습니다.유럽 증시도 혼조된 흐름을 보였습니다. 유럽 기업들의 실적을 반영하며 헬스케어 섹터는 상승했고 자동차 섹터는 내리막길을 걸었습니다. 유로스톡스600 지수는 0.4% 오르며 전고점을 턱밑까지 따라잡았고 독일 닥스 지수는 0.3% 상승, 프랑스 꺄끄 지수는 0.19% 내린채 마감했습니다.달러화는 오늘도 약세를 보이고 있습니다. 관세로 인한 무역 전쟁 우려가어느 정도 완화되면서 달러인덱스는 107선 중반까지 내려왔고 엔달러 환율은 152엔대까지 떨어지며 엔화는 7주 만에 최고 수준을 보이고 있습니다. 일본의 실질 임금이 2개월 연속 증가세를 보이며 일본은행의 금리 인상 가능성이 제기되고 있기 때문입니다. 원달러 환율도 1443원에 마감하며 안정을 되찾았고 역외환율에서는 1445원에 거래됐습니다.금 선물은 장중 2900달러를 돌파하며 사상 최고를 다시 한번 경신했습니다. 국채 수익률이 하락하고 달러화 약세까지 겹치면서 금에 대한 수요가 높아지고 있습니다.유가도 2% 빠졌는데 미국의 원유 재고가 2주 연속 증가세를 보이면서 WTI는 71달러, 브렌트유는 74달러까지 내려왔습니다.조윤지 외신캐스터김채은PD ckim@wowtv.co.kr"
