article_name,journalist,publisher,date,article
“되면 로또다”…63만명 어디에 몰렸나 했더니,이영기,헤럴드경제,2025.02.07,"최대 4억원의 시세 차익이 기대되는 세종시 소담동 ‘힐스테이트 세종 리버파크’ 무순위 청약에 약 63만명이 몰렸다. 7일 한국부동산원 청약홈에 따르면 세종시 소담동에 공급되는 ‘힐스테이트 세종리버파크’ H4블록 2가구 모집에 62만8746명이 신청했다. 이번 무순위 청약은 전용 84㎡와 105㎡ 각 1가구에 대해 진행됐으며 84㎡ 신청자는 33만7709명, 105㎡ 신청자는 29만1037명으로 집계됐다. 전날 진행한 같은 아파트 H3블록 84㎡ 무순위 1가구 모집에는 56만8735명이 신청, 단순 계산 시 같은 단지의 무순위 청약에 이틀 새 120만명 가까이 몰린 셈이다. 이같은 청약 열기는 예상됐다는 것이 업계 평가다. 2017년 공급 당시 가격으로 분양돼 3억~4억원의 시세 차익이 기대되는 데다 이달 중 무순위 청약 자격 요건이 변경될 것으로 전망되면서 마지막 ‘로또 청약’ 기회로 여겨졌기 때문이다. 이번 청약에서 84㎡의 분양가는 3억200만∼3억2100만원, 105㎡는 3억9900만원이었다. 해당 단지의 84㎡는 지난해 말 6억~7억원대에 거래됐다. ‘로또 청약’으로 불리는 무순위 청약은 국내에 거주하는 만 19세 이상이면 청약 통장 가입이나 거주 지역, 보유 주택 수와 상관없이 신청할 수 있다."
한은 “국민연금 전략적 환헤지 총 한도 482억弗…외환보유 4천억弗 미만도 충분 대응”,홍태화,헤럴드경제,2025.02.07,"한국은행은 7일 외환스와프를 통해 국민연금이 환헤지를 실행할 수 있도록 도움을 주고 이를 통해 결과적으로 외환시장 안정을 도모할 수 있다고 설명했다. 특히 ‘전략적 환헤지’가 최대로 실행될 경우 그 규모는 482억달러에 이를 것이라고 밝혔다. 외환시장에서 달러 수요를 억제할 수 있는 규모를 가늠해볼 수 있는 수치다. 국민연금 입장에선 환 변동성 위험을 피하고 수익률을 확정할 수 있다는 장점이 있을 것으로 분석됐다. 백봉현 한은 국제국 해외투자분석팀장은 7일 오후 한은에서 ‘우리나라 해외투자와 환율’을 주제로 연 금요강좌에서 “국민연금이 전략적 환헤지 비율을 최대10%까지 한시적으로 상향하여 운용가능한데, 그 규모가 482억달러 가량”이라며 이같이 밝혔다. 이어 “외환 파생상품 시장에서 환 헤지를 하는 순간 시장 수급과 가격에 영향을 줄 수 있어 연금이 원하는 대로 환 헤지를 하기 어려울 수 있다”며 “국민연금이 시장에서 환 헤지를 할 때 나타날 수 있는 시장 불안 등 영향을 최소화하기 위해 외환스와프 계약을 체결한 것”이라고 덧붙였다. 국민연금이 환헤지를 실제로 늘려 외환보유액이 급격하게 감소하면 오히려 시장 대응력이 떨어질 수 있단 질문에는 “만약 외환보유액이 4000억달러를 밑돈다고 해도, 당국은 충분한 시장 대응 여력을 가지고 있다고 생각한다”고 답했다. 외환당국과 국민연금은 지난해 말 외환스와프 계약 기간을 올해 말까지 1년 연장하고, 한도를 기존 500억달러에서 650억달러로 증액했다. 이를 통해 국민연금이 실제로 환헤지 확대에 나서더라도 충분한 외환을 공급할 수 있는 기틀을 마련했다. 외환스와프를 이용하면 달러를 실제 현물환 시장에서 조달하지 않고, 한은을 통해 얻게 되기 때문에 외환시장 변동성이 완화된다. 환율 하향효과를 불러온다는 얘기다. 국민연금 입장에선 환 위험을 피하고 손익을 확정해 수익률을 안정적으로 관리해나가는 장점이 있다. 백 팀장은 환율이 해외증권투자 손익에 큰 영향을 미치지만, 그 변화 방향을 예측하기는 어렵다며 위험 관리 차원에서 환 위험을 적극적으로 헤지(위험분산)하는 것이 바람직할 수 있다고 강조했다. 해외증권투자 손익에는 해외증권 가격 변동에 따른 손익과 환율 변동에 따른 환 손익이 포함된다. 그런데 환 헤지를 통해 환 손익을 확정하면 목표 수익률을 관리하는 데 도움이 될 수 있다. 특히 국민연금과 같이 해외 투자자산 규모가 크고 투자 기간이 긴 기관투자자들은 사전적으로 수익을 확보해야 할 필요가 있다. 즉, 환율 상승으로 목표수익률을 초과 달성했다면, 환 헤지를 통해 미실현이익을 실현이익으로 선제적으로 확정해야 한다는 게 한은의 설명이다. 이에 백 팀장은 한은과 국민연금 사이 외환스와프는 “국민연금이 환 헤지의 어려움을 해소하고, 한은도 외환시장 안정을 도모하는 양 기관 모두에 윈윈(win-win)인 전략”이라고 강조했다."
"DGB금융, 지난해 순이익 2208억원…자사주 600억원 소각",유혜림,헤럴드경제,2025.02.07,"DGB금융그룹은 지난해 2208억원의 당기순이익을 기록했다고 7일 발표했다. 이는 전년 대비 43.1% 감소한 수준이다. 은행 실적은 양호했지만 비은행 계열사의 부동산 프로젝트 파이낸싱(PF) 충당금 적립 여파가 영향을 미친 것으로 분석된다. 주력 계열사인 iM뱅크의 지난해 당기순이익은 3710억 원으로 전년 대비 2% 증가했다. 하반기 대출수요 둔화와 순이자마진(NIM) 하락에도 대손비용률이 안정세로 전환하면서 전반적으로 양호한 실적 흐름을 이어갔다. 올해 그룹의 재무적 성패는 계열사 실적에서 갈렸다. iM증권이 지난해 1588억원 적자를 기록하면서다. 이와 관련, 그룹 측은 “iM증권의 수익성 회복에 (그룹 실적 반등) 여부가 달려있다”면서 “증권사 실적이 개선되면 그룹 이익도 자연스럽게 증가하게 될 것”이라고 설명했다. 한편, DGB금융지주 이사회는 보통주 1주당 500원의 현금배당을 결의함과 동시에 600억원 규모의 대규모 자사주 소각 실행 계획을 발표했다. 현재 보유 중인 자기주식 약 275만주(200억원 매입분)와 올 상반기 중 매입 예정인 자사주(약 400억원)를 추가 소각할 방침이다. 최근 실적 부진과 배당금 감소에 대한 투자자의 실망감을 완화시키고, 작년에 발표한 기업가치제고 계획을 조기에 이행해 대외 신뢰도를 회복시키겠다는 경영진의 의지가 반영됐다는 설명이다. DGB금융지주 관계자는 “‘디지털로 고객에게 다가가는 온리 원(Only 1) 하이브리드 금융그룹’이라는 새로운 비전 제시와 함께 지난해 발표한 밸류업 프로그램을 성실히 이행해 기업 가치를 향상시키는데 집중하겠다”라고 밝혔다."
"우리금융, 2년 만에 순이익 3조 탈환…CET1 당국 권고치 12%대로",김은희,헤럴드경제,2025.02.07,"우리금융그룹이 지난해 3조860억원의 당기순이익을 달성했다. 2년 만의 3조원대 탈환이자 역대 2위 규모의 실적이다. 불확실한 대내외 경제 여건에도 이익 창출력을 확대하고 비용 관리에 적극적으로 나선 성과라는 평가다. 금융 건전성 지표인 보통주자본비율(CET1)은 원/달러 환율 급등에 따른 타격을 방어하며 금융당국의 권고치인 12%대로 다시 올라섰다. 우리금융은 2024년 비지배지분이익을 제외한 당기순이익이 3조860억원으로 전년 대비 23.1% 증가한 것으로 집계됐다고 7일 밝혔다. 우리금융의 역대 최대 당기순이익은 2022년 3조3240억원이다. 다만 지난해 4분기 기준으로는 당기순이익이 4261억원으로 직전 분기(9044억원) 대비 52.9% 줄었다. 그룹의 자기자본이익률(ROE)은 9.3%로 2023년 대비 1.0%포인트(p) 개선됐다. 순영업수익 10조4405억원 가운데 이자이익은 8조8863억원으로 2023년(8조7425억원) 대비 1.6% 증가하며 성장세를 이어갔다. 한국은행의 두 차례 기준금리 인하 등에도 중소기업 특화점포 신설, 국가첨단전략산업단지 중점 지원 등을 통해 기업대출 부문을 9.0% 증가시키며 자산 성장을 이끌어냈다. 비이자이익은 1조5541억원으로 전년 1조948억원 대비 41.9% 증가했다. 특히 자산관리(WM), 투자은행(IB) 등과 비은행 부문의 다각적인 영업 확대에 힘입어 수수료 이익이 전년 대비 21.3% 증가하며 순영업수익 내에서 차지하는 비중이 20% 수준까지 확대된 것으로 나타났다. 그룹 판매관리비용률은 42.8%으로 전년 대비 0.7%p 줄었다. 우리금융은 “증권사 출범과 디지털·정보기술(IT) 투자 확대 등 비용이 증가했음에도 꾸준한 비용효율화의 결실로 하향 안정세가 지속되고 있다”고 설명했다. 대손비용은 연간 1조7163억원이다. 4분기에도 비은행 자회사 프로젝트파이낸싱(PF) 대출 추가 충당금 적립 등 선제 조치를 통해 불확실성에 대비한 위험관리역량을 강화했다고 우리금융은 설명했다. 고정이하여신(NPL) 비율은 그룹이 0.57%, 은행이 0.23%로 전년 대비 증가했으나 NPL커버리지비율은 그룹과 은행이 각각 153.0%, 247.4%로 높은 수준을 유지했다. CET1은 지난해 12월 말 기준 12.08%를 기록했다. 4분기 원/달러 환율 150원 급등에 따라 약 40bp(1bp=0.01%p) 감소 영향이 있었으나 전사적인 위험가중자산 관리 노력에 힘입어 같은 해 9월 말 대비 13bp 상승했다. 이날 우리금융 이사회는 주당 660원의 결산 배당을 결의했다. 이로써 2024년 연간 배당금은 주당 1200원으로 역대 최대 규모다. 올해 자사주 매입·소각 규모는 전년 대비 약 10% 증가한 1500억원이라고 발표했다. 우리금융은 이날 밸류업(기업가치 제고) 계획의 지표별 이행 현황과 함께 ‘2025년 추가 추진방안’도 공시했다. 공시에 따르면 우리금융은 ▷비과세 배당을 통한 주주의 실질적 배당수익률 확대 ▷분기배당 선진화 절차 도입 등을 추진한다. 우리금융 관계자는 “앞으로도 다양한 주주친화정책을 발굴하고 적극 이행하겠다”면서 “올해를 자본비율 개선 원년으로 삼아 금융환경 변화에 적극 대응하고 자산리밸런싱을 통한 최적의 포트폴리오 구축, 내부통제 고도화 등에 박차를 가해 종합금융그룹으로 한 단계 도약할 것”이라고 전했다. 한편 우리금융은 이날 1000억원 규모의 만기 1년 6개월짜리 채권을 발행했다고 공시했다. 조달된 자금은 지주사 운영자금 등으로 쓰일 예정이다."
"경상원, 찾아가는 민생현장 간담회 개최",박정규,헤럴드경제,2025.02.07,"[헤럴드경제(수원)=박정규 기자]경기도시장상권진흥원은 6일 수원시 영동시장 이벤트홀에서 수원시 소재 전통시장 및 골목상권, 소상공인을 대상으로 찾아가는 사업설명회 및 간담회를 개최했다고 밝혔다. 이날 행사는 경기도의회 한원찬 의원을 비롯한 경상원 김민철 원장, 이충환 경기도상인연합회장, 이상백 소상공인연합회장, 수원시 전통시장 및 골목상권 상인회장 등 50여 명이 참석한 가운데 수원시에 위치한 소상공인을 대상으로 2025년 경상원 지원사업 안내, 현장 소통 및 사각지대 해소를 위해 진행되었다. 한원찬 의원은 “경기도에서 다양한 지원들을 하고 있지만, 실질적 체감을 느끼는 현장은 지원이 미비하고 매우 어려운 상황”이라며, “경기 살리기 통큰세일 100억 원 예산편성 등 경기도의회에서는 실질적 효과가 있는 지원사업들이 펼쳐질 수 있도록 함께 노력하겠다”고 인사말을 전했다. 이어 경상원 김민철 원장은 “도내 시군별 각각의 특성과 어려움이 다른 상황으로 31개 시군을 직접 다 찾아가 현장의 의견을 들을 계획”이라며, “올해 모집공고, 선정, 지원금 지급 등을 전년도 보다 빠르게 추진해 어려운 시기 지원이 빠르게 이루어질 수 있도록 예산 조기 집행을 위해 전력을 다하겠다”고 전했다. 실제 설명회에서는 2025년 전통시장 및 소상공인, 골목상권 지원사업의 사업내용, 모집절차, 개선사항 등을 안내하였으며, 이어진 간담회에 참석한 상인회장은 “골목상권 상인회를 만들어서 지원받고 운영하고 있는데 이후 골목형 상점가 지정을 준비하는데 어려움이 많아 지정요건을 완화시켜 주셨으면 좋겠다”는 현장에서 겪고 있는 고충들을 전했다. 올해 경상원은 경기도 소상공인의 단계별 지원과 전통시장 및 골목상권의 활성화에 이바지하고자 5개 분야 총 20종의 지원사업을 362억원의 규모로 편성하였으며 특히 ‘경기 살리기 통큰 세일’ 사업예산을 기존 40억 원에서 100억 원으로 확대 편성하여 경기도 지역경제에 활력을 불어넣고 소상공인의 자생력 회복에 큰 도움이 될 수 있기를 희망한다고 전했다. 경상원은 오는 10일 수원컨벤션센터 이벤트홀에서 경기 남부지역 통합설명회를 개최할 예정이며 평택시, 의왕시, 부천시, 안성시, 오산시 등 지역별 찾아가는 설명회를 개최할 예정이라 밝혔다."
"신한은행, 새 광고모델 차은우 공개",김벼리,헤럴드경제,2025.02.07,"신한은행은 7일 새 브랜드 광고모델로 가수 겸 배우 차은우를 공개했다고 밝혔다. 신한은행은 지난달 31일 소셜미디어를 통해 한 인물의 실루엣과 함께 ‘새로운 광고모델을 소개합니다’라는 내용의 영상을 선보였다. 일주일 만에 유튜브 조회수 15만 회, 인스타그램 좋아요 1만8000건 등을 기록했다. 많은 관심에 애초 예정일보다 먼저 공개했다고 신한은행측은 설명했다. 신한은행 관계자는 “장르와 분야를 넘나들며 멈추지 않는 도전으로 모든 세대로부터 좋은 평가를 받고 있는 차은우와 함께 성장과 혁신의 긍정 에너지를 전달할 계획”이라고 말했다. 우선 신한은행은 오는 11일 ‘SOL모임통장 서비스’ 출시에 맞춰 차은우와 함께 촬영한 영상 광고를 공개한다. 차은우는 ‘잘 모이기 위해 잘생긴 모임통장’ 콘셉트에 맞춰 가족·댕집사·테니스·와인모임에 참여하는 연기를 보여줄 예정이다. 이번 영상광고는 TV, 유튜브, OTT 등 디지털 플랫폼과 옥외 매체 등에서 볼 수 있다. 신한은행 관계자는 “이번 영상광고를 시작으로 차은우와 함께 고객관점에서 금융 편의성을 높인 다양한 상품 및 서비스를 알리며 긍정적인 브랜드 이미지를 구축해 나가겠다”고 말했다."
"한난,“주민 소통형’ 환경영향평가 공청회 개최",박정규,헤럴드경제,2025.02.07,"한국지역난방공사(사장 정용기)는 6일 수원사업소에서 지역 주민, 사업 관계자 등 30여명이 참석한 가운데 수원 친환경에너지 개선사업 환경영향평가서 초안에 대한 공청회를 개최했다고 밝혔다. 이번 공청회는 수원 친환경에너지 개선 사업의 성공적 수행을 위해 주민들과의 소통을 통한 공감대 형성과 의견수렴을 위해 마련됐다. 수원 친환경에너지 개선사업은 지역주민들의 친환경 고효율 연료로의 변경요구와 수원시의 대기환경 개선정책 동참 요청을 한난이 적극 반영하여 진행되는 사업이다. 한난은 이번 사업을 적기에 추진하여 전국 모든 사업장을 100% 청정연료로 전환하는 것을 목표로 한다. 환경영향평가 초안 보고서에 따르면 동 사업을 통해 대기오염물질 배출농도는 질소산화물 최대 67%, 황산화물 최대 99% 저감 되는 등 대기환경을 개선하는 것으로 나타났다. 향후 건설단계에서는 지역사회의 불편을 최소화하고, 지역 주민과의 실시간 소통을 최우선으로하여 쾌적하고 안전한 건설 환경을 조성할 예정이다. 특히 한난은 이번 공청회를 진행하며 ‘주민소통 라운지’를 설치하고 자유로운 분위기에서 사업 담당자와 참석 주민들이 소통할 수 있도록 하여 적극적인 주민의견 수렴의 의지를 보였다. 한난은 주민과 관계기관의 의견을 적극 반영하여 환경영향평가서 본안을 ’25년 상반기에 제출할 예정이며, 오는 8월 착공을 목표로 하고 있다. 정용기 한난 사장은 “이번 친환경 프로젝트는 쾌적한 대기환경 개선을 위해 수원시와 주민들의 요청으로 시행되고 있으며, 안정적인 에너지 공급과 대기환경 개선에 기여 할 예정”이라며, “관계기관, 주민들과의 적극적인 소통으로 현장 의견을 신속하게 반영할 수 있도록 노력하겠다”라고 덧붙였다."
"현대그린푸드, 단체급식사업 호조에 전년 영업이익 49.1%↑",정석준,헤럴드경제,2025.02.07,현대그린푸드가 지난해 단체급식사업 호조로 영업이익이 증가했다. 현대그린푸는 지난해 연결기준 영업이익이 966억원으로 전년대비 49.1% 증가했다고 7일 공시했다. 같은 기간 매출액은 2조2704억원으로 24.3% 늘어난 것으로 나타났다. 당기순이익은 744억원으로 89.3% 증가한 것으로 집계됐다. 현대그린푸드 관계자는 “주력 사업인 단체급식사업 호조로 지난해 매출과 영업이익이 역대 최대 실적을 기록했다“며 ”다만 통상임금 관련 대법원 판결에 따른 추정 부담금 반영으로 4분기 이익이 일시적으로 감소했다“고 말했다.
"CJ프레시웨이, 지난해 매출 3조원 넘어서…식자재 유통·푸드서비스 성장",정석준,헤럴드경제,2025.02.07,"CJ프레시웨이가 지난해 매출 3조2248억원으로 전년 대비 4.9% 증가했다. CJ프레시웨이는 지난해 영업이익이 전년보다 5.3% 감소한 940억원을 기록했다고 공시했다. 영업이익은 고물가, 고금리 등 내수 경기 부진과 소비 심리 위축 영향으로 소폭 감소했다. 식자재 유통사업 매출은 2조3931억원으로 집계됐다. 특히 급식시설 대상 식자재 매출이 지속적인 성장세를 보였다. 고령화 시대를 맞아 노인 복지·요양시설 등 공급처와 물량이 동시에 늘어났다. 외식업체 대상 식자재 매출은 노모어피자, 세광양대창, 슬로우캘리 등 대형 프랜차이즈 브랜드들을 수주하며 견고한 실적을 유지했다. 푸드 서비스(단체급식) 매출은 사업 호조에 힘입어 7781억원을 달성했다. 오피스, 산업체 등 구내식당 수요가 커지면서 관련 매출이 상승한 것으로 나타났다. 다양한 고객 취향에 따라 테이크아웃 코너, 사내 카페 등 부가 서비스 매출도 증가했다. 제조사업 매출은 536억원이다. 자회사 ‘프레시플러스’는 식품 및 유통기업에 소스, 시즈닝 등 여러 식자재들을 공급하고, R&D센터는 고객 맞춤형 상품을 개발하는 등 사업 안정화에 힘썼다. 지난해에는 충북 음성 소재 소스 전문 공장이 본격적인 가동에 돌입하기도 했다. CJ프레시웨이는 수익성 강화를 위해 상품·물류 등 근원적 경쟁력을 제고하는 한편, 신시장 창출 가속화에 집중할 계획이다. PB(자체브랜드) 등 차별화 상품 비중을 늘리고 세분화된 고객 니즈에 따라 물류 서비스를 다각화하는 등 사업 역량을 한층 고도화한다. 또한 외부 플랫폼 연계 통한 고객 접점 극대화, 급식시장 세분화 및 신경로 개척 등에도 박차를 가할 방침이다. 임성철 CJ프레시웨이 최고재무책임자(CFO)는 “경기 불확실성이 커지는 가운데, 수익성 중심의 내실경영 전략을 펼치고 미래 성장 동력을 발굴하는 한편, 재무구조 개선 등 펀더멘탈 강화에도 힘써 시장 산업화에 앞장설 것”이라고 말했다."
"IMF의 경고 “韓경제 하방리스크 우세…정치, 금융시장까지 뒤흔들 수”",양영경,헤럴드경제,2025.02.07,"국제통화기금(IMF)이 올해 한국경제에 대해 불확실성이 높으며 하방 리스크가 우세하다는 평가를 내놨다. 특히 정치적 불확실성이 장기화하면 투자·소비 심리에 악영향을 미치고 금융시장 변동성을 확대시킬 수 있다고 경고했다. IMF는 7일 이 같은 내용이 담긴 ‘2024년 한국 연례협의 보고서’를 발표했다. 이번 보고서는 IMF 한국 미션단이 지난해 11월 7~20일 한국을 찾아 주요 정부부처와 관계기관과 실시한 연례협의를 바탕으로 작성됐다. IMF는 매년 회원국의 거시경제·재정·금융 등 경제상황 전반을 점검하고 필요한 정책을 권고하는 보고서를 내놓는다. IMF는 “2025년 한국 경제는 불확실성이 높은 상황”이라며 “하방 리스크가 우세하다”고 평가했다. 주요 하방 리스크 요인으로는 ▷정치적 불확실성 지속 ▷ 미국 신정부 정책 변화 ▷반도체 수요 약세 ▷주요 무역 상대국 경기 부진 ▷지정학적 분쟁 심화 등을 지목했다. 특히 정치적 불확실성 장기화는 투자·소비 심리에 부정적인 영향을 미치고 금융시장 변동성을 키울 수 있다고 봤다. 올해 경제 성장률 전망치는 잠재 성장률 수준인 2.0%를 제시했다. 견조한 수출과 민간 소비, 투자의 완만한 회복이 나타날 것으로 예상했다. 이는 IMF가 지난 1월 세계경제전망(WEO)에서 내놓은 수치와 동일하다. 지난해 경제 성장률(2.0%)에 대해서는 반도체 수출 호조 등의 영향으로 1.4% 성장에 그친 전년에 비해 회복세를 보였다고 평가했다. 인플레이션(물가 상승)은 지난해 2.4%에서 올해는 물가 안정목표(2.0%)에 도달할 것으로 내다봤다. 지난해 국내총생산(GDP) 대비 4.2% 수준으로 확대됐던 경상수지 흑자 규모는 소비 회복에 따른 수입 증가 영향 등으로 올해 3.6% 수준을 기록할 것으로 예측했다. IMF는 정책 대응 방향과 관련해 ▷점진적 통화정책 정상화 ▷건전재정 기조 지속 ▷구조개혁의 필요성을 강조했다. 여전히 높은 기대 인플레이션과 금융안정 위험 요인 등을 고려해 점진적 통화정책 정상화를 권고했다. 이런 측면에서 한국의 통화정책은 적절하게 추진되고 있다고 봤다. 한국 정부의 건전재정 노력을 환영한다면서도, 고령화에 따른 미래 지출 압력 대응을 위해 보다 적극적인 건전재정 노력이 필요하다고 언급했다. 다만, 하방 리스크 현실화로 성장이 둔화하고 목표 수준 이하의 물가 하락이 발생하면 보다 완화적인 통화정책과 취약계층에 대한 추가 재정 지원이 고려될 수 있다고도 덧붙였다. 한국의 외환보유액에 대해서는 외부 충격에 충분히 대응 가능한 수준이라고 분석했다. GDP 대비 43.9% 수준인 순대외금융자산(NIIP)도 대외 건전성을 지지하는 중요한 요소라고 짚었다. 주택시장과 프로젝트파이낸싱(PF) 등 금융부문도 잠재적 불안요인이 있으나, 관리 가능한 수준이라고 판단했다. 총부채원리금상환비율(DSR) 강화 등 가계부채 관리, 주택 공급 확대, PF 연착륙 방안에 대해서는 긍정적으로 봤다. 기업 밸류업(가치제고)과 외환시장 구조개선 정책에 대해서는 주식시장의 효율성을 제고하고 외환시장 선진화에 기여했다고 평가했다. 지난 2022년 10월과 지난해 12월 시행한 시장 안정화 조치는 급격한 시장 혼란을 방지하는 데 도움이 됐으나, 시장이 정상화하면 바로 종료해야 한다고 권고했다. IMF는 지속 가능한 성장과 미래 도전요인 대응을 위해 구조개혁 노력도 중요하다고 언급했다. 주거·교육·육아 부담 완화를 통한 출산율 제고와 여성 경제활동 참여 확대, 우수 외국인력 활용 등을 통해 인구구조 변화에 따른 생산가능인구 감소에 대응해야 한다고 제언했다. 이 밖에 중소기업·서비스 부문 규제 개선과 인공지능(AI) 활용 확대를 통한 생산성 제고, 연금개혁, 재정준칙 도입, 세입 확충, 지출 효율화, 기후 변화 대응 노력 강화 등도 거론했다."
