article_name,journalist,publisher,date,article
‘딥시크 충격’ 외국인 코스피 1.2조 던졌다…SK하이닉스 10% 급락,김도년,중앙일보,2025.01.31,"‘딥시크(DeepSeek) 쇼크’, 미국 기준금리 동결 등 세계 증시를 강타한 주요 사건은 설 연휴가 한국 증시에 남긴 밀린 숙제였다. 연휴가 끝난 직후인 31일 코스피는 외국인의 거침없는 매도 행진에 하락했고, SK하이닉스·HD현대일렉트릭 등 인공지능(AI) 공급망과 얽힌 국내 상장 종목 주가는 급락했다. 한국거래소에 따르면 이날 코스피는 전 거래일 대비 0.77% 하락한 2517.37에 장을 마감했다. 주가 하락은 외국인이 주도했다. 개인과 기관은 각각 9620억원, 1974억원어치씩 주식을 사들였지만, 외국인은 1조2340억원어치를 팔아치웠다. 이날 주가 하락은 예견된 일이었다. 미국 증시는 이미 지난 27일(현지시간) ‘AI판 스푸트니크 쇼크’라 불리는 중국산 저가형 생성 AI 딥시크의 출현과 함께 크게 흔들렸다. (나스닥 3.1%, 스탠더드앤드푸어스(S&P) 500 1.5% 하락) 스푸트니크 쇼크란 1957년 옛 소련이 세계 최초의 인공위성(스푸트니크 1호) 발사에 성공하면서 미국에 강한 충격을 준 사건을 의미한다. 미국 AI 시장의 충격은 곧바로 한국 증시에도 악재로 작용한다. 미국 AI 시장 의존도가 높은 삼성전자·SK하이닉스 등 반도체 업종이 코스피 시가총액의 약 30%에 육박하기 때문이다. 이재원 신한투자증권 연구원은 “이날 코스피는 설 연휴 동안 있었던 딥시크 쇼크를 반영했다”며 “반도체뿐만 아니라 전력기기·전선 등 AI 공급망 전반의 주가 약세로 이어지면서 코스피 지수 전반을 끌어내렸다”고 평가했다. 다만, 딥시크 충격이 모든 종목에 악재로 작용한 건 아니었다. SK하이닉스(-9.9%)·삼성전자(-2.4%) 등 반도체 관련주와 HD현대일렉트릭(-7.9%)·LS일렉트릭(-8.2%) 등 AI 전력주는 하락했지만, 네이버(6.1%)·카카오(7.3%) 등 AI 소프트웨어 관련주 주가는 상승했다. 생성AI 기술을 저렴하게 이용할 수 있게 되면 소프트웨어 기업의 수익성이 좋아질 수 있다는 예측에서다. 미국 연방준비제도(Fed)의 기준금리 동결(현지시간 29일) 여파도 이날 증시에 악재로 작용했다. 김지나 유진투자증권 연구원은 “파월 Fed 의장은 금리 인하를 서두를 필요가 없다고 밝혔다”며 “길면 올 상반기 내내 금리 동결 가능성이 커진다고 볼 수 있는 대목”이라고 진단했다. 증시 전문가들은 딥시크 쇼크, 금리 동결 등으로 국내 증시가 단기적으로는 하락세를 보이겠지만, 지나친 비관주의는 경계해야 한다고 강조한다. 박승영 한화투자증권 연구원은 “딥시크 침투로 AI가 범용화하는 것은 증시 전반에 긍정적이지 않지만, 지나치게 부정적인 시각으로 급선회하는 것은 위험하다”며 “마이크로소프트·아마존·알파벳 등 미국 빅테크 기업이 투자를 줄일지를 예측하는 것은 불가능하기 때문에 모든 가능성을 열어둬야 할 것”이라고 분석했다. 한편 이날 코스닥도 0.06%하락한 728.29에 마감했다. 코스닥 시장에서도 HPSP(-7.6%)·이오테크닉스(-9.4%)·파크시스템스(-3.5%)·주성엔지니어링(-4.1%) 등 반도체 관련주의 약세가 두드러졌다."
"美 지난해 2.8% 성장, 올해는 '트럼프 리스크'에 2%대 초반 전망",김경희,중앙일보,2025.01.31,"지난해 미국 경제가 2.8% 성장했다. 경기 침체 우려가 커진 다른 선진국은 물론 2% 턱걸이 성장한 한국과도 대비된다. 올해는 ‘트럼프 리스크’로 미국 경제의 질주가 주춤하긴 하겠지만 2%대 성장률 달성은 무난하다는 전망이 나온다. 30일(현지 시간) 미국 상무부는 지난해 연간 국내총생산(GDP) 증가율(속보치)이 2.8%로 집계됐다고 밝혔다. 2020년 코로나19팬데믹 이후 주요 선진국은 경기 침체의 늪에서 빠져나오지 못하고 있지만, 미국 경제는 다르다. 2022년 2.5%, 2023년 2.9%에 이어 3년 연속 2% 중후반대 성장률을 달성하며 전 세계에 건재함을 과시했다. 미 GDP의 약 3분의 2를 차지하는 개인 소비가 성장동력 역할을 톡톡히 해냈다. 고용시장 활황에 힘입어 지난해 4분기 개인 소비는 4.2%(전기 대비, 연율) 증가했다. 3분기(3.7%)보다 증가 폭이 커진 데다 2023년 1분기 이후 가장 많이 늘었다. 자동차 등 재화(5.6%→6.6%)와 헬스케어 등 서비스(2.8% → 3.1%) 소비 모두 상승 폭을 확대하며 성장률을 끌어 올렸다. 다만 미국의 지난해 4분기 GDP 성장률은 연율 기준 2.3%로 전 분기(3.1%)보다 둔화했다. 시장 전망치(2.6%~2.7%)도 하회했다. 소비가 크게 늘긴 했지만, 기업 투자와 정부 지출 증가 폭이 줄어든 영향으로 분석된다. 올해 미국 경제도 지난해보다 성장 속도나 폭이 둔화할 거란 전망이 우세하다. 지난해 12월 Fed는 올해 성장률 전망치를 2.1%로 기존(2%)보다 소폭 높였다. 83개 투자은행의 올해 성장률 전망치 중간값도 지난달 19일 기준 2.1%다. 씨티는 “향후 노동시장이 둔화하며 민간 소비가 다소 주춤할 것”이라면서 “초과 저축도 줄어들며 올해 미국 경제는 강한 모습을 보이지 못할 것”이라고 전망했다. 시장은 올해 가장 큰 정책적 리스크로 트럼프 2기 행정부의 고관세 정책을 꼽고 있다. 보편관세를 포함한 트럼프의 관세 공약이 100% 실현된다면 미국 성장과 물가에 큰 충격을 줄 수 있다. 이에 트럼프 정부가 시장 반응을 보면서 관세 정책을 공약보다 완화할 가능성이 크며, 협상용 카드로 적극 활용할 거란 관측이 나온다. 물가는 여전히 상승세다. 지난해 4분기 개인소비지출(PCE) 가격지수는 1년 전보다 2.3% 올랐다. 지난해 3분기(1.5%)보다 높았다. PCE 가격지수는 미 연방준비제도(Fed)가 기준금리를 결정할 때 중요하게 보는 물가지표다. 에너지ㆍ식품 등 변동성이 큰 항목을 제외한 근원 PCE 가격지수 역시 지난해 4분기 상승률은 2.5%(전년 대비)로, 지난해 3분기 2.2%를 웃돌았다. Fed는 예고한 대로 신중한 통화완화 기조를 유지할 것으로 보인다. 제롬 파월 Fed 의장은 지난 29일(현지시간) 금리 동결 결정 후 기자회견에서 현재 금리 수준(연 4.25~4.5%)에 대해 “정책과 경제가 정말 좋은 상태에 놓여 있어 (통화정책) 조정을 위해 서두를 필요가 없다”고 밝혔다. 지난해 4분기 성장률(2.3%)은 시장 기대보단 낮았지만 1년 전 Fed의 전망치보다 대략 1%포인트 높은 수준이다."
새해 이어진 최악 건설 경기…1월에만 업체 58곳 간판 내렸다,김태윤,중앙일보,2025.01.31,"건설 경기 부진이 이어지면서 연초부터 문을 닫는 건설업체가 늘고 있다. 31일 건설산업지식정보시스템(KISCON)에 따르면 이달 폐업 신고한 종합건설사는 58곳이다. 1월 기준으로 2011년(60곳) 이후 최대치다. 전월(40곳)과 비교하면 45% 늘었다. 이번 설날 연휴가 길었던 점을 고려하면 실제 폐업 신고 업체는 더 많았을 수 있다. 새해 첫 달에 폐업한 종합건설사는 2021년 20곳에서 2022년 31곳, 2023년 31곳, 지난해 40곳으로 증가했다. 지난해엔 종합건설업체 641곳이 간판을 내렸다. 2005년(629건) 이후 가장 많았다. 2021년(305건)과 비교하면 배 이상 늘었다. 보유 업종 중 일부만 폐업하거나 업종을 전문건설업으로 바꾼 경우도 있었지만, 대부분 폐업 사유는 ‘사업 포기’ ‘회사 도산’이었다. 부도를 낸 건설사도 증가하고 있다. 지난해 12월 전북지역 4위 건설업체인 제일건설이 최종 부도 처리됐고, 앞선 10월엔 시온건설개발(경남), 우일건설(경북), 한호건설(광주)이 부도를 냈다. 국토교통부에 따르면 지난해 부도 처리된 건설사는 30곳으로 2019년(49곳) 이후 가장 많았다. 기업회생(법정관리)이나 기업재무구조개선(워크아웃)을 신청하는 건설사도 줄을 잇고 있다. 지난 19일엔 경남 김해에 본사를 둔 대저건설(시공능력평가 103위)이 워크아웃을 신청했다. 한 건설업계 관계자는 “대저건설은 경남권 2위 업체고 부채 위험도 낮은 곳이어서 업계가 받은 충격이 작지 않았다”고 전했다. 실제로 대저건설의 2023년 말 기준 부채 비율은 115%, 차입금 의존도는 15%로 비교적 양호한 수준이었다(한국신용평가). 하지만 미분양과 공사 미수금 적체로 인한 자금난을 견디지 못했다. 앞서 올 초엔 시공능력 58위인 신동아건설이 워크아웃을 신청했고, 지난해 말엔 신태양건설(105위)이 법정관리를 신청했다. 건설업계에선 올해 폐업·부도 업체가 더 늘어날 것으로 본다. 건설 경기가 호전될 모멘텀(동력)이 보이지 않기 때문이다. 수익성 악화가 누적되면서 임계치에 도달한 건설사도 적지 않다. 특히 시공능력 50위권 이내인 대형·중견업체에서 신용·재무 위험이 발생할 경우 부동산 프로젝트 파이낸싱(PF)을 비롯해 건설·금융업계 전반으로 화염이 번질 수 있다. 박선구 대한건설정책연구원 연구위원은 “물량 감소, 경쟁 심화, 이익률 저하 등으로 대다수 건설기업이 상당히 어려운 시기를 보내고 있다”며 “올 하반기 또는 내년 상반기에 회복 국면을 기대하지만 의미 있는 물량 증가는 어려울 것”이라고 내다봤다."
"LH, 3기 신도시 고양 창릉 본청약 시작…일반공급 391가구",정재홍,중앙일보,2025.01.31,"한국토지주택공사(LH)는 3기 신도시 고양창릉 3개 블록(A4, S5, S6)에 대한 본청약을 시작한다고 31일 밝혔다고 연합뉴스가 전했다. 이는 경기도 고양시 덕양구 원흥동, 동산동, 용두동 일대에 789만㎡ 규모로 조성되는 3기 신도시 사업이다. 공급 물량 총 1천792가구 중 사전 청약 물량을 제외한 일반 청약 물량은 391가구다. 우선 A4 블록은 신혼희망타운 603가구 중 사전 청약을 제외한 186가구가 일반 청약 물량으로 나왔다. 모든 가구가 전용 면적 55㎡로 구성돼 있으며 분양가는 평균 약 5억5천만원으로 책정됐다. 신혼희망타운이라는 특성에 맞게 단지 안에 어린이집, 다함께돌봄센터, 공동육아 나눔터 등 육아 친화적인 시설들도 지어진다. S5블록은 759가구 중 126가구가 일반 청약을 받는다. 전용 면적 51㎡, 59㎡, 74㎡, 84㎡의 4개 평형으로 구성됐다. 분양가는 평형에 따라 4억8천만원부터 7억7천만원까지로 형성됐다. 전용 면적 59㎡, 74㎡로 구성된 S6 블록은 총 430가구 중 79가구가 일반 청약을 받는다. 분양가는 5억7천만원 ∼ 7억1천만원이다. 이번에 공급되는 3개 블록 모두 스마트 우편함, 무인택배, 인공지능(AI) 주차유도시스템 등 최신 편의시설을 갖췄다. 분양가도 인근 단지에 비해 저렴하고 지난 2021년 12월 사전청약 당시 최고 경쟁률이 165대 1에 이를 정도로 입주 수요가 높았다고 LH는 설명했다. 견본 주택은 고양시 킨텍스 제2전시장에 마련됐으며, 사이버 견본주택(www.lh-gycr.co.kr)을 통해서도 둘러볼 수 있다. 청약 접수는 다음 달 17일 사전청약 당첨자를 대상으로 먼저 시작한다. 입주는 A4블록 2027년 12월, S5·S6블록 2028년 1월 예정이다. 자세한 내용은 LH청약플러스(apply.lh.or.kr)나 유선 문의(☎ 1551-5711)를 통해 알 수 있다."
전기차 보조금 확 줄였더니…'무이자 할부'로 대응한 테슬라,김효성,중앙일보,2025.01.31,"테슬라가 올해 국내 전기차 국고보조금이 대폭 줄어든 ‘모델3’에 대해 최근 무이자 할부 프로모션을 시작했다. 자동차 업계에서는 보조금 삭감에 따라 구매 심리가 위축될까 우려한 테슬라가 대응에 나섰다는 해석이 나온다. 테슬라코리아는 지난 24일부터 3월 31일까지 소비자에 인도되는 모델3(RWD, 롱레인지, 퍼포먼스)에 대해 ‘제로-2025년’이라는 이름의 프로모션을 적용한다. 최대 60개월(3300만원 한도)까지 카드사 무이자 할부로 구매할 수 있는 내용이다. 이 프로모션을 이용해 구매시, 수백만 원의 이자 비용을 아낄 수 있다고 업계는 보고 있다. 예컨대 모델3 롱레인지 판매가(5999만원)의 절반인 3000만원을 60개월 할부로 카드결제할 경우 이자만 346만원(이자율 4%)을 내야 하는데, 테슬라 무이자 할부 적용시 이자를 낼 필요 없어 사실상 차값할인이나 다름없다는 것이다. 테슬라코리아가 연초부터 프로모션을 시작한 것은 테슬라 차종의 올해 전기차 국고보조금이 크게 줄어든 것과 무관치 않다. 환경부에 따르면 모델3 RWD의 올해 국고보조금은 183만원으로 지난해 226만원보다 19%(43만원) 줄었다. 반면에 모델3의 경쟁차종인 기아 EV6(2WD 롱레인지 19인치)는 610만원, 현대 아이오닉5(2WD 롱레인지 20인치)는 605만원의 국고보조금이 책정됐다. 테슬라 차종의 전기차 보조금이 국내 완성차의 3분의 1에 불과한 셈이다. 테슬라 차종의 보조금이 줄어든 것은 강화된 환경부 기준을 국내 완성차보다 덜 충족해서다. 이호근 대덕대 미래자동차학과 교수는 “국내완성차에 비해 테슬라의 보조금 경쟁력이 낮은 상황에서 중국 비야디(BYD) 전기차까지 국내에 출시되자 비교적 저렴한 모델3부터 프로모션에 돌입한 것”이라며 “예비 수요를 미리 끌어오기 위한 탄력적인 대응으로 분석된다”고 말했다. 테슬라는 지난해 10~11월 모델Y에 대한 무이자 프로모션을 진행했는데 그 결과 지난해 10월 951대였던 모델Y 판매 대수는 11월 3048대로 한 달만에 220.5% 늘었다. 가격할인 없이 무이자 할부만으로도 판매 증대가 입증되자 이를 모델3에도 적용했다는 것이다. 다만 최근 국내에서 사전 판매가 시작된 모델Y 신형(주니퍼)은 가격 문제로 뒷말을 낳고 있다. 모델Y 신형의 국내 판매가는 7300만원으로 책정됐는데, 이는 일본(6650만원), 중국(6480만원)보다 각각 650만원, 820만원 비싸다. 업계 관계자는 “소비자 입장에선 가격 차별로 여겨질 것”이라고 우려했다."
지난해 한국 찾은 관광객 1637만명…해외로 나간 사람은 2869만명,이승녕,중앙일보,2025.01.31,"지난해 한국을 찾은 관광객이 1637만명으로 집계됐다. 반면, 해외로 나간 한국인은 2869만명에 달했다. 한국관광공사는 지난해 방한 외국인 수가 전년보다 48.4% 증가했으며, 코로나19 이전인 2019년의 94% 수준을 회복했다고 31일 밝혔다. 방한 외국인 관광객은 코로나19 여파로 2019년 1750만명에서 2020년 252만명으로 급감한 데 이어 2021년 97만명까지 줄었다. 이후 2022년 320만명으로 회복한 뒤 2023년 1103만명으로 늘어나면서 다시 1000만명을 돌파했다. 작년 방한 관광객을 국가별로 보면 중국이 460만명으로 가장 많았고 일본(322만명), 대만(147만명), 미국(132만명) 등의 순이다. 지난해 12월 한국을 찾은 외국인 관광객은 127만명으로 전년 12월보다 22.6% 늘어나 2019년의 87% 수준을 회복했다. 한편 작년 해외로 나간 누적 인원은 2869만명으로 2019년 수준을 회복했다. 지난해 12월 한 달간 해외로 나간 우리 국민은 272만명으로 전년 같은 달보다 12.4% 증가했다. 이는 2019년 같은 달보다도 16% 많은 수치다."
'딥시크 쇼크' 국내 반도체주 줄줄이 급락…하이닉스 장중 -9%,심서현,중앙일보,2025.01.31,"31일 SK하이닉스와 한미반도체 등 ‘엔비디아 진영’으로 분류되는 국내 반도체 업체 주가가 줄줄이 하락하고 있다. 중국 인공지능(AI) 스타트업 딥시크가 내놓은 추론 AI 모델 딥시크-R1 성능의 충격으로, 미국 나스닥에서 엔비디아 주가가 지난 3일간 13% 하락했는데, 설 연휴가 끝나고 이 영향을 국내 반도체 주가가 몰아서 받는 양상이다. 엔비디아의 최신 5세대 고대역폭메모리(HBM3E)의 1차 공급사인 SK하이닉스는 개장 후 주가가 9% 이상 하락했고, HBM용 본더 장비를 SK하이닉스와 마이크론에 공급하는 한미반도체 주가는 6% 이상 하락하고 있다. 이외에 장비 업체인 이오테크닉스(-11%)와 파크시스템스(-3%), TSMC 진영 디자인하우스인에이직랜드(-6%)도 하락세다. 이날 반도체 부문 영업이익이 3조원에 미치지 못하는 등 부진한 24년도 4분기 실적을 발표한 삼성전자 주가는 2% 하락세다. 블룸버그는 이날 “삼성전자의 8단 HBM3E가 엔비디아에 납품 승인을 받았다”고 보도했다. 엔비디아의 현재 주력 그래픽처리장치(GPU)에는 12단 HBM3E가 들어가고 8단 HBM3E는 중국 수출용 GPU에 들어가는데, 거기에 삼성전자 제품을 공급하게 된다는 것. 그러나 삼성전자는 “확인 불가” 입장을 고수하고 있다. 이날 2024년도 4분기 실적발표 후 콘퍼런스 콜에서 회사는 “일부 고객사에 HBM3E 개선 제품을 1분기 말부터 양산 공급할 예정이며, 가시적 공급 증가는 2분기에 본격화될 전망”이라고 말했다. 회사는 지난해 10월 “HBM3E 8단과 12단 제품을 모두 양산해 판매하고 있다”면서도 “주요 고객사 차세대 GPU에 최적화된 HBM3E 개선 제품을 준비 중”이라고 밝혔는데, 엔비디아를 겨냥한 것으로 풀이됐다. 이날 삼성전자의 발언을 종합하면 아직 엔비디아에 HBM3E 공급이 본격화되지는 않은 것으로 보인다. 이날 삼성전자는 “다수의 GPU 공급사와 데이터센터 고객으로 HBM3E 공급을 확대했고, HBM3E 매출이 (직전 세대 제품인) HBM3 매출을 넘어섰다”라면서 “지난 4분기 전체 HBM 매출은 전 분기 대비 1.9배 성장했다”고 밝혔다. 삼성은 어느 지역 고객사에 납품했는지 정보는 공개하지 않은 채 “HBM 및 고용량 DDR5의 판매 확대를 통해 역대 최대 4분기 메모리 매출을 달성했다”고만 밝혔다."
"“삼성 HBM3E 8단, 엔비디아 공급 승인 받았다…1년 고군분투 결실”",배재성,중앙일보,2025.01.31,삼성전자가 5세대 고대역폭메모리(HBM) HBM3E 8단 제품을 엔비디아에 납품했다고 블룸버그통신이 31일(현지시간) 보도했다. 블룸버그통신은 소식통을 인용해 “삼성전자가 지난해 12월 엔비디아로부터 HBM3E 8단 공급 허가를 받았다”며 “삼성은 중국 시장을 위해 맞춤화된 엔비디아의 AI 프로세스의 특수 버전에 해당 칩을 공급하고 있다”고 전했다. 그러면서 “비록 규모는 작지만 삼성전자가 엔비디아로부터 HBM3E 칩에 대한 승인을 얻기 위해 1년 동안 고군분투한 끝에 나온 진전”이라고 블룸버그는 평가했다. 한편 SK하이닉스는 지난해 3월 엔비디아의 HBM3E 8단 인증을 획득했다. 미국 마이크론도 2024년 하반기 HBM3E 8단 인증을 받은 것으로 전해졌다.
8만5000원 내면 12만원 준다…소비자 지갑 열게 한 묘책들,김경미,중앙일보,2025.01.31,"내수 침체가 장기화하는 가운데 범정부 차원의 경기 활성화 대책이 이어지고 있다. 중소벤처기업부는 전통시장 수요를 늘리기 위해 온누리상품권의 할인 폭을 키우고 소상공인 소비축제를 확대하는 등 내수 소비 진작에 나섰다. 중기부는 전통시장, 골목형 상점가, 백년소상공인 점포 등을 이용하는 소비자를 위해 다음달 10일까지 디지털 온누리상품권 할인율을 기존 10%에서 15%로 상향했다. 종이 상품권(지류)이 아닌 카드·모바일형(디지털)에 한해 8만5000원을 내면 10만원 어치를 충전해준다. 행사 기간에 디지털 온누리상품권을 사용하면 결제액의 최대 15%(회차별 인당 2만원 한도)를 환급해준다. 온누리시장, 땡겨요 등 12개 온라인 전통시장관에서 디지털 온누리상품권을 사용하면 5% 할인쿠폰도 적용된다. 단, 환급·온라인 할인쿠폰은 개인정보와 마케팅정보 수집·이용에 동의해야 쓸 수 있다. 오는 3·5·9·12월에는 2만 여 중소기업·소상공인이 참여하는 소비 촉진 캠페인 ‘동행축제’를 개최한다. 지난 2020년부터 매년 1~3회 실시했던 행사를 올해는 4회로 늘린다. 회차별 주제를 달리해 3월에 열리는 1회는 온라인 판매, 2회(5월)는 지역 축제 연계, 3회(9월)와 4회(12월)는 각각 글로벌·나눔 행사로 진행한다. 동행축제 기간에는 지역 축제와 전통시장, 골목상권과 연계해 키즈마켓데이, 별별야시장 등에서 우수 상품을 홍보·판매할 예정이다. 중기부 산하 기관이 운영하는 공영홈쇼핑, 행복한백화점 등에서는 제품 가격을 50~80% 할인 판매하는 특가 행사를 한다. 이정훈 중기부 소상공인판매활력촉진단장은 “대규모 소비 행사인 동행축제를 통해 내수 시장에 온기가 확산되도록 노력하겠다”고 밝혔다. 중기부는 중소 기업의 매출을 늘리고 간접 수출 경험을 확대하기 위해 전용 면세점도 늘려가고 있다. 지난 2021년 중기 전용 면세점 3곳을 개소해 입점 비용을 면제하고 민간 면세점 대비 절반 수준의 수수료율(23%)을 적용하고 있다. 향후 정부는 중기 전용 면세점을 6개로 늘려 입점 기업을 기존 900개에서 1800개로 확대할 계획이다. 이같은 정부의 내수 진작 정책은 자영업자와 소상공인들로부터 좋은 반응을 얻고 있다. 한국국제경제학회 등에 따르면 전통시장과 상점가에서는 온누리상품권 발행액 이상의 추가 소비가 이뤄지고 있는 것으로 조사됐다. 온누리상품권을 이용하는 소비자들은 상품권 구매 금액의 약 24.9%를 추가 소비하는 것으로 추정된다."
"""딥시크, 내가 말한 대로야"" 주가 17% 폭락 엔비디아의 찬사, 왜 [딥시크 쇼크]",심서현,중앙일보,2025.01.31,"중국 딥시크 충격으로 엔비디아 주가가 급락했는데, 정작 엔비디아의 반응이 묘하다. 젠슨 황 최고경영자(CEO)가 강조한 ‘훈련에서 추론으로’의 완벽한 예를 딥시크가 보여줬다며 찬사를 보냈다. 인공지능(AI) 반도체 시장이 AI 모델을 최적화해 서비스하는 추론용 칩으로 확대되면서, 현재 각광받는 최신 고대역폭메모리(HBM) 외에 구형 HBM과 GDDR7의 수요 또한 증가할 거라는 전망도 나온다. 중국 AI 기업 딥시크가 지난 20일 공개한 추론용 AI 모델 ‘R1’이 ‘싸고 성능 좋은 AI’로 입소문을 타자 지난 27일 엔비디아 주가는 17% 급락했다. AI 모델 성능을 높이기 위해 비싼 엔비디아 그래픽처리장치(GPU) 대규모로 사들일 필요가 없는 건가, 하는 회의에서였다. 외신에 따르면 메타는 딥시크 경쟁력을 분석하기 위해 워룸(작전실)을 가동하기 시작했고, 오픈AI는 자사 AI 모델 답변에 딥시크 훈련에 무단 사용됐는지 조사에 나섰다. 그러나 엔비디아의 반응은 사뭇 달랐다. 이날 엔비디아 대변인은 CNBC에 “딥시크는 탁월한 AI의 성과이자, ‘테스트 시간 확장 법칙’의 완벽한 예”라고 찬사를 보냈다. 테스트 시간 확장(Test-time scaling)이란, 지난 6일 젠슨 황 CEO가 CES 2025 기조연설에서 강조한 AI의 3번째 발전 법칙이다. 대량의 데이터와 GPU로 AI를 사전 훈련하는 게 첫 번째 단계, 사후 학습으로 특정 분야 성능을 끌어올리는 게 두 번째라면, 그 다음은 AI가 주어진 과제를 단계별로 나눠 난이도에 따라 필요한 자원을 유동적으로 할당하면서 문제를 처리하는 단계다. 쉬운 업무에는 최소한의 연산 자원을 쓰고 보다 복잡한 연산에 더 많은 자원을 투입하는 식의 판단을 AI가 스스로 내리기에, 어려운 문제도 효율적으로 처리할 수 있다는 것. 이를테면 대학에서 보편적 지식을 습득하는 게 사전 훈련, 이후 취업을 위해 특정 분야 지식을 추가하는 게 사후 학습이라면, 테스트 시간 확장은 직장에서 실무에 부딪혀가며 일머리가 늘어나는 격이다. 황 CEO는 테스트 시간 확장 법칙을 통해 AI의 문제 해결(추론) 능력이 빠르게 향상되고 AI 비서가 대중화될 거라며 “엔비디아 컴퓨팅에 대한 막대한 수요를 견인하고 있다”라고 주장했다. 이제까지 추론용 AI는 오픈AI의 o1 모델이 가장 유명했지만, 오픈소스로 제공되지 않았고 기술도 감췄다. 그런데 딥시크가 추론용 R1 모델을 오픈소스로 공개하면서 후속 연구가 활발해질 전망이다. 딥시크의 주요 차별화 요소는 소프트웨어와 하드웨어의 최적화로 꼽힌다. AI 모델을 훈련할 때 일반적으로 사용하는 것보다 덜 정밀한 방식(8비트 부동소수점 혼합)을 사용하되, 알고리즘과 하드웨어를 최적화해 이를 보완했다는 것. 일론 머스크 등은 딥시크가 미리 쟁여둔 엔비디아 고사양 칩 H100 수만 개 썼을 거라고 주장했지만, 엔비디아는 “딥시크가 수출 통제를 완전히 준수하는 컴퓨팅과 기술을 사용했다”라며 편을 들었다. 기술 업계에서는 딥시크의 비용·기술력 주장을 곧이곧대로 믿을 수 없다는 의견도 많다. R1은 딥시크의 기존 대형 모델 V3를 기반으로 만들어졌는데, 회사는 V3 비용은 빼고 R1만으로 비용을 계산했다는 거다. ‘중국이 적은 비용으로도 미국을 이긴다’고 강조하는 정치적 판단도 있다고 본다. 그러나 딥시크가 AI 경쟁에서 ‘비용 효율화’의 막을 열었다는 데에는 이견이 적다. 특히 고성능 추론 AI의 진입 장벽이 낮아지면서 현재보다 더 많은 AI 서비스가 개발되고, 반도체 수요도 증가할 거라는 낙관도 나온다. 추론용 AI 칩을 개발하고 있는 국내 AI 반도체 스타트업 하이퍼엑셀의 이진원 최고기술책임자(CTO)는 “선발 주자의 기술력을 후발주자가 빠르게 따라잡고 공개하면서 AI 추론 시장이 커지고 있다”라며 “AI 추론에서 메모리는 여전히 많이 필요하기에 고성능 DDR(더블데이터레이트)과 구형 HBM 등, 가격 효율성 있는 첨단 D램 수요는 더 늘어날 것”이라고 말했다. 현재 최신 HBM3E(5세대)은 AI 훈련용으로 대형 AI 데이터센터에 주로 사용되는데, 이보다 성능·가격이 낮은 구형 HBM이나 현재 PC·모바일에 사용되는 그래픽메모리(GDDR)7이나 저전력(LP)DDR 등 메모리가 AI 추론용으로 널리 쓰일 가능성이 있다는 얘기다. 엔비디아는 개인 개발자가 AI 추론 모델을 개발하고 실행할 수 있는 3000달러(약 430만원)짜리 개인용 AI 슈퍼컴퓨터인 ‘프로젝트 디지츠(Digits)’를 오는 5월 출시할 계획이다."
