article_name,journalist,publisher,date,article
'마귀상어' 매장량도 의심된다…'대왕고래' 맡은 美업체가 평가,김철웅,중앙일보,2025.02.08,"포항 영일만 석유·가스 개발사업 '대왕고래'가 경제성이 없다는 결론이 나오자, 또 다른 매장 가능성이 제기된 울릉분지 '마귀상어'에도 의구심이 커지고 있다. 1인 기업 등 부실 논란이 있는 미국 업체가 연달아 유망성 평가 용역을 맡았기 때문이다. 대왕고래 프로젝트는 7개 유망구조(석유·가스가 발견될 가능성이 있는 곳) 중 매장량이 가장 많은 것으로 추정돼 가장 먼저 시추가 이뤄진 곳이다. 하지만 산업통상자원부는 6일 ""가스 징후는 있지만 경제성을 확보할 수 있는 정도는 아니었다""고 사실상 실패를 밝혔다. 당초 최소 5차례 탐사 시추가 필요하다고 예상했지만, 1차 탐사를 해보니 추가 시추를 진행할 정도의 매장량도 발견되지 않았다고 한다. 유전 개발 특성상 낮은 성공률을 감안하더라도 싸늘한 여론을 감안하면 나머지 6개 유망구조 개발도 동력을 잃었다는 평가다. 당초 기대감을 키운 것은 정부였다. 지난해 6월 윤석열 대통령은 직접 기자회견을 열어 대왕고래 사업을 설명했다. 같은 자리에서 안덕근 산자부 장관은 ""매장 가치가 삼성전자 시가총액의 5배 수준""이라고 했다. 당시 삼성전자 시총(약 440조원) 기준으로 약 2200조원 가치를 말한 셈이다. 잇달아 평가 용역을 따내고 있는 미국 자문 업체 '액트지오'에 대한 신뢰성 논란도 나온다. 액트지오는 한국석유공사에 동해안 유전설의 근거가 된 낙관적인 보고서를 제출했었다. 당시 용역비로 받아간 돈이 약 40억원이라고 한다. 액트지오는 최근 울릉분지에 51억 배럴 이상 가스·석유가 묻혀 있을 가능성을 다시 제안했다. 이 회사는 설립자 비토르 아브레우 박사의 1인 기업으로 회사 사무실이 미국 텍사스의 가정집으로 돼 있다. 대규모 국가 예산이 투입되는 사업에 용역을 계속 맡겨도 되는지 야당을 중심으로 비판이 제기되고 있다. 이에 대해 석유공사는 울릉분지 유망성 평가용역 입찰에서 액트지오 한 곳만 참여했다고 밝혔다. 지난해 3월, 3개 업체에 입찰안내서를 보내 이들 모두 입찰에 응했으나 석유공사 자체 기술평가로 액트지오만 기준을 통과했다고 한다."
매매가 상승 vs 하락 팽팽하지만...부동산 심리는 이미 한겨울,김태윤,중앙일보,2025.02.08,"전국 아파트값이 혼조세를 보이고 있다. 매수 심리가 얼어붙고 거래량이 감소하는 관망세 속에 집값을 내려 파는 매도자가 늘고 있지만 지역별 '가격 흥정'은 각기 다른 양상을 보였다. 7일 중앙일보가 KB부동산을 통해 분석한 결과, 최근 한 달(1월 7일~2월 5일)간 전국 아파트 거래(신고일 기준)는 2만531건이다. 이중 직전보다 값이 오른 거래는 41.7%, 그 반대는 44.8%였다. 하락이 소폭 우세했다. 보합은 2881건(13.5%)이다. 거래량이 급증했던 지난해 7월과 비교하면 상황이 역전됐다. 당시는 상승과 하락이 45.8% 대 40%였다. 서울은 상승 우위다. 같은 기간 매매 거래(2525건) 중 상승과 하락 비율은 41.6%대 37.9%다. 지난해 7월엔 상승(51.5%)이 하락(32.1%)을 크게 앞섰다. 거래량이 가장 많은 경기도(4742건)는 전국 추세와 비슷했다. 하락(44.8%)이 상승(41.7%)보다 많았다. 경기 역시 작년 7월(상승 45.8%, 하락 38.4%)과 시장이 반전됐다. 지방은 가격을 낮춰 거래한 지역이 많았다. 경북(상승 46.8%, 하락 43.8%)을 제외하곤 모든 지역이 하락 우위였다. 하지만 양쪽이 팽팽한 곳도 적지 않다. 제주는 상승과 하락 비율이 똑같았다. 전남(상승 44.8% vs 하락 44.9%), 울산(44.1% vs 43.6%), 전북(44.1% vs 45.2%)도 큰 차이가 없었다. 부산은 완연한 하락장으로 변했다. 지난 한 달간 상승 거래는 39.4%, 하락은 49.5%로 10%포인트가량 차이가 났다. 지난해 부산에서 거래가 가장 활발했던 8월엔 상승 41.6%, 하락 43.8%였다. 대구(상승 39.2% vs 하락 48.9%), 강원(40.9% vs 48.8%), 대전(40.5% vs 46.7%)도 하락세가 큰 지역이다. 한국부동산원에 따르면 이달 3일 기준 전국 아파트 가격은 전주 대비 0.04% 하락했다. 서울은 지난 4주 동안 보합세를 보인 후 소폭(0.02%) 상승 전환했다. 수도권(-0.02%)과 지방(-0.06%)은 하락세가 이어졌지만 하락폭은 줄었다. 전국적으로 하락폭이 커질 것이라는 시장 예상과는 다소 다른 결과였다. 다만, 부동산 심리는 이미 한겨울이다. KB국민은행이 공인중개사를 상대로 조사하는 ‘매수우위지수’는 지난달 20일 기준 25.5다. 이 지수는 100이 넘으면 매수자가 많고, 그 반대면 매도자가 많다는 뜻이다. 이 조사에서 ‘매수자 많음’은 2.4%, '매도자 많음'은 76.9%였다. 집값 전망치는 상승 4.5%, 보통 62.6%, 하락 33%다. 5개월 전에 상승(26.3%)이 하락(11.1%)보다 우세했다. 특히 공인중개사들의 경기 체감을 묻는 ‘매매거래활발지수’는 활발함 0.1%, 보통 6.7%, 한산함 93.2%였다. 국토연구원이 조사하는 ‘부동산시장 소비심리지수’ 역시 지난해 12월 기준 96.5로 4개월 연속 하락했다. 전국에서 서울(101.7)만 기준점(100)을 웃돌았지만 지난 8월(125.6)과 비교하면 23.9포인트 하락한 수치다. 함영진 우리은행 부동산리서치랩장은 “불확실한 정국으로 인해 부동산 심리가 크게 위축된 상황”이라며 “지역별로 편차가 있겠지만 전반적으로 거래량 증가를 기대하긴 어려운 시장”이라고 말했다."
이창용 “환율 상승기 금리 인하는 불난 데 기름 붓는 격”,김경희,중앙일보,2025.02.08,"오는 25일 기준금리 결정을 앞두고 한국은행이 환율에 대한 경계수위를 높이고 있다. 미국 신정부 출범 이후 통상ㆍ무역 정책의 불확실성이 커지자 달러당 원화값도 출렁이고 있어서다. 경기 하강 우려는 여전한데 1월에 이어 이번에도 고환율에 발목 잡혀 금리를 못 내리는 것 아니냐는 전망까지 나온다. 이창용 한국은행 총재는 지난 6일 블룸버그 인터뷰에서 “2월 기준금리 인하가 불가피한 것은 아니고, 외환시장 상황에 따라 달라질 수 있다”며 “만약 원화 가치가 매우 빠르게 하락하는 추세라면 (금리를 내려) 불난 데 기름을 붓고 싶지 않을 것”이라고 말했다. 이어 “앞으로도 환율 흐름을 예의주시하겠지만, 특정 환율 수준을 목표로 하는 건 아니다”라고 강조했다. 2월 들어서도 달러당 원화값 평균이 1450원대를 유지하고 있는 만큼 경계감을 늦출 단계가 아니라는 의미다. 한은 금융통화위원회는 지난달 16일 기준금리를 연 3%로 동결했다. 경기 상황만 보면 금리를 내리는 게 당연하다면서도 동결을 택한 주된 배경이 고환율이었다. 이 총재는 당시 기자간담회에서 “과거에는 환율 수준의 영향을 작게 봤지만, 지금은 (정치 리스크 등으로) 환율이 필요 이상 올라갔기 때문에, 그 높아진 환율이 물가와 특히 내수에 미치는 영향을 유의해야 하는 상황”이라고 말했다. 당시 달러당 원화값은 1월 13일 장 마감 기준 1470대까지 하락하는 등 시장 불안이 심화한 상황이었다. 이달 들어서도 크게 나아지진 않았다. 도널드 트럼프 미국 대통령의 관세 압박이 거세지면서 2거래일 연속 1460원대까지 급락했다가 이후 3거래일간 1440원대 중반에 머물러 있는 상황이다. 이 총재는 이날 인터뷰에서도 지난달 금통위원 6명 전원이 향후 3개월 내 금리 인하가 필요하다는 포워드 가이던스(사전 통화정책 예고)를 내놓은 건 외환시장 안정을 전제로 한 조건부일 뿐임을 강조했다. 문제는 경기 상황을 고려하면 마냥 금리 인하를 미루기도 어렵다는 점이다. 경기 부양의 골든 타임을 놓칠 경우 소비와 투자가 위축되면서 성장을 저해하고, 결국 원화가치를 더 떨어뜨릴 수 있다는 우려도 적지 않기 때문이다. 다만 이 총재는 금리를 빨리 내리는 게 능사가 아니라 경기 부양을 위한 15~20조 규모의 추가경정예산 편성이 우선돼야 한다는 입장이다. 하지만 시장은 아직까지 2월 인하 가능성에 더 무게를 두고 있다. 이 총재의 발언은 금리를 동결하겠다는 의미라기보다, 환율 변동성을 줄여 금융시장을 안정시키려는 구두 개입에 가깝다는 것이다. 임재균 KB증권 연구원은 “2월 금통위 전까지 원·달러 환율이 재차 1500원을 위협하고, 추경 가시화, 반도체 산업에 대한 관세 지연 등이 이뤄질 경우 2월 인하 기대는 축소될 수 있다. 그러나 여전히 2월 인하가 80% 이상으로 우세하다고 판단된다”고 말했다."
"""AI 굴기 돕자""…中 반도체업계, 딥시크 키우기 총력전",이가람,중앙일보,2025.02.08,"중국의 인공지능(AI) 스타트업 딥시크(DeepSeek)를 중심으로 중국의 정보기술(IT) 업계가 결집하고 있다. 중국의 기술로 독자적인 AI 생태계를 구축한다는 목표에서다. 미국의 제재를 뚫고 기술 자립에 나선 중국의 칩 제조사들도 딥시크 지원사격에 나서면서 반도체에 이어 ‘AI 굴기’가 본격화하는 모양새다. 업계의 관심을 끈 건 ‘중국의 엔비디아’로 불리는 무어 스레드 테크놀로지(Moore Threads Technology)의 행보다. 5일(현지시간) 홍콩 사우스차이나모닝포스트(SCMP)에 따르면 최근 무어 스레드는 “국내 AI 생태계의 발전을 위해 자사의 그래픽처리장치(GPU)와 데이터센터 인프라로 딥시크의 AI 모델을 완벽 지원하겠다”고 선언했다. 앞서 딥시크는 AI 모델을 공개하면서 ‘하드웨어의 한계’를 성능 저하 요인으로 지목했다. 이에 대해 자국 기업이 해결사를 자처하며 지원에 나선 것이다. 무어 스레드는 엔비디아 글로벌 부사장 겸 중국 총괄 출신의 장젠중이 2000년에 설립한 팹리스(반도체 설계 전문 기업)다. 미국 정부의 제재 대상에 올랐음에도 AI 가속기(AI 연산 속도를 빠르게 하는 반도체)를 자체 개발하면서 두각을 나타내고 있다. 장 창업자는 “현지에서 개발한 GPU를 활용해 중국 AI 생태계에 활력을 불어넣은 딥시크에 경의를 표한다”며 딥시크를 추켜세웠다. 중국의 빅테크들도 가세했다. 화웨이는 발 빠르게 자사의 클라우드 서비스에 딥시크의 AI 모델을 탑재하면서 중국 내 딥시크의 영향력을 확대하고 있다. 특히 화웨이의 클라우드는 자체 개발한 서버 클러스터와 AI 모듈 등으로 구축됐다는 점에서 이목을 끈다. 중국산 하드웨어와 소프트웨어의 결합을 통한 독자적인 AI 생태계 구축 가능성을 보여줬다는 평이다. 중국 내 최대 개발자 플랫폼인 기티(Gitee)도 중국의 메타엑스(MetaX)가 만든 GPU로 구축한 서버에서 딥시크의 AI 모델 서비스를 제공하고 있다. 기티는 공식 소셜미디어(SNS) 계정을 통해 “딥시크 R1, 메타엑스 GPU, 기티 AI 플랫폼 서비스의 결합으로 칩과 플랫폼부터 AI 모델의 연산 능력에 이르기까지 국내에서 개발된 기술의 완전한 활용을 실현했다”고 밝혔다. 중국의 토종 AI 생태계 구축 움직임은 더욱 가속화될 전망이다. 딥시크와 현지 반도체·클라우드 기업들의 ‘밀착 협력’은 중국 정부의 ‘기술 자립’ 기조와도 맞물려 있기 때문이다. SCMP는 “딥시크의 성공은 AI 분야에서 중국이 미국과의 격차를 좁힐 수 있다는 희망을 보여줬다”며 “중국의 반도체 제조사와 소프트웨어 기업 간의 긴밀한 협력이 미국 반도체 의존도를 낮추는 데 기여할 것”이라고 분석했다."
R&D에 삼성보다 돈 더 썼다…美 때려도 역대 2위 매출찍은 화웨이,박해리,중앙일보,2025.02.08,"중국의 테크기업 화웨이가 미국의 제재에도 불구하고 지난해 역대 두 번째로 높은 매출이 기록했다. 7일 로이터와 사우스차이나모닝포스트(SCMP)에 따르면 량화 화웨이 회장은 지난 5일 중국 광저우에서 열린 한 포럼에서 지난해 회사의 매출이 8600억위안(약 172조원)을 넘어섰다고 밝혔다. 이는 전년 대비 22.1% 증가한 수치이며 역대 최대치였던 2020년(8910억위안) 기록에 조금 못 미치는 수준이다. 량화 회장은 “지난해 ICT 인프라 사업이 안정적이었으며 소비자 사업부문(스마트폰 포함)이 성장세로 돌아섰고 스마트카 솔루션 사업이 빠르게 발전했다”고 밝혔다. 이날 연간 순이익에 대해 공개하지 않았지만, 지난해 9월까지 누적 순이익은 629억위안(약 12조5800억원)을 기록했다고 밝힌 바 있다. 량 회장은 “화웨이가 견고한 디지털·스마트 인프라 기반을 구축해 AI 발전 전략을 추진하고 있다”라며 “외부적 불확실성이 크지만, 전략적인 투자를 확대해 전 세계 고객에게 더 나은 제품과 서비스를 제공할 것”이라고 덧붙였다. 카운터포인트리서치에 따르면 화웨이는 지난해 4분기 중국 스마트폰 시장에서 점유율 18.1%를 차지하며 애플을 제치고 제재 이후 처음으로 1위를 탈환했다. 카운터포인트리서치는 “중저가 부문의 노바13 시리즈와 프리미엄 부문의 메이트 70시리즈 출시에 힘입어 판매량이 늘었다”고 분석했다. 중국의 전체적인 스마트폰 판매량은 감소하고 애플 역시 판매량 감소를 피하지 못했지만, 화웨이만큼은 다양한 스마트폰 라인업 확장과 애국소비 등에 힘입어 성장한 모습이다. 전기차에서도 두각을 나타내는 중이다. 지난 1월 화웨이 전기차 생태계 브랜드인 ‘홍멍즈싱’의 전기차 판매량이 3만5000대를 기록하면서 중국의 신진 전기차 브랜드 중 처음으로 1위를 차지했다. 훙멍즈싱은 화웨이가 자동차 제조상과 맺은 스마트 전기차 기술 기반의 기술생태계 동맹이다. 화웨이가 직접 차량 디자인·엔지니어링·기술 솔루션·판매를 맡고, 자동차 제조사는 화웨이 요구에 맞춰 전기차를 생산하는 형식이다. 또한 화웨이가 전기차 업체 세레스(SERES)와 합작해 만든 전기차 브랜드 아이토(AITO) M9가 50만위안(1억원) 이상 프리미엄 차 판매 1위를 지키며 고가 시장에서도 선두를 달리고 있다. 화웨이는 그동안 미·중 제재의 상징으로 꼽힐 만큼 활동이 크게 위축됐던 기업이다. 2019년 미국은 화웨이와 관련 계열 회사를 국가 안보에 위협이 된다는 이유로 블랙리스트에 올리고 수출을 전면 제한했다. 화웨이의 미국 수출길이 막힌 것은 물론이고, 미국뿐 아니라 동맹국들의 제조업체들까지 화웨이에 반도체, 반도체 장비 등을 판매가 금지됐다. 삼성을 다음의 스마트폰 제조사로 성장하던 화웨이는 칩 공급이 차단되면서 한동안 고성능 플래그십 스마트폰 출시길도 막히고 점유율 역시 하락했다. 하지만 2023년 자체 개발한 7나노미터(㎚·1나노=10억 분의 1m) 반도체를 탑재한 스마트폰 ‘메이트60 프로’를 출시하면서 세계를 깜짝 놀라게 했다. 최근 중국 딥시크의 AI 모델에 화웨이 칩인 어센드 910C가 활용됐다는 분석도 제기됐다. 미국 제재 속에서도 화웨이가 중국 정부의 전폭적인 지원과 자체 R&D에 힘쓰며 끊임없이 우회로를 통해 발전을 거듭하고 있는 것이다. 대한상의가 유럽연합(EU) 산하 공동연구센터와 조사한 결과에 따르면 화웨이 R&D(연구개발) 투자액은 지난해 199억3900만 유로로 삼성전자보다 앞서며 전세계 6위에 올랐다. 미·중 패권전쟁이 본격화된 시점이 트럼프 1기 때 였던 만큼, 새로 시작하는 트럼프 2기의 정책이 어떤 방향으로 흘러갈지에 대해서도 시선이 집중되고있다. 푸총 주유엔(UN) 중국대사는 지난 3일(현지시간) 미국 뉴욕 UN본부에서 열린 기자간담회에서 “화웨이·틱톡에 이어 딥시크 차례다. 이들 기업은 미국의 기술 봉쇄 정책이 효과를 내지 못하고 있다는 강력한 교훈을 준다”라며 “우리는 개방과 협력을 지향해야 하며 이는 기술뿐 아니라 정치적 차원에서도 마찬가지다. AI가 발전함에 따라 적절한 안전장치 마련을 위해 중국과 미국 간 협력이 특히 필요하다”고 말했다."
美 1월 고용 예상보다 낮은 14만3000명↑…실업률 4.0%,김은빈,중앙일보,2025.02.07,"미국 노동부는 미국의 비농업 일자리가 1월 한 달 동안 14만3000개 증가했다고 7일(현지시간) 밝혔다. 지난해 월평균 일자리 증가 폭(16만6000개)을 밑도는 데다 다우존스가 집계한 전문가 전망치(16만9000개)에도 못 미치는 수준이다. 실업률은 4.0%로 나타났다. 지난해 12월에는 30만7000개의 일자리가 창출됐고, 실업률은 4.1%였다."
성과급 '연봉 50%' 전국민 부러워한 회사…'자사주 30주' 더 준다,김경미,중앙일보,2025.02.07,"지난달 총 1500%의 성과급을 지급했던 SK하이닉스가 격려금 차원의 자사주 30주를 추가 지급하기로 했다. SK하이닉스는 7일 노동조합과 함께 긴급 대표자 회의를 개최하고, 구성원을 위한 ‘새출발 격려금’으로 자사주 30주(약 600만원 수준)를 지급하기로 결정했다고 밝혔다. 또한 노조와 초과이익분배금(PS) 기준에 대한 상호 수용가능한 합리적 기준을 만들기로 합의했다. 이번에 지급되는 자사주는 올해 PS 지급률에 포함하지 않으며 즉시 매도 가능한 것으로 알려졌다. 회사 측은 “노사 간 만남을 통해 더 큰 성장과 도약을 위해 한마음으로 노력하자는데 뜻을 모았다”며 “이런 취지를 담아 격려금 지급을 결정했고 기업가치 성장과 함께할 수 있도록 자사주로 전달할 계획”이라고 밝혔다. 앞서 SK하이닉스는 지난달 24일 직원들에게 초과이익분배금(PS) 1000%와 특별성과급 500% 등 총 1500%의 성과급을 지급했다. PS는 연간 실적에 따라 매년 1회 연봉의 최대 50%(기본급의 1000%)까지 지급하는 인센티브다. 이에 대해 노조는 특별 성과급 규모가 상의 없이 결정된 데다 지난해 실적에 미치지 못하는 수준이라며 반발했다. SK하이닉스는 2021년부터 전년도 영업이익의 10%를 재원으로, 개인별 성과 등을 연계해 PS를 지급해왔다. 지난해 SK하이닉스는 영업이익 23조4673억원을 달성하며 역대 최고 실적을 기록했다."
"롯데케미칼, 3년 연속 적자...위기의 석화기업들",노유림,중앙일보,2025.02.07,"석유화학 산업의 불황이 길어지면서 롯데케미칼이 3년 연속 적자를 냈다. 롯데케미칼과 더불어 금호석유화학, LG화학, 한화솔루션 등 국내 4대 석유화학 기업의 지난해 실적이 모두 부진한 것으로 나타난 가운데, 올해에도 업황 회복이 쉽지 않을 것이라는 전망이 나온다. 6일 롯데케미칼은 지난해 매출이 20조4304억원을 기록해 전년 대비 2.4% 늘었다고 공시했다. 하지만 영업손실은 8948억원을 기록해 전년대비 157.3% 대폭 늘었다. 롯데케미칼은 2022년(7626억원), 2023년(3477억원)에도 영업손실을 냈다. 지난해 4분기 실적은 매출 4조8961억원, 영업손실 2348억원으로 나타났다. 전년 4분기와 비교해 매출은 0.2%, 영업손실은 25.7% 각각 줄었다. 롯데케미칼은 그동안 에틸렌(기초 석유화학 제품 종류)을 직접 생산하는 나프타 분해 시설(NCC) 확장에 주력해왔다. 그러나 최근 중국이 NCC 자급률 높이기에 나서며 공급 과잉이 심해졌다. 롯데케미칼 관계자는 “글로벌 공급과잉 및 경기침체로 석유화학 사업 전반의 수요회복이 지연되고 있다”고 밝혔다. 국내 4대 석유화학기업의 지난해 실적도 전반적으로 좋지 못하다. 지난해 금호석유화학(2727억원)과 LG화학(9168억원)은 영업이익을 냈지만, 전년대비 각각 24%, 63.8% 감소한 것으로 집계됐다. 한화솔루션 케미칼 부문은 영업손실 1213억원을 기록해 전년대비 2.5% 하락했다. 정부와 업계는 장기화하는 불황을 타개하기 위해 대책 마련에 나선 상태다. 산업통상자원부는 지난해 말 범부처 합동으로 '석유화학산업 경쟁력 제고 방안'을 발표했다.석유화학 기업의 자발적 사업재편을 지원하기 위한 방안을 골자로 하고 있다. 설비운영 효율화, 사업전환을 위한 정책자금 투입, 인수합병(M&A) 등 내용이 담겼다. 석유화학업계는 첨단소재에 적극적으로 투자하고 사업구조를 개편하는 등 자구책을 펼치고 있다. 롯데케미칼 관계자는 “올해는 대외환경 변화에 더욱 면밀하게 대응하며 수익성을 개선하고 사업 포트폴리오 전환 및 재무건전성 확보를 적극적으로 추진할 것”이라고 밝혔다. LG화학은 지난해 사우디아라비아에 정수 필터 RO멤브레인(역삼투압) 제조시설을 현지화하는 계약을 체결하는 등 첨단소재 사업 투자를 늘렸다."
이재명에 “국산 전기차 보조금 확대” 요구한 현대차…보조금 국수주의 커지나,김효성,중앙일보,2025.02.07,"국산 전기차에 지금보다 더 많은 보조금을 지급해야 한다는 목소리가 업계와 정치권에서 나오고 있다. 비야디(BYD) 등 중국 브랜드 전기차가 저가 공세로 한국 시장 공략에 나섰고, 미국·중국 등도 수입산에 대한 장벽을 높이고 있는 상황에서, 국산 전기차의 경쟁력이 떨어질 수 있다는 우려에서다. 하지만 보조금 차등지급이 무역분쟁의 빌미가 될 수 있어 신중하게 접근해야 한다는 지적이 나온다. 이재명 더불어민주당 대표 주최로 지난 5일 국회에서 열린 4대(삼성·SK·LG·현대차) 그룹 연구소장 간담회에서는 전기차 보조금 관련 논의가 불거져 나왔다. 김견 현대차그룹 HMG경영연구원장은 이 대표에게 “중국 정부는 자국 전기차 기업에 직접 보조금을 지급하는 등 적극적으로 지원해왔다”며 “우리도 국내 전기차 기업에 대한 직접 보조금 지급 등 지원책을 다각도로 모색해달라”고 건의했다. 이에 이 대표도 고개를 끄덕였다고 한다. 이 자리에 참석한 김원이 민주당 의원은 7일 통화에서 “보조금 개편 등 산업정책 전반에 대한 정부의 적극적 역할에 공감했다”고 말했다. 여당 입장도 크게 다르지 않았다. 국회 산업통상자원중소벤처기업위원장인 이철규 국민의힘 의원은 통화에서 “산업정책을 고민하는 입장에서는 국산 전기차에 보조금을 더 많이 지원하는 방향이 합리적”이라고 했다. 환경부가 지난달 15일 확정·고시한 전기차 국고보조금 현황에 따르면 중국산 테슬라의 전기차 7개 모델의 평균 보조금은 192만원이었다. 최근 출시된 중국산 BYD의 아토3의 경우 이달 중 200만원 전후로 보조금이 책정될 것으로 예상된다. 현대차·기아의 전기차 49개 모델의 평균 보조금 456만원보다는 적은 수준이지만 업계에서는 “중국 전기차 브랜드가 최근 저가공세에 나선 것을 감안하면 보조금 200만원 차이는 금방 상쇄된다”는 지적이 나온다. 실제로 아토3는 기본트림 가격이 3150만원으로 보조금 적용 시 2950만원에 살 수 있다. 국산차보다 가격 경쟁력이 높다고 평가받는다. 국내 완성차업계 관계자는 “수입 전기차 보조금은 국산 전기차 판매를 위축시킬 수 있다”고 우려했다. 환경부는 지난해 71만대에서 2030년 420만대까지 전기차 보급을 늘리겠다고 밝혔다. 이를 위해 올해 보조금 예산으로 7800억원을 책정했는데, 국내 전기차 시장의 26.9%(2023년 기준)를 수입산이 점유한다는 점을 고려했을 때 2000억원가량이 수입 전기차 보조금으로 지급될 전망이다. 이호근 대덕대 미래자동차학과 교수는 “최근 자동차 산업 자국 중심주의에 따라 한국 전기차 산업을 보호해야한다고 보는 입장에서는 혈세 낭비로 비칠 수 있다”고 했다. 해외 국가 중 보조금을 자국 전기차 산업 보호를 위해 적극적으로 활용하는 사례도 많다. 프랑스는 2023년부터 수입산 전기차에 대해 차등적 보조금을 지급하는 녹색산업법을 시행하고 있다. 운송 전 과정에서 탄소배출량을 측정해 환경점수를 매겨 보조금을 삭감하는 방식인데, 운송 거리가 먼 중국산은 보조금을 거의 받지 못한다. 반면에 자국에서 생산된 전기차에는 최대 7000유로(약 1000만원)의 보조금을 준다. 시행 직후인 지난해 1월 프랑스에서 생산된 푸조 208 EV가 판매 1위를 차지했고, 기존 1위였던 테슬라 모델Y는 4위로 밀려났을 만큼 즉각적 효과나 나타났다. 중국은 자국 전기차 산업을 집중적으로 육성했던 2009~2022년 전기차 생산 기업에 대한 직접 보조금을 지급했다. 대한무역투자진흥공사(코트라)에 따르면 해당 기간 중국 전기차 기업은 총 1600억 위안(약 31조7000억원)을 지원받았는데, BYD는 그중 70억 위안(약 1조4000억원)을 받았다. 미국도 자국 이익을 내세우기는 마찬가지다. 바이든 행정부 시절인 2022년 인플레이션감축법(IRA)을 시행하면서 중국산 광물이 탑재된 배터리를 쓴 전기차에는 보조금을 전액 지급하지 않았다. 트럼프 행정부는 기존 중국산 전기차 관세(100%)에 10% 추가관세를 조치했다. 일각에서는 차등지급이 국내 현실에선 맞지 않다는 지적도 나온다. 무역 분쟁의 빌미를 제공할 수 있기 때문이다. 예컨대 EU는 지난해 10월 중국 정부의 자국 기업에 대한 전기차 보조금을 불법으로 규정하고 중국산 전기차에 대한 관세율을 최고 45.3%로 책정했다. 권용주 국민대 자동차운송디자인학과 교수는 “우리 정부가 보조금 직접 지원 등을 통해 국내 완성차 업계를 드러내놓고 지원하면, 중국이 배터리 소재 수출 규제 등으로 반격할 가능성이 있다”며 “세계무역기구(WTO) 제소 가능성도 있기 때문에 보조금 문제는 신중히 접근해야할 것”이라고 말했다."
"여객·화물 다 잡은 대한항공, 지난해 연간 최대 매출 기록",이수정,중앙일보,2025.02.07,"여객 수요 증가와 화물 운송이 고루 늘면서 대한항공이 역대 최대 매출을 올렸다. 7일 대한항공은 지난해 연간 매출은 16조1166억원, 영업이익은 1조9446억원(별도 재무제표 기준)으로 잠정 집계됐다고 공시했다. 매출은 전년(14조5751억원) 대비 10.6%, 영업이익(1조5869억원)은 22.5% 각각 증가한 수치다. 지난해 여객 사업과 화물 사업은 동시에 성장했다. 대한항공의 16조1166억원 매출 중 9조7786억원은 여객(61%)에서, 4조4116억원(27%)은 화물 사업에서 나왔다. 여객 사업 매출은 2023년(9조139억원) 대비 8%가량 성장했고, 화물 사업 매출은 전년(4조297억원) 대비 9% 느는 등 여객과 화물 매출이 비슷한 수준으로 높아졌다. 코로나19 같은 특수한 상황을 제외하면 이 회사 매출 중 여객 사업은 전체의 60%대를, 화물 사업이 20~30%대를 차지한다. 고환율 상황이 지속됐지만 영업이익도 전년 대비 늘었다. 특히 지난해 4분기 영업이익(4765억원)은 전년 동기(1836억원) 대비 159% 성장했다. 이 회사 관계자는 “매출 증가와 더불어 연료비 단가가 전년 동기 대비 23%정도 줄어들며 영업비용이 2182억가량 줄어든 영향”이라고 설명했다. 올해는 도널드 트럼프 미국 대통령이 취임하면서 미중관계 경색 등 글로벌 정치환경에 불확실성이 높아진 상황이다. 다만 항공업계에는 트럼프발 영향이 호재로 작용할 수 있다는 분석도 나온다. 최고운 한국투자증권 연구원은 ""운송업종은 트럼프 관세 정책에 따른 반사 이익을 기대할 수 있다""고 내다봤다. 지정학적 불확실성이 커지고 보호무역주의 기조가 강화되면 장기적으로는 교역량이 감소할 수 있지만, 정책 도입 초기·과도기에는 운임을 올릴 기회가 된다는 의미다. 최 연구원은 ""미국은 관세 인상뿐 아니라 중국 해운선사와 항공사를 견제하고 있어 경쟁 관계인 한국 기업들의 수혜가 예상된다""고 분석했다. 특히 올해는 관광·비즈니스 등으로 무비자 중국 방문이 가능해지면서 중국 노선 수요가 늘어날 것으로 전망된다. 또 중국과 미국 간 직항 대신 한국을 거쳐 미국으로 향하는 중국인 수요도 늘어날 수 있다. 대한항공은 지난해 12월 28일부터 인천-푸저우 간 주 3회 신규 운항을 시작했다. 대한항공 관계자는 “중국 노선 실적 회복이 기대되고, 코로나19 이후 여행을 비롯한 출국 수요가 완벽하게 회복하면서 올해도 장거리 노선 수요가 지속해서 늘어날 것으로 예측된다”며 “수요가 집중되는 노선에 공급을 늘리고, 부정기편도 확대해 수익을 늘릴 계획”이라고 말했다."
