article_name,journalist,publisher,date,article
"[포토] 파리바게뜨, 일부 제품 가격 5.9% 인상",,국민일보,2025-02-09,"SPC그룹이 운영하는 파리바게뜨는 10일부터 일부 제품 가격을 5.9% 인상한다. 가격 인상 품목은 빵 96종과 케이크 25종 등이다. 이상 기후로 인한 식자재 가격 급등, 고환율로 인한 수입 단가 증가로 원가 부담이 커진 탓이다. 사진은 서울 시내 한 파리바게뜨 지점의 모습. 연합뉴스

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재, 수집, 재배포 및 AI학습 이용 금지"
"[포토] 관세 전쟁 여파, 연일 치솟는 금값",,국민일보,2025-02-09,"국제 금값이 지난 1월 도널드 트럼프 미국 대통령 취임 이후 본격화된 ‘관세 전쟁’ 여파로 고공 행진을 이어가고 있다. 사진은 9일 서울 종로구 한 귀금속 판매점에 진열돼 있는 골드바. 연합뉴스

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재, 수집, 재배포 및 AI학습 이용 금지"
[포토] 상승세 꺾인 휘발유 가격,권현구,국민일보,2025-02-09,지난주 국내 주유소 휘발유 주간 평균 가격이 국제유가 하락 영향으로 17주 만에 소폭 내림세로 돌아섰다. 한국석유공사 유가정보시스템 오피넷에 따르면 지난 2~6일 전국 주유소 휘발유 평균 판매가는 전주 대비 ℓ당 0.04원 내린 1733.06원을 기록했다. 9일 서울시내 한 주유소 유가정보 간판 뒤로 시민이 주유하고 있다.
[포토] 올 정월대보름엔 부럼도 부담되네,,국민일보,2025-02-09,"가격 조사기관 한국물가정보에 따르면 정월대보름에 먹는 오곡, 부럼 등 주요 10개 품목이 전통시장 가격 기준 지난해 대비 6.2% 올랐다. 사진은 9일 서울 동대문구 경동시장서 한 상인이 잡곡을 담고 있는 모습. 연합뉴스

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재, 수집, 재배포 및 AI학습 이용 금지"
[포토] 가격 오르는 의약품,,국민일보,2025-02-09,"지난해 한방약 가격이 전년 대비 10.5% 상승하며 2005년 관련 통계 집계 이후 처음으로 두 자릿수 상승률을 기록했다. 또 연초부터 소화제, 비타민제, 진통제 등 의약품 전반에서 가격 상승 흐름이 확대된 것으로 나타났다. 사진은 9일 서울 종로구 약국의 모습.

연합뉴스

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재, 수집, 재배포 및 AI학습 이용 금지"
[포토] 전세대출 더 조인다,,국민일보,2025-02-09,"정부가 전세대출을 더욱 조인다. 9일 국토교통부에 따르면 올 하반기부터는 차주 소득과 기존 대출 등 상환 능력이 주택도시보증공사(HUG) 전세대출 보증 한도 산정에 반영되면서 임차인들의 전세대출 가능 금액이 영향을 받을 전망이다. 사진은 이날 서울시내 아파트 전경.

연합뉴스

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재, 수집, 재배포 및 AI학습 이용 금지"
몸집 키우더니… 혁신 버리고 수익성 집중하는 토스,윤준식,국민일보,2025-02-09,"게티이미지뱅크

10년 전 혜성처럼 등장해 핀테크 업계 공룡으로 성장한 ‘토스’가 1조원 이상의 천문학적인 누적 적자에 직면했다. 핀테크 혁신에 대한 기대감을 모으며 정부로부터 각종 인허가를 얻어냈지만 사업 확장 과정에서 기성 업체보다 훨씬 비싼 수수료를 책정하며 손실금 회수에 열중하고 있다. 내부에서는 계열사 사이 경쟁 구도가 갈등으로 이어지며 ‘팀킬’ 논란까지 일고 있다. 토스가 목표로 하는 미국 상장도 쉽지 않다는 분석이다.

‘금융을 쉽고 간편하게’ 슬로건을 내세우며 2013년 설립된 비바리퍼블리카는 2015년 간편송금 앱 토스를 출시하며 혁신 아이콘으로 각광받았다. 앱 하나로 시작된 이 회사는 현재 자회사 18개를 거느리고 있다. 계열사 면면을 보면 은행(토스뱅크) 증권(토스증권) 보험(토스인슈어런스) 이동통신(토스모바일) 등 다양한 분야에 발을 걸쳤다.


지난 10년간 공격적인 외형 확장은 천문학적인 손실로 이어졌다. 2015년 앱을 출시하며 핀테크 시장에 뛰어든 뒤 2016년부터 2024년 3분기까지 누적으로 1조1233억원의 순손실을 냈다. 2018년까지만 해도 500억원 미만이었던 연간 순손실이 2021년 2000억원, 2022년엔 3000억원을 넘어섰다.


토스는 편리한 유저인터페이스(UI)를 구현하며 네이버페이·카카오페이와 어깨를 견주는 핀테크 공룡으로 성장했지만 이런 성공 신화는 소비자가 치러야 할 비싼 비용으로 돌아왔다. 각 증권사가 해외주식 거래 고객들에게 실질적으로 부과하는 ‘우대 수수료율’를 보면 토스증권은 0.10%로 KB증권과 함께 가장 높은 축에 속한다.

소비자 편익 증진과 금융 혁신을 명분으로 얻어낸 은행업 라이선스도 비싼 대출 상품 판매에 활용되고 있다. 전국은행연합회가 공시하는 주요 은행 예대금리차 자료를 보면 지난해 말 기준 토스뱅크의 평균 대출금리는 연 5.89%로 5개 시중은행(KB국민·신한·우리·하나·NH농협은행)과 3개 인터넷전문은행(카카오뱅크·케이뱅크·토스뱅크) 가운데 압도적인 1위다. 5%대 대출금리를 기록한 은행은 토스뱅크뿐이다.

같은 기간 수신(예·적금)과 여신(대출) 금리 사이 격차를 측정하는 예대금리차도 토스뱅크가 2.88%포인트로 가장 높았다. 광주은행을 제외하면 제1금융권 모든 은행의 예대금리차가 1%포인트대다. 특히 경쟁사인 케이뱅크·카카오뱅크는 지난해 하반기부터 예대금리차를 점차 줄여나갔지만, 토스뱅크는 유일하게 예대금리차를 확대했다. 한마디로 상품(자금)을 싸게 들여와 가격(대출금리)을 높여 비싸게 팔고 있다는 뜻이다.

외형이 급속도로 팽창하면서 스타트업 특유의 유연한 조직 문화는 사라지고 내부 갈등은 커지고 있다. 최근에는 외부 출신 한 계열사 대표가 호실적에도 불구하고 교체됐다. 이 계열사 관계자는 “사장이 계열사 대표 평가에서 1위를 기록하는 등 내부 평가가 좋은 상황에서 예상치 못한 인사 이동이 있었다”며 “갑작스럽게 후임 대표가 회사에 부임하면서 내부 임직원들 사이에서 논란이 일었다”고 전했다.


주도권을 쥐기 위한 계열사 사이 자중지란이 벌어지기도 한다. 특히 지주사 격인 비바리퍼블리카 핵심 계열사인 토스뱅크와 토스증권은 서로의 사업 영역을 침범하는 정책을 연이어 내놓으며 충돌하고 있다. 토스뱅크는 지난해 초 외화 환전 수수료를 무료로 제공하는 ‘외화 통장’을 토스증권과 사전 논의없이 출시했다. 환전 수수료는 2023년 기준 17조원을 넘어설 정도로 증권사 입장에서 효자 상품이다. 증권사 수입의 상당 부분을 차지하는 환전 수수료를 같은 계열사인 토스뱅크에서 무료로 풀어버린 셈이다.

토스뱅크로부터 뒤통수를 맞은 토스증권은 같은 해 12월 해외주식 거래 고객이 외화를 직접 입금할 수 있는 ‘달러 송금’ 기능을 도입하면서도 토스뱅크 외화 통장은 배제했다. 다른 은행 고객들은 외화를 원화로 환전해 토스증권에 보낸 다음 다시 외화로 환전하는 번거로운 작업을 거칠 필요가 없지만, 토스뱅크 외화 통장 이용자는 이런 혜택 범주에서 제외됐다. 형제 격인 토스뱅크보다 다른 은행과의 거래가 더 자유로운 아이러니한 상황이 연출된 셈이다. 토스 계열사에 몸담았던 한 인사는 “서로 투명하게 정보를 공유하던 문화가 점차 사라지고 있다”며 “다른 계열사에 영향을 미칠 만한 서비스도 출시 직전까지 보안을 유지하는 분위기”라고 설명했다.

그룹 내에서 ‘돈이 되는’ 자회사와 그렇지 못한 곳 사이 눈에 보이지 않는 갈등도 점화되고 있다. 또 다른 토스 관계자는 “성과급 규모가 발표될 때마다 흑자 계열사인 토스뱅크·토스증권과 적자 계열사인 토스페이먼츠·토스플레이스 간 신경전이 벌어진다”고 말했다.

상황이 이렇다 보니 비바리퍼블리카가 목표로 하는 미국 나스닥 상장에도 빨간불이 켜졌다. 투자은행(IB) 업계에서 비바리퍼블리카는 9조원 안팎의 기업가치를 인정받고 있지만 거대한 체급에 맞는 중·장기적인 수익원은 아직 보이지 않고 있다는 게 중론이다. 앞서 쿠팡(2021년)과 네이버웹툰(2024년)도 각각 뉴욕증권거래소(NYSE)와 나스닥에 상장했지만 수익성에 대한 우려가 제기되며 주가가 공모가 대비 절반 아래로 추락한 바 있다. 국내에서는 토스뱅크 경쟁사인 케이뱅크가 지난해 코스피 상장을 준비했지만 수요 예측 단계에서 흥행에 실패하며 고배를 마셨다.

토스 측은 “지난 10년간 1조원에 달하는 누적 적자를 감당하며 2조원에 달하는 무료 송금 수수료로 사회적 기여를 실천해 오고 있다”며 “주로 중저신용자 대출을 다루고 있어 평균 대출금리나 예대금리차가 높을 수 밖에 없다”고 밝혔다.

김지훈"
‘벚꽃 추경’ 물건너가나,김혜지,국민일보,2025-02-09,"추가경정예산(추경) 편성에 따른 국가부채 확대가 한국의 신용등급에 부정적 영향을 줄 수 있다는 글로벌 신용평가사의 경고가 나왔다. 정부와 정치권은 내수부진 완화를 위해 추가재정 투입에 대한 필요성에 공감하고 있지만, 시점과 방식을 둘러싼 여야 간 ‘추경 신경전’에 여·야·정 국정협의체가 표류를 거듭하면서 ‘벚꽃 추경’에 대한 불확실성은 커지고 있다.

9일 국제 신용평가사 피치가 낸 올해 한국 신용등급평가 보고서에 따르면 “올해 한국의 추경이 통과할 가능성이 높아지고 있다. 올해 한국의 국가부채는 국내총생산(GDP) 대비 48.4%로 지난해(47.3%)보다 소폭 증가할 것”으로 예상했다. 특히 중장기적으로는 “오는 2029년까지 GDP 대비 약 52%로 완만하게 증가할 것”이라며 “부채가 지속적으로 증가할 경우 신용등급에 부정적인 영향을 미칠 수 있다”고 경고했다. 국회 야당이 ‘확장재정론’을 지지하고 있다는 이유를 들었다.

다만 피치는 올해 한국 대선 시기를 2분기 말로 예상하면서도 “중기적 재정 경로가 대선 결과에 따라 좌우돼 명확하지 않다”고 분석했다.

피치의 이 같은 진단은 추경을 적자국채 발행에 기대야 하는 국내 재정 운용 상황과 무관치 않다. 국회예산처에 따르면 2006년 10월 국가재정법 제정 이후 이뤄진 역대 16회 추경 중 9회가 국채를 발행해 재원을 조달했다. 올해는 재정여건이 더욱 좋지 않다. 2023년 약 56조원, 지난해 약 30조원에 달하는 2년 연속 대규모 세수 결손으로 정부의 재정 여력이 크게 부족해졌다.

여야 정치권은 경제회복을 위해 추가재정 투입이 필요하다고 보는 입장이다. 하지만 시점 방식을 둘러싼 의견차로 국정협의체가 공전을 거듭해 ‘추경 무산’에 대한 우려가 커지고 있다. 통상 추경은 정부 편성, 국회 심사 등을 거쳐 2개월이 소요된다. 이달 중 추경 편성 논의가 이뤄져야 늦어도 4월 초 추경이 가능하다. 여기에 다음 주 초로 예상됐던 국정협의체 회담도 국민의힘이 추가 실무협의를 이유로 회담 연기를 요청해 다시 불투명해진 상태다. 향후 헌법재판소의 대통령 탄핵안 심판 결과에 따라 추경 논의가 영향을 받을 가능성도 있다.

정부는 신속한 협의를 촉구하고 있다. 최상목 대통령 권한대행 부총리는 지난 4일 국무회의에서 “최근 반도체특별법 도입과 추가 재정 투입 등이 국회 차원에서 논의되고 있지만, 지금 곧바로 시작해도 우리와 경쟁하는 주요국을 따라잡고 민생을 살리기 충분치 않다”며 정치권의 조속한 협의를 강조했다.

세종="
여객 수요·화물 호황 훨훨 난 항공업계… 올해는 고환율에 고정비 증가 우려,허경구,국민일보,2025-02-09,"국내 항공업계가 여객 수요 증가와 중국발 화물 운송 호황을 앞세워 지난해 호실적을 거뒀다. 다만 올해는 여객기 사고로 인한 심리 위축과 고환율 등이 사업에 변수로 작용할 것으로 전망된다.

9일 업계에 따르면 대한항공은 별도 재무제표 기준 지난해 매출 16조1166억원을 기록했다. 이는 전년 대비 10.6% 늘어난 것으로 1969년 창립 이래 최대다. 영업이익은 22.5% 증가한 1조9446억원으로 잠정 집계됐다.

여객 수요와 항공화물 운임 증가세 등이 영향이다. 국토교통부 항공 통계에 따르면 지난해 대한항공 국제선 승객은 1769만4010명으로 전년 대비 26.5% 증가했고, 국제선 화물 운송량은 160만4858t으로 9.5% 늘었다.

저비용항공사(LCC)인 진에어와 에어부산도 창립 이래 최대 연간 매출을 달성했다. 진에어는 지난해 별도 기준 매출이 1조4613억원으로 잠정 집계됐다. 에어부산은 창립 이래 최초로 매출액 1조원을 넘어섰다. 실적을 발표하지 않은 아시아나항공, 제주항공 등도 매출이 역대 최대를 경신할 것이라는 관측이 나온다.

다만 올해는 상황이 녹록지 않다. 비상계엄 후폭풍으로 고환율 기조가 이어지고 있기 때문이다. 항공업계는 리스(대여)비와 연료비, 정비비 등을 달러로 결제하는데, 환율이 높으면 고정비가 증가하게 된다. 제주항공 여객기 참사와 에어부산 여객기 화재 사고 잇따른 항공사고가 소비자 심리를 위축시킬 것이라는 우려도 나오고 있다.

다만 전자상거래 활성화 등으로 항공화물이 증가하고 있는 점은 긍정적 요인이다. 지난해 국적사의 항공화물 운송량은 전년 대비 11.4% 증가한 283만t을 기록했다."
연일 오르던 휘발윳값 … 17주 만에 소폭 ‘하락’,권현구,국민일보,2025-02-09,"국내 주유소의 휘발유 주간 평균 가격이 17주 만에 소폭 하락한 9일 서울 서초구 만남의광장 주유소에서 휘발유를 리터당 1674원에, 경유를 리터당 1545원에 판매하고 있다.


한국석유공사 유가정보서비스 오피넷에 따르면 2월 첫째 주 휘발유 평균 판매 가격은 리터(L) 당 1733.06원으로 전주 대비 0.04원 하락했다. 경유 판매가격은 1597.7원으로 1.1원 상승했다."
