article_name,journalist,publisher,date,article
“애들 간식도 못사주겠다”…연초부터 먹거리 줄인상에 ‘울상’,변덕호,매일경제,2025-01-31,"연초부터 이어진 먹거리 가격 인상 여파가 설 연휴 이후에도 계속될 전망이다. 탄핵 정국 여파에 따른 고물가·고환율 상황 장기화로 원가 상승 압박을 받는 업체들이 가격 인상 결정을 내릴 수밖에 없는 분위기다. 31일 한국소비자단체협의회 물가감시센터에 따르면 지난해 4분기 서울과 경기도 내 420개 유통업체에서 판매되는 39개 생활필수품 가격이 전년 동기 대비 평균 1.1% 상승했다. 총 19개 품목의 가격이 평균 4.1% 올랐는데 이 중 맛김(23.6%), 고추장(9.9%), 간장(7.9%), 참기름(7.2%), 케첩(6.4%) 등의 오름폭이 큰 것으로 나타났다. 앞서 대형마트나 슈퍼에서 판매되는 제품들의 가격 인상이 이뤄진 바 있다. 오뚜기는 다음 달 1일부터 컵밥 7종의 가격을 12.5% 올리고, 옛날 사골곰탕 제품(500g) 가격을 20% 인상한다. 이에 따라 컵밥 김치참치덮밥, 오뚜기카레, 차돌강된장보리밥, 참기름김치볶음밥, 참치마요덮밥, 치킨마요덮밥, 톡톡김치알밥 등 7종의 편의점 가격은 기존 4800원에서 5400원으로 600원 인상된다. 오뚜기 옛날 사골곰탕 가격은 2500원에서 500원 오른 3000원이 된다. 동아오츠카는 포카리스웨트 등 음료 가격을 평균 6.3%씩 올렸고, 대상은 지난 16일부터 청정원 마요네즈, 드레싱 등 소스류 제품과 후추 가격을 평균 19.1% 인상했다. 외식물가도 줄줄이 올랐다. 한국소비자원 조사에 따르면 지난해 12월 기준 서울 지역의 7개 외식 메뉴 가격은 10년 전인 2014년 12월보다 평균 40.2% 올랐다. 특히 이 기간 짜장면 가격은 4500원에서 7423원으로 65.0% 올라 상승 폭이 가장 컸다. 냉면 가격 역시 8000원에서 1만2000원으로 50% 뛰었고, 김치 찌개백반과 칼국수도 44.4%의 높은 가격 상승률을 보였다. 이밖에 비빔밥은 423.%, 삼겹살은 39.5%로 각각 올랐다. 올해 들어 프랜차이즈 업체들의 가격 인상도 이어지고 있다. 버거킹은 설 연휴 직전 일부 제품 가격을 100원씩 올리기로 했다. 이에 따라 대표 메뉴인 와퍼는 7100원에서 7200원으로, 갈릭불고기와퍼는 7400원에서 7500원으로 오른다. 와퍼 주니어는 4700원에서 4800원이 된다. 스타벅스는 톨 사이즈 음료 22종의 가격을 200~300원 인상하고, 그란데와 벤티사이즈는 100원씩 올린다. 매일유업 관계사 엠즈씨드가 운영하는 폴바셋도 23일부터 가격을 200~400원 인상했으며, 할리스와 커피빈도 일부 가격을 상향 조정했다. 이같은 먹거리 물가 인상 기조는 설 연휴 이후에도 계속될 것이라는 전망이 나온다. 업계 관계자는 “탄핵 국면이 정리되지 않아 대내외 불안정성이 계속되면서 원자잿값도 오르는 추세”라며 “이런 상황이 유지된다면 업계에서도 어쩔 수 없이 가격 인상에 나설 수밖에 없을 것으로 보인다”고 말했다."
[단독] KB국민銀 노사 이면합의 논란…250%+200만원 아니고 실제론 300%+600만원,박인혜,매일경제,2025-01-31,"지난 20일 ‘2024년 임금·단체협약’에 가까스로 합의하며 파업을 막았던 KB국민은행 노조가 이면 합의 논란에 휩싸였다. 31일 금융권에 따르면 KB국민은행 노사는 지난 20일 월급여의 250%에 해당하는 성과급과 200만원의 현금 지급을 골자로 한 임단협에 합의했다고 밝혔는데, 실제로 노조원들은 이보다 훨씬 큰 300%의 성과급과 600만원의 성과급을 받게 되는 것으로 확인됐다. 노조와 사측은 일단 합의된 250%+200만원을 발표해놓고 물밑에서 추가 협상을 했다는 입장이지만, 노조원들이 들어가 있는 단체채팅방에 ‘잠정 합의안은 나왔지만 더 받을 거니 기다리라. 대신 절대 외부에 발설하면 안된다’는 취지의 글까지 올라오면서 은행권의 ‘성과급 잔치’ 논란을 피하기 위해 꼼수를 썼다는 비판을 피하기 어렵게 됐다. KB국민은행 측에 따르면 노사는 지난 20일 밝힌 250% 성과급과 200만원 현금 외에 2월 5일까지 추가로 월급여의 50%에 해당되는 우리사주와 100만원의 현금을 더 지급하는 데 합의했다. 여기에 추가로 300만원에 달하는 추가 현금성 보상도 지급할 예정인데, 이는 노사가 추가 협의를 거쳐 3분기 중에 방식을 확정짓고 지급하기로 했다. 결국 대외적으로 노사가 밝혔던 ‘250%+200만원’이 아닌 ‘300%+600만원’이 사실상 이번 임단협의 최종 합의안인 셈이다. KB국민은행 노조는 2024년 임단협을 1월까지 끌고 가면서 강경한 모드를 유지해왔다. 초반 노조는 300% 성과급에 1000만원의 현금을 요구했는데, 사측 입장에선 작년 ELS(주가연계증권) 대량 손실로 인한 수천억원대 충당금 적립 이슈도 있었던데다가, 1등 은행 입장에서 ‘이자장사’를 하는 은행권의 ‘성과급 잔치’라는 프레임을 부담스러워하면서 협상이 지지부진했던 상태였다. 그러나 이에 노조가 총파업 결의라는 카드로 맞대응했고, 실제 노조원 찬반투표 결과 95.59%의 압도적 찬성률로 쟁의행위가 가결되면서 상황은 달라졌다. 전반적 경제 상황이 극도로 어려운 상태에서 KB국민은행이 비교적 손쉽게 이익을 낼 수 있는 이른바 ‘이자장사’로 막대한 당기순이익을 내고 막대한 성과급을 받아갔다는 여론이 사측 입장에선 부담스러웠을 수 밖에 없다. 작년 3분기까지 KB국민은행의 당기순이익은 2조6179억원에 달했다. 더구나 신한·하나·우리 등 주요 시중은행들은 이미 임단협을 마무리한 상태다. 결국 사측이 대외적으로는 커보이지 않는 성과급 지급으로 노조 달래기에 나선 후 추가 금액을 ‘조용히’ 지급하는 방식으로 합의한 것으로 보인다. KB국민은행 관계자는 “이면합의라기보다는 합의할 수 있는 부분을 먼저 해 발표하고, 이후 추가 합의를 한 것으로 봐달라”고 말했지만 여론은 좋지 않다. 추가 성과급을 받게 된 KB국민은행 직원들조차 “이게 숨긴다고 숨겨질 일인지 모르겠다”면서 합의 방식에 대해선 불만의 목소리를 내고 있다."
"지난해 해외여행 한국인 2869만명…방한 관광객 1637만명, 중국인이 가장 많아",맹성규,매일경제,2025-01-31,"지난해 한국을 찾은 관광객이 1637만명으로 나타났다. 반면, 해외로 나간 한국인은 2869만명으로 집계됐다. 한국관광공사는 작년 한 해 누적 방한 관광객이 1637만명으로 집계됐다고 31일 밝혔다. 이는 전년보다 48.4% 증가한 것이자 코로나19 이전인 2019년의 94% 수준을 회복한 것이다. 방한 외국인 관광객은 코로나19 여파로 2019년 1750만명에서 2020년 252만명으로 급감한 데 이어 2021년 97만명까지 줄었다. 이후 2022년 320만명으로 증가한 뒤 2023년 1103만명으로 늘어나면서 다시 1000만명을 돌파했다. 작년 방한 관광객을 국가별로 보면 중국이 460만명으로 가장 많았고 일본(322만명), 대만(147만명), 미국(132만명) 등의 순이다. 작년 12월 한국을 찾은 외국인 관광객은 127만명으로 전년 12월보다 22.6% 늘어나 2019년의 87% 수준을 회복했다. 12월 한국을 가장 많이 찾은 국가는 중국으로, 30만7000명이 방문했다. 뒤를 이어 일본(25만1000명), 대만(11만9000명), 미국(9만6000명), 싱가포르(6만2000명) 순이었다. 대만, 미국, 싱가포르에서는 2019년의 같은 달보다 31.3%, 23.9%, 45.8% 각각 더 많이 한국을 찾았다. 일본과 중국은 2019년 같은 달의 98%, 60% 수준을 각각 회복했다. 작년 해외로 나간 누적 인원은 2869만명으로 2019년 수준을 회복했다. 작년 12월 해외로 나간 우리 국민은 272만명으로 지난해 같은 달보다 12.4% 증가했다. 이는 2019년 같은 달보다 16% 많다."
새학기 앞둔 학생들 토스에서 맥북 싸게 사세요,박나은,매일경제,2025-01-31,"새학기를 앞두고 노트북이 필요한 학생들을 위해 토스가 애플과 손을 잡고 할인 프로모션을 진행한다고 31일 밝혔다. 이번 프로모션은 만 14~29세(1995~2011년생) 중고등학생, 대학생 대상으로 오는 2월 15일까지 열린다. 행사 기간 동안 애플의 주요 제품 6종을 최대 28% 할인 판매한다. 프로모션 제품은 △MacBook Air(13 M2 모델) △iPad Air 11” △iPad Air 13” △AirPods 4 △Apple Pencil Pro △Magic Keyboard 등이다. 제품을 구입하기 위해서는 토스 앱을 이용하거나 오프라인 매장에 방문하면 된다. 토스 앱에서는 애플 전용관을 통해 토스페이로 결제 시 할인이 적용된다. 오프라인 매장 구매를 위해서는 토스 앱 내 애플 전용관에서 다운로드한 바코드를 제시하면 된다. 오프라인 구매처는 프리스비, 이마트(일렉트로마트), 하이마트 등이다. 할인 적용을 위해 대학생(만 20~29세)은 학교 계정으로 가입한 이메일로 학생 인증을 받으면 된다. 중고등학생은 별도 인증없이 할인 구매 가능하다."
"롯데손보, 스키 타다 다쳤을 때 치료비 보장하는 보험 출시",최종일,매일경제,2025-01-31,"롯데손해보험은 스키 등 겨울 스포츠를 하던 중 다쳤을 때 치료비 등을 보장하는 보험상품을 출시했다고 31일 밝혔다. 롯데손보는 이달 ‘스키 레저 상해보험’을 출시, 연령과 성별에 상관없이 1800원의 합리적인 보험료로 가입할 수 있게 했다. 스키와 보드 등 겨울 스포츠를 하는 만 19세~59세 고객이 부상을 입었을 때 보장받는 상품이다. 이 보험은 골절진단과 수술비, 깁스 치료비 등 상해위험만 보장받는 ‘최저가 플랜’과 고객이 집을 나선 뒤 스키를 타고 집으로 귀가할 때까지 교통사고 등 모든 위험을 보장받는 ‘끝판왕 플랜’ 2가지 상품으로 구성됐다. 끝판왕 플랜에 가입하면 스키 중 부상을 입고 후유장해 진단 시 최대 3000만원, 골절 진단 시 50만원, 깁스 치료 시 30만원 등을 보장한다. 또 교통사고처리지원금과 운전자벌금을 최대 3000만원 보장받는다. 롯데손보 관계자는 “최근 겨울 스포츠 활동 인구가 늘어나면서 발생 빈도도 늘어나고 있다”며 “스키 레저 상해보험은 스키장에 자주 방문할 예정이거나 보장이 필요하다고 느끼는 고객을 위한 미니보험”이라고 설명했다. 한편, 롯데손보는 모나 용평리조트와 업무제휴를 맺고, 고객이 손쉽게 가입할 수 있게 스키장 슬로프 입구 및 매표소 앞에 QR코드(2차원 바코드) 입력기를 마련해 편의성을 높였다."
"사업용 차주에게 필요한 정보 담았더니, 현대커머셜 ‘고트럭’ 인기",한상헌,매일경제,2025-01-31,"현대커머셜은 상용차 운전자 서비스 애플리케이션(앱)인 ‘고트럭’의 ‘앱 명세서 서비스’를 이용하는 신규 고객 비중이 70%를 넘어섰다고 31일 밝혔다. 고트럭 앱의 월간활성이용자수(MAU)도 작년 상반기 와 비교해 작년 12월에 50% 이상 늘었다. 이 서비스는 현대커머셜 금융상품 이용 고객이 매월 청구되는 결제금액을 쉽고 편리하게 확인할 수 있는 게 특징이다. 그동안 지로나 이메일을 통해서 명세서를 확인했던 상용차 차주들에게 앱 안에서 상환 일정 등 금융정보를 한눈에 제공한다. 결제일 변경, 서류 발급, 중도 상환 등 금융 업무도 편리하게 처리할 수 있다. 현대커머셜은 지난해 7월 고트럭 ‘앱 명세서 서비스’ 등 금융 서비스를 중심으로 사용자 인터페이스·사용자 경험(UI·UX)를 리뉴얼하며 편의성을 높였다. 서비스의 전 과정을 앱에서 진행할 수 있도록 기능을 개선했고, 고객에게 필요한 금융 상품도 맞춤으로 제공한다. 또 금리 할인, 중도상환수수료 면제 등 고객에게 도움이 되는 추가 혜택도 제공한다. 상용차주에게 필요한 다양한 서비스도 제공한다. 예를 들어 ‘일 구하기 서비스’는 운전자의 차종과 근무 환경에 맞는 최적의 일감을 추천해주고 필요한 조건에 따라 일감도 선택할 수 있다. 또 ‘내 차 팔기 서비스’를 이용하면 화물차와 건설기계에 대한 시세 조회와 공인평가사의 무료 방문 진단 서비스도 받아볼 수 있다. 앱 명세서 서비스 이용 고객들을 대상으로 이벤트도 진행한다. 고객이 고트럭 앱을 통해 명세서를 확인하면 매월 3000원을 지급한다. 현대커머셜 관계자는 “상용차 운전자가 필요로 하는 서비스를 강화하며 약 20만명의 회원이 사용하고 있다”며 “앞으로도 금융 서비스 등 상용차 고객에게 특화된 서비스를 계속해서 선보일 계획”이라고 밝혔다."
"“신축에서 살고싶은 꿈, 이젠 포기할까”…아파트 분양가, 매매가 넘어섰다",조성신,매일경제,2025-01-31,"지난해 전국 아파트 평균 분양 가격이 15년 만에 평균 매매가를 역전한 것으로 나타났다. 31일 부동산R114에 따르면 지난해 전국 아파트의 3.3㎡당 평균 분양가격(2063만원)이 평균 매매시세(1918만원)보다 145만원 더 높은 것으로 조사됐다. 전국 아파트 분양가가 매매가를 앞지른 것은 2009년 이후 15년 만이다. 특히 같은 기간 서울 아파트 평균 분양가는 4820만원으로 매매가(4300만원)보다 520만원 비쌌다. 서울은 2018년 이후 6년 만에 아파트 분양가가 시세를 앞질렀다. ‘국민평형’이라 불리는 전용 84㎡ 가격으로 환산하면 지난해 전국 아파트 분양가는 시세보다 5000만원, 서울 아파트 분양가는 시세 대비 1억7000만원가량 높은 셈이다. 분양가가 치솟은 이유는 코로나19 팬데믹 이후 금리 인상이 본격화한 데다 프로젝트 파이낸싱(PF) 부실 여파로 조달 금리, 건자재 가격, 인건비 등이 상승했기 때문으로 풀이된다. 서울은 2018년 분양가는 시세 대비 50만원 정도 높았으나, 분양가 규제가 심화했던 2019년 이후 분양가는 시세를 밑돌았다. 분양가는 2020년 1012만원, 2021년 1455만원, 2022년 643만원, 2023년 504만원 등 시세보다 낮았다. 업계 관계자들은 앞으로도 분양가가 떨어질 가능성은 작다고 내다봤다. 분양가상한제가 적용되는 공공택지조차 지난해 3월과 9월 기본형 건축비 정기 고시에서 각각 3.1%, 3.3% 인상에 나서는 등 매년 큰 폭으로 분양가가 오르고 있어서다. 부동산R114 관계자는 “최근 정치 혼란에 따른 환율 급등에 따라 수입 건축자재와 물류비 등도 상승 중인 만큼 민간택지에서의 분양가 상승 흐름은 계속될 것으로 예상된다”고 말했다. 공사비 상승 여파로 지난해 서울의 아파트 분양가가 평당 900만원 이상 오르며 역대 최고 상승률을 기록했다. 31일 주택도시보증공사(HUG)에 따르면 지난해 서울 민간아파트의 3.3㎡당 평균 분양가(공급면적 기준)는 4408만9000원으로 전년(3500만8000원)보다 908만1000원(25.9%) 상승했다. 분양가와 상승률 모두 HUG가 관련 통계를 집계하기 시작한 2015년 이래 최고치다. 2015년 서울의 평당 분양가는 1997만원이었으나 2016년 2129만9000원(전년 대비 6.7%↑), 2017년 2216만9000원(4.1%↑), 2018년 2445만6000원(10.3%↑)으로 올랐다. 이어 2019년 2629만8000원(7.5%↑), 2020년 2831만7000원(7.7%↑), 2021년 3300만2000원(16.5%↑), 2022년 2983만1000원(9.6%↓), 2023년 3500만8000원(17.4%↑) 등으로 2022년을 제외하고는 줄곧 상승세를 유지했다. 2015년과 지난해 분양가를 비교하면 9년새 2배 이상 뛴 것으로, 특히 2023년과 지난해의 상승률이 더 가팔랐다. 이에 따라 수도권의 평당 분양가 상승률도 지난해 가장 높은 수치를 나타냈다. 지난해 수도권의 평당 분양가는 2813만6000원으로 전년 대비 15.4% 상승했다. 수도권 분양가도 2020년까지 평당 2000만원을 밑돌았으나 2021년 2092만9000원, 2022년 2124만원, 2438만7000원 등으로 지속 상승했다. 최근의 분양가 급등은 러시아와 우크라이나 전쟁을 계기로 원자잿값이 치솟은 영향이 크다는 것이 업계 분석이다. 또 당분간 이러한 분양가 상승세가 지속되며 올해 평균 분양가가 더 높아질 가능성이 큰 것으로 보고 있다. 한 건설업계 관계자는 “자잿값 상승세는 최근 다소 둔화했지만, 인건비 상승세가 여전한 데다 관련 규제 강화로 각종 안전·품질 비용 부담이 예전보다 훨씬 큰 상황”이라며 “여기에 금리와 환율 등으로 인한 각종 금융비용까지 더하면 서울이 아니라 지방이라도 분양가가 낮아지길 기대하기는 어렵다”고 말했다."
"SPC던킨, 밸런타인데이 앞두고 ‘저당 초콜릿 도넛’ 2종 출시",변덕호,매일경제,2025-01-31,"SPC 비알코리아가 운영하는 던킨은 밸런타인데이 시즌을 맞아 도넛 2종을 2월 이달의 도넛으로 출시한다고 31일 밝혔다. 던킨의 이번 신제품은 저당 원료를 사용한 ‘초코링 도넛’과 ‘베리 초코 듀얼하트’ 2종이다. 초코링 도넛은 당 함량 0.5% 미만의 제로 슈거 초코를 코팅했으며 베리 초코 듀얼하트는 당 함량 5% 미만의 로 슈거 딸기·초코 필링을 넣고 제로 슈거 초코 코팅으로 마무리했다. 던킨 관계자는 “제로 푸드, 로 스펙 푸드가 식품업계의 메가 트렌드로 자리 잡아 달콤함은 살리고 당 함량은 낮은 신제품을 선보이게 됐다”고 설명했다."
어린이 경제박사 되세요…2월 8일 경제교실 개최,한상헌,매일경제,2025-01-31,"매일경제신문사는 우리 경제를 이끌어갈 초등학생을 대상으로 쉽고 재미있게 경제지식을 쌓을 수 있는 어린이 경제교실을 엽니다. 관심 있는 어린이와 학부모 여러분들의 많은 참여 바랍니다. ◇ 일시＝2025년 2월 8일(토) 오전 10시 30분~낮 12시 20분 ◇ 대상＝초등학교 3~6학년 50명 ◇ 내용＝‘머니(돈)가 뭐니?’(물물교환과 돈의 발달, 소비와 저축, 세계 화폐 등 돈과 관련된 경제 개념과 상식을 재미있는 체험과 활동을 통해 학습) ◇ 장소＝매경미디어센터 12층 대강당(지하철 3ㆍ4호선 충무로역 4번 출구) ◇ 신청방법 ＝ 2월 4일(화) 오전 10시부터 선착순 인터넷 접수 kids.mk.co.kr, 참가비 무료 ◇문의＝금융저축정보센터 (02)2000-2765 ※주최 : 매일경제신문사 ※주관 : 금융저축정보센터"
같은 서울인데 ‘서초 25억원 vs 도봉 5억’…아파트값 격차 이유는 결국,조성신,매일경제,2025-01-31,"다른 지역에 비해 아파트값이 높은 서울에서도 지난해 지역간 양극화가 갈수록 심화된 것으로 나타났다. 서울 서초·강남구에서 거래된 아파트 가격 평균은 25억원, 도봉구는 5억원으로 격차가 5배 벌어진 것. 작년 9월 대출 규제가 강화된 이후 강남권을 중심으로 초고가 아파트 거래 건수는 최대치를 기록했기 때문으로 풀이된다. 31일 국회 국토교통위원회 소속 이연희 의원(더불어민주당)이 한국부동산원에서 제출받은 ‘서울 아파트 실거래가 현황’ 자료에 따르면 작년 한 해 동안 매매된 서울 서초구 아파트의 평균 실거래가는 25억1800만원으로 조사됐다. 이는 서울 25개구 중 가장 높은 가격이다. 강남구와 용산구는 각각 24억8300만원, 22억5700만원으로 서초구 다음으로 2~3위를 기록했다. 아파트 실거래가 평균은 계약일 기준으로 집계했다. 지난해 12월 거래된 아파트 신고 기간이 끝나는 이달 말 신고분까지 더하면 최종 수치는 일부 달라질 수 있으나 비슷한 흐름일 것으로 보인다. 특히 평균 실거래가가 20억원을 넘는 서초·강남 내 아파트는 작년 아파트값이 8월 정점을 찍고 주춤한 상황에서도 가격 변동이 거의 없었다. 실제 서초구 아파트 실거래가 평균은 지난해 1월 21억3600만원에서 8월 27억2500만원까지 올랐다. 9월부터 11월까지는 25억원대로 하락했지만, 12월 다시 27억5900만원으로 상승했다. 강남구 아파트 평균 실거래가도 작년 8월 26억9300만원에서 9월 25억2200만원으로 하락했다가 10월에 26억원대로 돌아왔다. 용산은 9월 29억1000만원으로 높아졌다가 10월 26억6000만원, 11월 20억39000만원, 12월 20억7300만원으로 하락했으나 여전히 20억원대를 유지하고 있다. 서초·강남·용산에 이어 평균 실거래가가 높은 곳은 송파(16억7500만원), 성동(14억1700만원), 마포(12억9100만원) 순으로 집계됐다. 서울에서 평균 실거래가가 가장 낮은 곳은 도봉구로 5억5400만원이었다. 가장 높은 서초구(25억1800만원)와의 차이가 4.6배로 벌어진 셈이다. 강북구(6억700만원), 노원구(6억1000만원), 금천구(6억2100만원), 중랑구(6억2800만원), 구로구(6억7300만원) 등 서울 25개구 중 12개구의 평균 실거래가가 10억원 이하였다. 이와 관련 업계 전문가들은 자산과 소득 양극화와 지역 양극화를 유발하고 있다고 분석한다. 지난해 상급지 갈아타기 수요가 몰리고, 강남 불패 심리가 작동하면서 강남권과 용산 아파트 가격은 상대적으로 덜 빠졌다는 것이다."
