article_name,journalist,publisher,date,article
"주52시간제 부작용 속출 … 韓, 노동생산성 OECD 38개국중 33위",이지안,매일경제,2025-02-09,
“빚 못 갚아 난리인데 은행들은 실적 잔치”…대출연체 얼마나 늘었나 보니,박창영,매일경제,2025-02-09,"지난해 4대 금융그룹(KB·신한·하나·우리)이 16조원이 넘는 당기순이익을 거두며 역대 최고 실적을 기록했지만 부실대출도 큰 폭으로 키운 것으로 나타났다. 금융사가 외형 성장에 집중하느라 건전성을 놓쳤다는 지적이 나온다. 특히 경기 부진이 장기화하는 가운데 부실 ‘뇌관’이 될 수 있다는 우려가 커지고 있다. 9일 금융감독원에 따르면 지난해 4대 금융그룹의 고정이하여신 잔액은 10조8700억원이다. 고정이하여신이란 연체 기간이 3개월 이상인 부실대출을 의미하며 은행, 카드·캐피털사 등의 건전성 지표다. 2023년(8조원)에 비해 35% 급증한 수치다. 같은 기간 4대 금융그룹 당기순이익이 10% 늘어난 것과 비교해도 증가율이 높다. 단순히 규모만 늘어난 것이 아니다. 전체 대출 중 부실여신 비중을 보여주는 고정이하여신 비율 역시 일제히 상승했다. 신한금융은 2023년 0.56%에서 지난해 0.71%로 높아졌으며 KB·하나·우리금융도 모두 0.6% 안팎으로 상승했다. 반면 손실에 대비하기 위한 대손충당금 적립에는 상대적으로 소극적이었던 것으로 나타났다. 지난 1년 새 4대 금융그룹의 고정이하여신 잔액이 35% 불어나는 동안 대손충당금은 7% 늘어나는 데 그쳤다. 이에 따라 잠재적 부실에 대한 대처 능력을 보여주는 고정이하여신 커버리지 비율이 같은 기간 181%에서 143%로 약 40%포인트 떨어졌다. 금융당국 권고 수준인 100%보다는 높지만 감소세가 가파르다는 점에서 우려가 나온다."
"文정부 탈원전 악몽 딛고…원자력, 18년 만에 전기 일등 공신으로",신유경,매일경제,2025-02-09,"전체 전력 거래량에서 원자력발전 비중이 지난해 15년 만에 최고치를 기록하며 최대 발전원에 재등극했다. 9일 전력거래소에 따르면 지난해 전체 전력 거래량 54만9387기가와트시(GWh) 중 원전이 생산한 전기 비중이 32.5%로 가장 높았다. 액화천연가스(LNG)가 29.8%, 석탄이 29.4%, 신재생이 6.9%로 뒤를 이었다. 지난해 원전 비중은 2009년(34.8%) 이후 최대치이며 원전이 최대 발전원에 등극한 것은 2006년 이후 18년 만이다. 지난해 원전 이용률 역시 83.8%로 9년 만에 최대치를 기록했다. 2018년 65.9%까지 떨어졌던 원전 이용률이 크게 회복된 것이다. 이 같은 흐름은 올해로 이어져 지난달 원전 전력 거래량은 1만7015GWh로 월간 기준 역대 최대치에 도달했다. 이는 지난해 4월 신한울 2호기가 상업 운전을 시작하는 등 국내 가동 원전 수가 늘어나고 전체 원전 가동률이 높아졌기 때문인 것으로 풀이된다. 현재 국내 가동 원전은 총 26기로 늘었다. 박종배 건국대 전기전자공학부 교수는 “무탄소 에너지 전체 비용을 낮추기 위해 발전 단가가 비싼 신재생에너지를 보완하는 측면에서 원전 비중을 가져가야 한다”며 “에너지저장장치(ESS)와 LNG 발전을 원전과 함께 에너지 믹스 정책의 3대 축으로 삼아야 한다”고 말했다. 원전뿐만 아니라 LNG 발전 비중 역시 추세적으로 늘어나고 있다. 지난해 LNG 발전 비중은 사상 처음으로 석탄 발전 비중을 넘어섰다."
출산율 반등 급한데…稅혜택 OECD 절반,류영욱,매일경제,2025-02-09,
'실적 잔치' 4대 금융그룹 부실대출은 35% 늘었다,박창영,매일경제,2025-02-09,
'사실상 무관세' 韓도 사정권 … 대미흑자 빌미로 상호관세 적용할수도,신유경,매일경제,2025-02-09,
[표] 외국환율고시표,,매일경제,2025-02-09,
"[포토] 신한금융, 쪽방촌 봉사활동",,매일경제,2025-02-09,
"은행들, 지점 계속 줄인다",박인혜,매일경제,2025-02-09,
만기길어 시들했던 청년계좌 저금리에 1월 신청 5배 '쑥',이소연,매일경제,2025-02-09,
빚 못갚는 사람 늘어 … 은행 연체 급증,박창영,매일경제,2025-02-09,
“아직 눈 내리는데 ‘패션 피플’은 이미 봄”…봄 신상품 중 많이 찾는 것은?,김현정,매일경제,2025-02-09,"전국 곳곳에 폭설과 기습 한파가 이어지는 가운데 패션에 관심이 많은 이른바 ‘패션피플’ 사이에서는 벌써부터 봄 신상에 관심이 쏠리고 있다. 7일 관련 업계에 따르면 추운 날씨에도 곧 다가올 봄에 대한 기대감에 일찍이 가디건, 셔츠 등 봄 패션에 대한 수요가 늘고 있다. 에이블리코퍼레이션이 운영하는 에이블리가 지난 1월부터 2월2일까지 검색 데이터를 분석한 결과 ‘봄 셔츠’(77%), ‘봄 가디건’(45%)등 ‘봄’ 키워드가 포함된 상품 검색량이 전년 동기 대비 증가했다. ‘체크셔츠’(160%), ‘스트라이프셔츠’(95%), ‘도트 블라우스’(91%) 등 패턴 디자인이 돋보이는 상의와 청량한 느낌의 소재인 ‘데님 팬츠’(62%) 검색도 급증한 것으로 나타났다. 같은 기간 거래액도 증가 추이를 보였다. 먼저 아우터 카테고리에서는 이너 티셔츠에 걸쳐입기 좋은 ‘집업’이 126%, 아우터 또는 단독으로도 활용도 높은 ‘가디건’은 50% 거래액이 늘었다. 하의 품목에서는 ‘스커트’ 거래액이 177% 성장했으며, 봄 대표 상의로 불리는 셔츠 중 ‘스트라이프 셔츠’(205%), ‘체크셔츠’(197%) 거래액이 각각 세 자릿수 증가율을 기록했다. 패션 대기업 LF에서도 최근 일주일(1월27~2월2일) 기준 LF몰 내 가디건, 셔츠 등 봄 아이템 키워드 검색량이 전주 대비 각각 30% 올랐다. LF의 글로벌 스포츠 브랜드 리복의 경우 이 기간 ‘레전드 웜업 윈드 브레이커’를 포함한 바람막이 매출이 전년 같은 기간 대비 50% 늘었다. 무신사의 셀렉트샵 29CM(이십구센티미터)에서도 지난 1월 8일부터 1월 21일까지 2주 동안 트위드 재킷, 가디건, 후드집업, 가죽 아우터 등 봄 아우터 관련 상품 거래액이 전년 대비 평균 약 80% 증가했다. 구체적으로 가죽아우터 거래액이 전년 대비 140%로 가장 많이 늘었으며 후드집업(128%), 트위드 재킷(68%), 가디건(67%) 순이었다. 브랜드들이 미리 25SS(봄·여름) 시즌 신상품을 출시하면서 초봄부터 가볍게 걸칠 수 있는 아우터를 찾는 소비자들이 많아진 것으로 보인다. 인기 제품으로는 브랜드 ‘던스트’와 ‘시야쥬’가 출시한 부클 소재 클래식 트위드 재킷이 있다. 두 상품 모두 출시 직후 빠른 속도로 거래액 상위 순위에 랭크되며 주목받고 있다. 29CM는 봄 신상품을 특별한 혜택으로 미리 구매할 수 있는 ‘29 스프링 시그널(29 Spring Signal)’ 기획전을 2월 16일까지 진행한다. 이번 행사에서는 ▲마뗑킴 ▲로우클래식 ▲론론 ▲파사드패턴 등 29CM 인기 여성 디자이너 브랜드의 스테디셀러와 봄 시즌 신상품이 선발매된다."
